tarih,stok_toplam_mia,stok_gercek_mia,stok_tuzel_mia,maden_gercek_mia,maden_tuzel_mia,genis_toplam_mia,maden_toplam_mia,maden_pay_gercek,maden_pay_tuzel,maden_pay_toplam,gercek_pay,tuzel_pay,genis_fark_mia,genis_fark_pay
2024-01-05,,,,,,,,,,,,,,
2024-01-12,,,,,,,,,,,,,,
2024-01-19,,,,,,,,,,,,,,
2024-01-26,,,,,,,,,,,,,,
2024-02-02,,,,,,,,,,,,,,
2024-02-09,,,,,,,,,,,,,,
2024-02-16,,,,,,,,,,,,,,
2024-02-23,,,,,,,,,,,,,,
2024-03-01,,,,,,,,,,,,,,
2024-03-08,,,,,,,,,,,,,,
2024-03-15,,,,,,,,,,,,,,
2024-03-22,,,,,,,,,,,,,,
2024-03-29,,,,,,,,,,,,,,
2024-04-05,,,,,,,,,,,,,,
2024-04-12,,,,,,,,,,,,,,
2024-04-19,,,,,,,,,,,,,,
2024-04-26,,,,,,,,,,,,,,
2024-05-03,,,,,,,,,,,,,,
2024-05-10,,,,,,,,,,,,,,
2024-05-17,,,,,,,,,,,,,,
2024-05-24,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,
2024-06-07,,,,,,,,,,,,,,
2024-06-14,,,,,,,,,,,,,,
2024-06-21,,,,,,,,,,,,,,
2024-06-28,163.14520000000002,100.4768,62.6684,31.799439,2.170584,200.519013,33.970023,31.648538767158186,3.463602070581026,20.82195675999049,61.587346731623114,38.41265326837688,37.37381299999999,18.638538281654114
2024-07-05,162.4241,101.0414,61.3827,32.237175,2.1634450000000003,199.637411,34.40062,31.904917192358777,3.5245191234663844,21.179504765610524,62.20837917525785,37.79162082474214,37.21331099999999,18.640449609918047
2024-07-12,163.6513,101.2831,62.368199999999995,32.362688,2.1665799999999997,201.17098000000001,34.529267999999995,31.952702869481676,3.4738536626036987,21.099293436715747,61.889578634572416,38.11042136542759,37.51968000000002,18.6506423540811
2024-07-19,165.1323,101.763,63.3693,32.534549999999996,2.183812,202.617083,34.718362,31.970902980454586,3.4461671503393596,21.024573629750208,61.62513330220678,38.37486669779323,37.48478300000002,18.500307301334516
2024-07-26,165.16310000000001,101.3655,63.7977,32.388745,2.192666,202.501763,34.581411,31.952434506809514,3.436904465207994,20.93773427599748,61.37297011257357,38.62709043363802,37.338663000000004,18.43868539554394
2024-08-02,165.4717,102.496,62.9756,33.388767,2.254511,202.989433,35.643277999999995,32.57567807524196,3.579975419051188,21.540407211625915,61.94170966999191,38.05822989671345,37.51773299999998,18.482603968847965
2024-08-09,167.95620000000002,102.7933,65.16290000000001,33.093295,2.368298,205.718389,35.461593,32.19401945457535,3.6344269515322365,21.113595687447084,61.20244444682601,38.79755555317398,37.762188999999985,18.356253509257254
2024-08-16,169.0155,103.975,65.0405,33.824142,2.437616,207.043536,36.261758,32.53103342149555,3.7478432668875543,21.454693800272757,61.51802645319512,38.48197354680487,38.02803599999999,18.36716892238548
2024-08-23,172.4023,105.452,66.9503,34.514559999999996,2.511507,211.062697,37.026067,32.730114175169746,3.751300591632898,21.47655048685545,61.166237341381176,38.833762658618824,38.660396999999996,18.317020273838345
2024-08-30,171.2432,105.5775,65.6658,34.947913,2.684961,210.19603700000002,37.632874,33.10166749544174,4.088827060661713,21.976273510422605,61.653543031197735,38.34651536528166,38.952837,18.531670509087668
2024-09-06,172.20329999999998,105.373,66.83030000000001,34.730439,2.6725250000000003,210.73381799999999,37.402964,32.959523786928344,3.9989720231691313,21.720236487918644,61.19104570005337,38.808954299946635,38.53051800000001,18.283974715439367
2024-09-13,169.8448,105.46589999999999,64.3789,35.234442,2.712214,208.804945,37.946656000000004,33.40837370183159,4.212892733488767,22.34195924750125,62.095454202895816,37.904545797104184,38.96014500000002,18.658631384424357
2024-09-20,171.88410000000002,106.05080000000001,65.8334,36.075447999999994,2.79944,211.0301,38.874888,34.017138956047475,4.252309617914311,22.616919191478445,61.69901695386601,38.301041224871874,39.146,18.54996040849149
2024-09-27,170.37279999999998,106.47630000000001,63.8965,37.483157,2.957756,208.753497,40.440913,35.203286552970006,4.628979678073134,23.736719124179448,62.496067447385975,37.50393255261403,38.38069700000001,18.385654636482577
2024-10-04,169.86260000000001,105.7458,64.1168,36.960215,2.948482,207.60829199999998,39.908697000000004,34.95194608201933,4.598610660544506,23.4946933580435,62.253727424400665,37.746272575599335,37.745691999999984,18.18120636530259
2024-10-11,166.96779999999998,105.3989,61.5689,37.208946000000005,3.021601,204.251577,40.23054700000001,35.30297375020044,4.907674166665314,24.094793726694615,63.12528523463806,36.87471476536195,37.283777,18.253850250566245
2024-10-18,169.6646,106.2109,63.4537,38.307029,3.10824,207.016786,41.415269,36.06694698943329,4.898437758554663,24.410082598255617,62.60050711816135,37.39949288183864,37.35218599999999,18.043071154626073
2024-10-25,168.1215,106.2716,61.8499,38.911516000000006,3.19159,205.31320300000002,42.103106,36.615159647544594,5.160218529051786,25.043260974949668,63.211189526622114,36.788810473377886,37.19170300000001,18.114618279078723
2024-11-01,167.7448,106.46310000000001,61.281800000000004,39.014552,3.183167,205.172519,42.197719000000006,36.646079251872244,5.194310545708514,25.15590289535056,63.467302712215236,36.53275690215137,37.42771900000001,18.242072175367703
2024-11-08,166.67970000000003,105.02369999999999,61.656,38.074816,3.1982310000000003,203.456038,41.273047,36.25354658043851,5.1872177890229665,24.76189182005967,63.00929267331294,36.99070732668705,36.77633799999999,18.075815474200862
2024-11-15,166.7009,103.40660000000001,63.2943,37.021194,3.2052680000000002,203.362465,40.226462,35.8015774621736,5.064070540317216,24.130920708886393,62.031218787661025,37.96878121233899,36.661565,18.02769503211913
2024-11-22,166.291,105.22019999999999,61.070800000000006,39.508856,3.224076,202.608919,42.732932,37.5487368395042,5.27924310799924,25.69768177472022,63.274741266815404,36.7252587331846,36.317918999999996,17.925133394547153
2024-11-29,165.7703,104.2163,61.554,38.387716,3.2345140000000003,201.782764,41.62223,36.83465638292666,5.254758423498067,25.108375867088377,62.86789611890671,37.1321038810933,36.01246400000001,17.847145755224172
2024-12-06,162.7463,103.4117,59.3346,37.855648,3.186918,198.856709,41.042566,36.60673598828759,5.371095448524133,25.218739842319,63.54165962605601,36.45834037394399,36.11040900000001,18.159009661574967
2024-12-13,163.86520000000002,103.1138,60.7513,38.063566,3.221946,198.694926,41.285512000000004,36.914133704702955,5.3035013242514975,25.194801580811543,62.92599038722071,37.07394858700932,34.829725999999994,17.529247827898732
2024-12-20,162.54760000000002,102.1008,60.4468,37.289959,3.1559180000000002,197.504505,40.445877,36.52269032172128,5.220984402813714,24.88248180840566,62.812862201595095,37.187137798404905,34.956905,17.699295011017597
2024-12-27,163.2993,102.47619999999999,60.8231,37.45392,3.151201,199.34841699999998,40.605121,36.54889623151522,5.180927969800948,24.86545931305278,62.75360641472437,37.24639358527563,36.049116999999995,18.083472917670573
2025-01-03,163.2235,102.74539999999999,60.478199999999994,37.866509,3.154185,198.722815,41.020694,36.85470006443111,5.21540819667252,25.131610337972166,62.94767603929581,37.05238522639203,35.499315,17.863733965322503
2025-01-10,162.3194,102.582,59.7375,38.018088000000006,3.2761430000000002,197.58979300000001,41.294230999999996,37.06116862607475,5.4842318476668765,25.440108206412788,63.19762147962598,36.802440127304564,35.27039300000001,17.85031122533744
2025-01-17,163.3335,102.7137,60.619800000000005,38.223639999999996,3.177795,198.767025,41.401435,37.21376992553087,5.242173349301713,25.347791481845427,62.885874606250404,37.114125393749596,35.433524999999996,17.826661640682097
2025-01-24,165.8511,103.9833,61.8678,39.000122000000005,3.24567,201.142649,42.245792,37.50613992823848,5.246137732390678,25.47212047432908,62.69678042533332,37.30321957466668,35.291548999999996,17.54553257375068
2025-01-31,164.4959,103.995,60.5009,39.302224,3.242833,199.036229,42.545057,37.79241694312227,5.359974810292078,25.863901167141552,63.220420691336386,36.77957930866362,34.540329,17.353789897215144
2025-02-07,168.75320000000002,105.96539999999999,62.787800000000004,40.427434999999996,3.3853380000000004,203.64087899999998,43.812773,38.151542862104044,5.391713039794355,25.962632412303883,62.79312036749525,37.206879632504744,34.88767899999998,17.131962487747842
2025-02-14,170.4834,107.0205,63.462900000000005,41.529376,3.678748,205.322562,45.208124,38.80506631906971,5.796690664939674,26.51761051222582,62.77473349311429,37.22526650688572,34.83916200000001,16.968014455225827
2025-02-21,174.6796,108.5197,66.1598,42.528989,3.8246979999999997,209.820681,46.353687,39.19010926126777,5.780999942563309,26.53640551043167,62.12499914128495,37.874943611045595,35.14108100000001,16.74814933995949
2025-02-28,171.4935,106.9761,64.5174,41.09238,3.677305,206.00985699999998,44.769684999999996,38.412673485012064,5.699710465703825,26.105762025965994,62.37909891628546,37.62090108371454,34.51635699999999,16.75471140198888
2025-03-07,177.1309,109.1538,67.97710000000001,42.246425,3.925621,212.81681899999998,46.172046,38.70357697120943,5.774916846997003,26.06662417455114,61.62324021387573,38.376759786124275,35.68591899999999,16.768373462061753
2025-03-14,178.7414,109.9393,68.80210000000001,43.020854,4.067442,214.290132,47.088296,39.131460724236014,5.911799203803372,26.34437013473096,61.50746273666873,38.49253726333128,35.548732000000015,16.589066266476525
2025-03-21,185.0457,113.0951,71.95060000000001,43.690654,4.140015999999999,221.40178400000002,47.83067,38.63178333986176,5.753970085030562,25.848031053950454,61.117388839621775,38.882611160378225,36.356084,16.4208631670285
2025-03-28,185.25979999999998,114.024,71.2358,44.563241000000005,4.118273,221.661272,48.681514,39.08233442082369,5.7811844606223275,26.277429857961632,61.54816101496385,38.451838985036154,36.401472000000005,16.422116354182073
2025-04-04,189.7993,115.2108,74.5885,45.073285000000006,4.173622999999999,226.321047,49.246908000000005,39.12244772191496,5.595531482735273,25.94683331287313,60.701382987187,39.29861701281301,36.521747000000005,16.137141235476875
2025-04-11,191.23829999999998,117.9406,73.29769999999999,47.221932,4.614604,229.28287,51.836536,40.03874153599354,6.295700956510232,27.105729343965095,61.672060460692244,38.32793953930776,38.04457000000001,16.592853186110244
2025-04-18,195.5566,119.8645,75.69210000000001,48.941643,4.590538,234.374315,53.532180999999994,40.83080728656107,6.064751803688892,27.37426453517805,61.29401922512459,38.70598077487541,38.817715,16.56227347267127
2025-04-25,194.8461,119.3287,75.5175,48.625899,4.6035569999999995,232.736352,53.229456,40.74954223082963,6.096013506803058,27.31871769565826,61.2425396248629,38.75751169769372,37.89025200000001,16.280332519777573
2025-05-02,193.50879999999998,118.7635,74.7453,48.269881,4.614146,231.530434,52.884027,40.64370029512435,6.173158713658249,27.329003642211624,61.373694633008945,38.62630536699106,38.02163400000002,16.42187307436223
2025-05-09,193.1263,118.77810000000001,74.34819999999999,49.004144999999994,4.768928,230.613066,53.773073,41.25688573903775,6.414315343209386,27.84347496948888,61.502809301477846,38.49719069852216,37.486766,16.255265432358463
2025-05-16,191.6078,116.7542,74.8536,47.647657,4.5811980000000005,229.41164600000002,52.228854999999996,40.810229524933575,6.120210651191125,27.258209216952544,60.93394945299722,39.06605054700279,37.80384600000002,16.4786080650849
2025-05-23,193.08679999999998,118.70089999999999,74.38589999999999,49.291869,4.767067,231.308492,54.058936,41.52611227042087,6.408562644264572,27.997219903173082,61.475408987046244,38.524591012953756,38.22169200000001,16.524119659212516
2025-05-30,191.83689999999999,117.52510000000001,74.3118,48.53276,4.678132,229.374199,53.210892,41.295655140901815,6.295274774665664,27.737568736775874,61.26303125206882,38.736968747931186,37.537299,16.365092134883053
2025-06-06,190.5519,118.2355,72.31639999999999,49.251606,4.651254,228.81650299999998,53.902860000000004,41.655514629700896,6.431810764916396,28.28775782345912,62.0489745838273,37.951025416172705,38.264603,16.72283357988388
2025-06-13,195.1403,119.5727,75.5676,50.386144,4.796737,234.320489,55.182881,42.13850151414161,6.347610616190007,28.278567266730658,61.275246578999834,38.72475342100018,39.18018900000001,16.720769561043387
2025-06-20,193.6541,118.755,74.8991,49.776214,4.735768,232.929491,54.511982,41.91504694539177,6.322863692621139,28.149149437063304,61.32325625948533,38.67674374051467,39.275391000000006,16.86149350663373
2025-06-27,194.1333,118.02510000000001,76.10810000000001,48.867008999999996,4.552251,234.10165,53.419259999999994,41.40391238812761,5.981296340336968,27.51679387307587,60.795906730066406,39.204041758935745,39.96835000000001,17.073074880078806
2025-07-04,191.1891,118.4603,72.7288,49.425296,4.567877999999999,230.435858,53.993173999999996,41.72308866345941,6.280700355292539,28.240717697818546,61.95975607396028,38.04024392603972,39.246758,17.031532479636915
2025-07-11,192.1143,118.1408,73.9735,49.41263,4.590287999999999,230.754563,54.002918,41.82520348600991,6.2053140651719865,28.109785684876137,61.495057890016525,38.50494210998349,38.640263000000004,16.745178295780878
2025-07-18,194.04420000000002,118.308,75.7362,49.57989499999999,4.609628,232.85008,54.189522999999994,41.907474557933526,6.086426306046514,27.926381205931428,60.96961413945895,39.03038586054105,38.80587999999997,16.66560732983213
2025-07-25,195.5966,118.47319999999999,77.1233,49.537203999999996,4.637651,234.345208,54.174854999999994,41.81300412245132,6.0132942962762215,27.697237579794333,60.57017351017349,39.429775364193446,38.748608000000004,16.53484119888639
2025-08-01,192.2604,117.6524,74.608,49.339082000000005,4.574979999999999,231.029382,53.91406200000001,41.93631579126308,6.132023375509328,28.042208379884787,61.19429690149401,38.80570309850599,38.768982000000015,16.780974638109026
2025-08-08,195.6934,119.2806,76.4129,50.498211000000005,4.650096,234.73731899999999,55.148307,42.335644689916045,6.085485565918844,28.180974422233966,60.952796568509726,39.04725453183398,39.043918999999995,16.633025871783087
2025-08-15,194.3266,118.22789999999999,76.0987,49.762663,4.602084,233.625191,54.364747,42.09045665194087,6.047519865648165,27.975967777957315,60.83979239074835,39.16020760925164,39.29859099999999,16.8212130000998
2025-08-22,196.22220000000002,118.12219999999999,78.1,49.782222999999995,4.589667,235.15658100000002,54.37189,42.14467983156426,5.876654289372599,27.709346852700662,60.19818348790299,39.801816512097,38.934380999999995,16.55678987780486
2025-08-29,193.34560000000002,119.3626,73.983,50.897747,4.6976,231.553861,55.595347000000004,42.64128546127514,6.349566792371221,28.754389549076887,61.735358859989574,38.264641140010426,38.208261,16.500809286872567
2025-09-05,198.7844,122.61189999999999,76.1725,53.396483999999994,4.9302150000000005,237.66236999999998,58.32669899999999,43.5491856826295,6.472434277462338,29.34168828137419,61.68084618310089,38.31915381689912,38.87797,16.358487883462576
2025-09-12,201.5541,124.5899,76.96419999999999,55.198038000000004,5.156194999999999,240.364385,60.354233,44.30378224880187,6.69947196228896,29.944433281188527,61.8146194991816,38.18538050081839,38.810285,16.146437418338827
2025-09-19,203.7105,125.30369999999999,78.4069,56.469456,5.310135,243.33087899999998,61.779591,45.066072270810835,6.772535325334888,30.327151030506528,61.510673234811165,38.48937585446013,39.620378999999986,16.282511764567285
2025-09-26,203.9515,126.0942,77.85730000000001,58.605306,5.633035,242.73852,64.238341,46.47740022935234,7.2350762227819345,31.496871069837685,61.82558108177679,38.17441891822321,38.78701999999999,15.978930744078026
2025-10-03,205.48160000000001,128.2948,77.1869,60.379245000000004,5.777215,244.024956,66.15646000000001,47.06289342981945,7.484709192881176,32.19580731316089,62.43615000077865,37.563898665379284,38.543356,15.794841901334058
2025-10-10,208.5891,130.8683,77.7208,63.685995999999996,6.381940999999999,246.579525,70.067937,48.664188348133194,8.211368127965743,33.591370306502114,62.739759651870585,37.26024034812941,37.99042499999999,15.406966575996117
2025-10-17,218.265,138.4998,79.7653,70.995565,6.990895999999999,256.669618,77.98646099999999,51.26040976232458,8.76433236006133,35.73017249673562,63.45488282592261,36.54516298994342,38.404617999999985,14.96266613058971
2025-10-24,213.16029999999998,134.4783,78.6821,67.743428,6.589828000000001,251.93251199999997,74.33325599999999,50.37498838102504,8.375256888161347,34.87199820979798,63.08787330473826,36.91217360831262,38.772211999999996,15.38991997983968
2025-10-31,211.1093,132.77339999999998,78.3359,66.014709,6.538515,249.45233100000002,72.553224,49.71983017682759,8.346766935721682,34.36761146950892,62.89320271537066,37.10679728462934,38.34303100000002,15.370885028931646
2025-11-07,209.8198,132.3098,77.51,65.88655100000001,6.57198,246.92855600000001,72.45853100000001,49.79718131234422,8.478880144497483,34.533695580684,63.05877710301887,36.941222896981124,37.10875600000002,15.02813469658002
2025-11-14,213.39520000000002,135.2859,78.1094,68.838578,6.8054939999999995,250.837247,75.644072,50.883778723429415,8.7127720863302,35.44787886512911,63.396880529646396,36.60316633176378,37.44204699999999,14.926829028704812
2025-11-21,210.844,133.66989999999998,77.17410000000001,67.77906,6.499466999999999,247.950939,74.278527,50.7062996231762,8.421824161214706,35.2291395534139,63.3975356187513,36.6024643812487,37.10693900000001,14.965435964733334
2025-11-28,213.1087,135.3278,77.78089999999999,69.426725,6.67638,250.247016,76.10310500000001,51.30263330963779,8.58357257372954,35.710932965195695,63.50177163109717,36.498228368902815,37.13831599999999,14.8406628752768
