Ay-Yıl,Hedef Borçlanma (Milyar TL),Gerçekleşen Borçlanma (Milyar TL),Fark (Milyar TL),Gerçekleşme Oranı (%)
Ocak 2020,14.0,12.68,-1.32,90.6
Şubat 2020,18.9,8.97,-9.92,47.5
Mart 2020,18.5,0.0,-18.5,0.0
Nisan 2020,28.6,0.0,-28.6,0.0
Mayıs 2020,38.9,0.0,-38.9,0.0
Haziran 2020,27.099999999999998,0.0,-27.1,0.0
Temmuz 2020,26.1,0.0,-26.1,0.0
Ağustos 2020,17.8,4.15,-13.65,23.3
Eylül 2020,8.9,0.0,-8.9,0.0
Ekim 2020,20.0,0.0,-20.0,0.0
Kasım 2020,10.0,5.65,-4.35,56.5
Aralık 2020,9.3,0.0,-9.3,0.0
Ocak 2021,25.4,0.0,-25.4,0.0
Şubat 2021,29.400000000000002,0.0,-29.4,0.0
Mart 2021,24.8,0.0,-24.8,0.0
Nisan 2021,24.6,0.0,-24.6,0.0
Mayıs 2021,20.599999999999998,0.0,-20.6,0.0
Haziran 2021,21.2,0.0,-21.2,0.0
Temmuz 2021,30.200000000000003,0.0,-30.2,0.0
Ağustos 2021,15.0,10.12,-4.88,67.5
Eylül 2021,38.0,0.0,-38.0,0.0
Ekim 2021,33.0,0.0,-33.0,0.0
Kasım 2021,15.1,0.0,-15.1,0.0
Aralık 2021,8.2,0.0,-8.2,0.0
Ocak 2022,26.1,0.0,-26.1,0.0
Şubat 2022,46.099999999999994,0.0,-46.1,0.0
Mart 2022,31.200000000000003,0.0,-31.2,0.0
Nisan 2022,24.0,0.0,-24.0,0.0
Mayıs 2022,40.5,0.0,-40.5,0.0
Haziran 2022,28.0,0.0,-28.0,0.0
Temmuz 2022,23.9,0.0,-23.9,0.0
Ağustos 2022,39.0,0.0,-39.0,0.0
Eylül 2022,47.0,0.0,-47.0,0.0
Ekim 2022,56.900000000000006,0.0,-56.9,0.0
Kasım 2022,53.5,0.0,-53.5,0.0
Aralık 2022,45.0,0.0,-45.0,0.0
Ocak 2023,52.4,0.0,-52.4,0.0
Şubat 2023,52.0,0.0,-52.0,0.0
Mart 2023,57.5,0.0,-57.5,0.0
Nisan 2023,30.0,0.0,-30.0,0.0
Mayıs 2023,50.0,0.0,-50.0,0.0
Haziran 2023,48.0,0.0,-48.0,0.0
Temmuz 2023,34.0,0.0,-34.0,0.0
Ağustos 2023,80.0,0.0,-80.0,0.0
Eylül 2023,107.0,0.0,-107.0,0.0
Ekim 2023,65.5,0.0,-65.5,0.0
Kasım 2023,76.5,0.0,-76.5,0.0
Aralık 2023,43.0,0.0,-43.0,0.0
Ocak 2024,119.0,0.0,-119.0,0.0
Şubat 2024,91.5,0.0,-91.5,0.0
Mart 2024,89.1,0.0,-89.1,0.0
Nisan 2024,125.9,0.0,-125.9,0.0
Mayıs 2024,160.0,0.0,-160.0,0.0
Haziran 2024,202.6,104.36,-98.24,51.5
Temmuz 2024,143.4,0.0,-143.4,0.0
Ağustos 2024,148.0,0.0,-148.0,0.0
Eylül 2024,174.0,0.0,-174.0,0.0
Ekim 2024,176.3,0.0,-176.3,0.0
Kasım 2024,177.6,0.0,-177.6,0.0
Aralık 2024,126.8,0.0,-126.8,0.0
Ocak 2025,201.5,0.0,-201.5,0.0
Şubat 2025,175.9,0.0,-175.9,0.0
Mart 2025,201.2,0.0,-201.2,0.0
Nisan 2025,301.1,0.0,-301.1,0.0
Mayıs 2025,105.1,0.0,-105.1,0.0
Haziran 2025,265.0,0.0,-265.0,0.0
Temmuz 2025,195.9,0.0,-195.9,0.0
Ağustos 2025,250.8,0.0,-250.8,0.0
Eylül 2025,321.0,0.0,-321.0,0.0
Ekim 2025,255.1,0.0,-255.1,0.0
Kasım 2025,68.3,0.0,-68.3,0.0
Aralık 2025,109.2,0.0,-109.2,0.0
Ocak 2026,327.7,0.0,-327.7,0.0
Şubat 2026,225.3,0.0,-225.3,0.0
Mart 2026,170.5,0.0,-170.5,0.0
Nisan 2026,250.1,0.0,-250.1,0.0
Mayıs 2026,161.7,0.0,-161.7,0.0
Haziran 2026,303.8,0.0,-303.8,0.0
Temmuz 2026,276.8,0.0,-276.8,0.0
Ağustos 2026,371.7,0.0,-371.7,0.0
Eylül 2026,247.9,0.0,-247.9,0.0
Ekim 2026,235.1,0.0,-235.1,0.0
