ISIN,Senet Tanımı,İhale Tarihi,Valör Tarihi,İtfa Tarihi,Vade (Yıl),ROT Toplam(Teklif),ROT Toplam(Gerçekleşme),ROT Kamu(Teklif),ROT Kamu(Gerçekleşme),ROT Piyasa Yapıcılar(Teklif),ROT Piyasa Yapıcılar(Gerçekleşme),ROT Piyasa Yapıcılar Kabul Oranı (%),İhale(Teklif),İhale(Gerçekleşme),İhale Kabul Oranı (%),Toplam(Teklif),Toplam(Gerçekleşme),Ortalama Yıllık Basit(Teklif),Ortalama Yıllık Basit(Gerçekleşme),Ortalama Yıllık Bileşik(Teklif),Ortalama Yıllık Bileşik(Gerçekleşme),En Düşük Yıllık Bileşik(Teklif),En Düşük Yıllık Bileşik(Gerçekleşme),En Yüksek Yıllık Bileşik(Teklif),En Yüksek Yıllık Bileşik(Gerçekleşme),Ortalama Fiyat(Teklif),Ortalama Fiyat(Gerçekleşme),En Düşük Fiyat(Teklif),En Düşük Fiyat(Gerçekleşme),En Yüksek Fiyat(Teklif),En Yüksek Fiyat(Gerçekleşme)
TRT050935T13,Sabit Kuponlu Devlet Tahvili,18.08.2026,19.08.2026,05.09.2035,9.05,61382,38000,4000.0,4000.0,57382,34000,59.3,59701,36427,61.0,121083,74427,32.55,32.49,35.2,35.12,35.04,35.04,35.7,35.19,105.414,105.586,104.264,105.435,105.783,105.783
TRT080530T27,TÜFE'ye Endeksli Devlet Tahvili,18.08.2026,19.08.2026,08.05.2030,3.72,4877,4450,4000.0,4000.0,877,450,51.3,683,204,29.9,5560,4654,6.02,5.75,6.11,5.83,5.73,5.73,7.21,5.89,106.633,107.61,103.0,107.384,107.95,107.95
TRT030730T12,TLREF'e Endeksli Devlet Tahvili,17.08.2026,19.08.2026,03.07.2030,3.87,109623,55100,100.0,100.0,109523,55000,50.2,131941,33160,25.1,241564,88260,41.05,40.91,45.26,45.09,44.96,44.96,46.07,45.14,102.334,102.589,101.115,102.515,102.794,102.794
TRT020130T19,Değişken Faizli Devlet Tahvili,17.08.2026,19.08.2026,02.01.2030,3.37,16914,8500,,,16914,8500,50.3,16814,4911,29.2,33728,13411,42.18,41.75,46.63,46.1,45.5,45.5,48.77,46.29,97.454,98.17,94.625,97.922,99.0,99.0
TRT160431T35,Sabit Kuponlu Devlet Tahvili,11.08.2026,12.08.2026,16.04.2031,4.68,22187,14300,6300.0,6300.0,15887,8000,50.4,14175,7095,50.1,36362,21395,36.28,36.05,39.57,39.29,38.9,38.9,45.83,39.38,103.328,103.808,93.35,103.657,104.513,104.513
TRB100227T13,Hazine Bonosu,11.08.2026,12.08.2026,10.02.2027,0.5,72205,33000,6000.0,6000.0,66205,27000,40.8,112642,41344,36.7,184847,74344,37.89,37.6,41.48,41.13,40.82,40.82,43.88,41.32,84.072,84.175,83.368,84.12,84.268,84.268
TRT150328T24,Sabit Kuponlu Devlet Tahvili,10.08.2026,12.08.2026,15.03.2028,1.59,57941,37500,16500.0,16500.0,41441,21000,50.7,70770,34464,48.7,128712,71964,38.17,38.06,41.81,41.68,41.5,41.5,43.4,41.79,113.072,113.193,111.609,113.096,113.366,113.366
TRB100227T13,Hazine Bonosu,21.07.2026,22.07.2026,10.02.2027,0.56,23420,17400,11400.0,11400.0,12020,6000,49.9,74178,43425,58.5,97598,60825,38.58,38.25,41.83,41.44,39.75,39.75,43.44,41.79,82.294,82.418,81.776,82.307,82.972,82.972
TRT150328T24,Sabit Kuponlu Devlet Tahvili,21.07.2026,22.07.2026,15.03.2028,1.65,15817,9400,3400.0,3400.0,12417,6000,48.3,46033,25110,54.5,61850,34510,38.47,38.32,42.17,41.99,41.75,41.75,43.14,42.17,110.479,110.643,109.555,110.471,110.875,110.875
TRT160431T35,Sabit Kuponlu Devlet Tahvili,07.07.2026,08.07.2026,16.04.2031,4.77,35652,23000,8000.0,8000.0,27652,15000,54.2,15204,10023,65.9,50856,33023,35.0,34.93,38.06,37.97,37.79,37.79,40.18,38.08,102.81,102.963,99.0,102.77,103.308,103.308
TRT030730T12,TLREF'e Endeksli Devlet Tahvili,07.07.2026,08.07.2026,03.07.2030,3.99,161226,82700,3700.0,3700.0,157526,79000,50.2,142874,74576,52.2,304100,157276,41.22,40.9,45.47,45.08,35.01,35.01,46.41,45.6,97.7,98.295,96.267,97.504,116.434,116.434
TRT160431T35,Sabit Kuponlu Devlet Tahvili,16.06.2026,17.06.2026,16.04.2031,4.83,24251,20000,15000.0,15000.0,9251,5000,54.0,13794,9804,71.1,38046,29804,34.97,34.9,38.02,37.94,37.79,37.79,38.74,38.12,100.976,101.126,99.652,100.797,101.421,101.421
TRT150328T24,Sabit Kuponlu Devlet Tahvili,15.06.2026,17.06.2026,15.03.2028,1.74,28925,24600,20600.0,20600.0,8325,4000,48.0,24296,7596,31.3,53221,32196,38.55,38.27,42.26,41.93,41.65,41.65,42.98,42.05,106.707,107.034,106.0,106.923,107.32,107.32
TRB100227T13,Hazine Bonosu,15.06.2026,17.06.2026,10.02.2027,0.65,82350,50150,24150.0,24150.0,58200,26000,44.7,73287,21726,29.6,155637,71876,40.18,39.71,42.87,42.33,40.83,40.83,46.51,42.54,79.193,79.389,77.903,79.313,79.944,79.944
TRT090130T12,TLREF'e Endeksli Devlet Tahvili,09.06.2026,10.06.2026,09.01.2030,3.58,145168,61030,4030.0,4030.0,141138,57000,40.4,117005,68135,58.2,262173,129165,38.55,38.49,42.27,42.19,41.97,41.97,43.07,42.27,112.239,112.356,111.023,112.244,112.708,112.708
TRT050630T11,Değişken Faizli Devlet Tahvili,09.06.2026,10.06.2026,05.06.2030,3.99,20401,10000,2000.0,2000.0,18401,8000,43.5,22649,11770,52.0,43050,21770,42.07,41.89,46.5,46.28,45.97,45.97,47.6,46.46,91.567,91.879,90.0,91.625,92.322,92.322
TRT080530T27,TÜFE'ye Endeksli Devlet Tahvili,08.06.2026,10.06.2026,08.05.2030,3.91,8328,6600,4000.0,4000.0,4328,2600,60.1,8856,6586,74.4,17184,13186,5.61,5.54,5.69,5.61,5.4,5.4,5.99,5.83,101.616,101.869,100.593,101.117,102.627,102.627
TRT090130T12,TLREF'e Endeksli Devlet Tahvili,12.05.2026,13.05.2026,09.01.2030,3.66,116605,42040,2040.0,2040.0,114565,40000,34.9,133374,44450,33.3,249979,86490,38.6,38.43,42.33,42.12,41.49,41.49,51.1,42.2,109.144,109.465,97.0,109.34,110.47,110.47
TRT080530T27,TÜFE'ye Endeksli Devlet Tahvili,11.05.2026,13.05.2026,08.05.2030,3.99,6543,4700,2000.0,2000.0,4543,2700,59.4,5080,3611,71.1,11623,8311,5.53,5.41,5.61,5.48,5.2,5.2,6.35,5.65,99.033,99.464,96.551,98.878,100.466,100.466
TRT150328T24,Sabit Kuponlu Devlet Tahvili,11.05.2026,13.05.2026,15.03.2028,1.84,25054,18800,11200.0,11200.0,13854,7600,54.9,15339,9816,64.0,40393,28616,38.28,38.16,41.94,41.8,41.45,41.45,42.74,41.99,103.487,103.627,102.659,103.433,103.995,103.995
TRB170327T15,Hazine Bonosu,05.05.2026,06.05.2026,17.03.2027,0.86,15155,8700,700.0,700.0,14455,8000,55.3,24660,15322,62.1,39815,24022,42.01,41.46,43.1,42.51,41.08,41.08,51.01,43.18,73.336,73.596,70.0,73.301,74.243,74.243
