İhale Tarihi,Senet Tanımı,Vade Terimi,İtfa Tarihi,Yöntem,Aylık Strateji Hedefi (Milyar TL),Gerçekleşme Oranı Varsayımı (%),Tahmini Gerçekleşme (Milyon TL),Tahmini Bid-to-Cover,Tahmini Teklif (Milyon TL),Geçmiş Ort. Gerçekleşme (Milyon TL),Kıyas Bazı,Kıyas İhale Sayısı,Son İhale Tarihi
02.07.2026,Altın Tahvili,2Yıl /728 Gün,30.06.2028,Doğrudan Satış,308.7,77.9,,,,,Doğrudan satış — ihale tahmini yok,0,
02.07.2026,Altına Dayalı Kira Sertifikası,2Yıl /728 Gün,30.06.2028,Doğrudan Satış,308.7,77.9,,,,,Doğrudan satış — ihale tahmini yok,0,
06.07.2026,Sabit Kuponlu Devlet Tahvili,2Yıl /616 Gün,15.03.2028,İhale / Yeniden ihraç,308.7,77.9,32806.0,1.53,50193.0,30794.0,Aynı tahvil (itfa eşleşmesi),4,15.06.2026
07.07.2026,Sabit Kuponlu Devlet Tahvili,5Yıl /1743 Gün,16.04.2031,İhale / Yeniden ihraç,308.7,77.9,27172.0,1.39,37769.0,25506.0,Aynı tahvil (itfa eşleşmesi),12,16.06.2026
20.07.2026,Hazine Bonosu,7Ay /203 Gün,10.02.2027,İhale / Yeniden ihraç,308.7,77.9,68545.0,1.89,129550.0,64342.0,Aynı tahvil (itfa eşleşmesi),4,15.06.2026
20.07.2026,Kira Sertifikası,5Yıl /1820 Gün,16.07.2031,Doğrudan Satış,308.7,77.9,,,,,Doğrudan satış — ihale tahmini yok,0,
21.07.2026,ABD Doları Cinsi Devlet Tahvili,2Yıl /728 Gün,19.07.2028,Doğrudan Satış,308.7,77.9,,,,,Doğrudan satış — ihale tahmini yok,0,
21.07.2026,ABD Doları Cinsi Kira Sertifikası,2Yıl /728 Gün,19.07.2028,Doğrudan Satış,308.7,77.9,,,,,Doğrudan satış — ihale tahmini yok,0,
21.07.2026,TLREF'e Endeksli Devlet Tahvili,4Yıl /1456 Gün,17.07.2030,İhale / İlk ihraç,308.7,77.9,112027.0,2.2,246459.0,105157.0,Aynı tip + benzer vade,52,09.06.2026
10.08.2026,Sabit Kuponlu Devlet Tahvili,2Yıl /728 Gün,09.08.2028,İhale / İlk ihraç,355.8,77.9,30304.0,1.53,46365.0,30794.0,Aynı tip + benzer vade,74,15.06.2026
10.08.2026,Hazine Bonosu,6Ay /182 Gün,10.02.2027,İhale / Yeniden ihraç,355.8,77.9,63317.0,1.89,119669.0,64342.0,Aynı tahvil (itfa eşleşmesi),4,15.06.2026
11.08.2026,Kira Sertifikası,2Yıl /728 Gün,09.08.2028,Doğrudan Satış,355.8,77.9,,,,,Doğrudan satış — ihale tahmini yok,0,
11.08.2026,Sabit Kuponlu Devlet Tahvili,5Yıl /1708 Gün,16.04.2031,İhale / Yeniden ihraç,355.8,77.9,25100.0,1.39,34889.0,25506.0,Aynı tahvil (itfa eşleşmesi),12,16.06.2026
17.08.2026,Değişken Faizli Devlet Tahvili,3Yıl /1232 Gün,02.01.2030,İhale / Yeniden ihraç,355.8,77.9,31004.0,3.93,121846.0,31506.0,Aynı tahvil (itfa eşleşmesi),1,05.01.2026
17.08.2026,TLREF'e Endeksli Devlet Tahvili,4Yıl /1428 Gün,17.07.2030,İhale / Yeniden ihraç,355.8,77.9,103482.0,2.2,227660.0,105157.0,Aynı tip + benzer vade,52,09.06.2026
18.08.2026,TÜFE'ye Endeksli Devlet Tahvili,4Yıl /1358 Gün,08.05.2030,İhale / Yeniden ihraç,355.8,77.9,10577.0,1.35,14279.0,10748.0,Aynı tahvil (itfa eşleşmesi),2,08.06.2026
18.08.2026,Sabit Kuponlu Devlet Tahvili,9Yıl /3304 Gün,05.09.2035,İhale / Yeniden ihraç,355.8,77.9,13467.0,2.78,37438.0,13685.0,Aynı tahvil (itfa eşleşmesi),3,13.01.2026
20.08.2026,ABD Doları Cinsi Devlet Tahvili,1Yıl /364 Gün,20.08.2027,Doğrudan Satış,355.8,77.9,,,,,Doğrudan satış — ihale tahmini yok,0,
20.08.2026,ABD Doları Cinsi Kira Sertifikası,1Yıl /364 Gün,20.08.2027,Doğrudan Satış,355.8,77.9,,,,,Doğrudan satış — ihale tahmini yok,0,
