İhale Tarihi,Senet Tanımı,Gerçek Gerçekleşme (Milyon TL),Tahmin-Ham (Milyon TL),Gerçek Bid-to-Cover,Tahmin Bid-to-Cover,Gerçek Teklif (Milyon TL),Kıyas Bazı,Tahmin-Strateji (Milyon TL),Tahmin-Düzeltilmiş (Milyon TL),Tahmin Teklif (Milyon TL),Tutar Sapma % (düzeltilmiş),Tutar Sapma % (strateji),Tutar Sapma % (ham),B2C Sapma %,Teklif Sapma %
10.03.2020,Değişken Faizli Devlet Tahvili,2837.0,1520.0,2.0,3.03,5662.0,Aynı tahvil (itfa eşleşmesi),3584.0,2801.0,8487.0,-1.3,26.3,-46.4,51.5,49.9
23.03.2020,Sabit Kuponlu Devlet Tahvili,4808.0,3260.0,1.32,2.03,6348.0,Aynı tahvil (itfa eşleşmesi),7688.0,6008.0,12196.0,25.0,59.9,-32.2,53.8,92.1
24.03.2020,TLREF'e Endeksli Devlet Tahvili,3561.0,3065.0,1.26,1.88,4482.0,Aynı tip + benzer vade,7228.0,5649.0,10620.0,58.6,103.0,-13.9,49.2,136.9
07.04.2020,TLREF'e Endeksli Devlet Tahvili,6185.0,3561.0,1.25,1.26,7706.0,Aynı tahvil (itfa eşleşmesi),5626.0,4397.0,5540.0,-28.9,-9.0,-42.4,0.8,-28.1
21.04.2020,TÜFE'ye Endeksli Devlet Tahvili,11170.0,2885.0,2.34,2.1,26164.0,Aynı tip + benzer vade,4558.0,3562.0,7480.0,-68.1,-59.2,-74.2,-10.3,-71.4
27.04.2020,Değişken Faizli Devlet Tahvili,4949.0,2178.0,1.6,2.51,7912.0,Aynı tahvil (itfa eşleşmesi),3441.0,2689.0,6749.0,-45.7,-30.5,-56.0,56.9,-14.7
28.04.2020,Sabit Kuponlu Devlet Tahvili,3383.0,4034.0,1.66,1.67,5611.0,Aynı tahvil (itfa eşleşmesi),6374.0,4981.0,8318.0,47.2,88.4,19.2,0.6,48.2
04.05.2020,Kuponsuz Devlet Tahvili,8834.0,4891.0,2.22,1.81,19584.0,Aynı tahvil (itfa eşleşmesi),2575.0,2012.0,3642.0,-77.2,-70.9,-44.6,-18.5,-81.4
05.05.2020,TÜFE'ye Endeksli Devlet Tahvili,3773.0,2885.0,2.09,2.1,7867.0,Aynı tahvil (itfa eşleşmesi),1519.0,1187.0,2493.0,-68.5,-59.7,-23.5,0.5,-68.3
05.05.2020,Sabit Kuponlu Devlet Tahvili,7309.0,3817.0,2.19,1.67,16016.0,Aynı tip + benzer vade,2010.0,1571.0,2624.0,-78.5,-72.5,-47.8,-23.7,-83.6
11.05.2020,Sabit Kuponlu Devlet Tahvili,2564.0,5167.0,1.88,1.72,4816.0,Aynı tip + benzer vade,2720.0,2126.0,3657.0,-17.1,6.1,101.5,-8.5,-24.1
11.05.2020,Değişken Faizli Devlet Tahvili,3564.0,3102.0,2.45,2.21,8719.0,Aynı tip + benzer vade,1633.0,1276.0,2820.0,-64.2,-54.2,-13.0,-9.8,-67.7
12.05.2020,TLREF'e Endeksli Devlet Tahvili,5028.0,4873.0,1.75,1.25,8814.0,Aynı tahvil (itfa eşleşmesi),2566.0,2005.0,2506.0,-60.1,-49.0,-3.1,-28.6,-71.6
12.05.2020,TÜFE'ye Endeksli Devlet Tahvili,3633.0,5943.0,1.7,2.18,6172.0,Aynı tip + benzer vade,3129.0,2445.0,5330.0,-32.7,-13.9,63.6,28.2,-13.6
22.05.2020,Hazine Bonosu,1812.0,5980.0,2.05,1.85,3713.0,Aynı tip + benzer vade,3148.0,2460.0,4551.0,35.8,73.7,230.0,-9.8,22.6
08.06.2020,Sabit Kuponlu Devlet Tahvili,3223.0,7309.0,2.14,2.19,6890.0,Aynı tahvil (itfa eşleşmesi),4885.0,3818.0,8361.0,18.5,51.6,126.8,2.3,21.3
09.06.2020,Değişken Faizli Devlet Tahvili,4382.0,3564.0,1.77,2.45,7751.0,Aynı tahvil (itfa eşleşmesi),2382.0,1862.0,4562.0,-57.5,-45.6,-18.7,38.4,-41.1
09.06.2020,Kuponsuz Devlet Tahvili,1953.0,6862.0,2.15,2.01,4199.0,Aynı tahvil (itfa eşleşmesi),4587.0,3585.0,7206.0,83.6,134.9,251.4,-6.5,71.6
16.06.2020,TLREF'e Endeksli Devlet Tahvili,3201.0,4925.0,2.06,1.42,6603.0,Aynı tahvil (itfa eşleşmesi),3292.0,2573.0,3654.0,-19.6,2.8,53.9,-31.1,-44.7
16.06.2020,Hazine Bonosu,2480.0,1812.0,2.62,2.05,6508.0,Aynı tahvil (itfa eşleşmesi),1211.0,946.0,1939.0,-61.9,-51.2,-26.9,-21.8,-70.2
23.06.2020,Sabit Kuponlu Devlet Tahvili,3541.0,5113.0,1.94,1.88,6875.0,Aynı tip + benzer vade,3418.0,2671.0,5021.0,-24.6,-3.5,44.4,-3.1,-27.0
23.06.2020,TÜFE'ye Endeksli Devlet Tahvili,3412.0,3329.0,2.44,2.09,8331.0,Aynı tip + benzer vade,2225.0,1739.0,3635.0,-49.0,-34.8,-2.4,-14.3,-56.4
06.07.2020,Sabit Kuponlu Devlet Tahvili,3356.0,5266.0,2.18,2.16,7306.0,Aynı tahvil (itfa eşleşmesi),5442.0,4253.0,9186.0,26.7,62.2,56.9,-0.9,25.7
06.07.2020,Değişken Faizli Devlet Tahvili,4756.0,3973.0,1.65,2.11,7852.0,Aynı tahvil (itfa eşleşmesi),4106.0,3209.0,6771.0,-32.5,-13.7,-16.5,27.9,-13.8
07.07.2020,TÜFE'ye Endeksli Devlet Tahvili,5472.0,3412.0,1.79,2.44,9769.0,Aynı tahvil (itfa eşleşmesi),3526.0,2756.0,6725.0,-49.6,-35.6,-37.6,36.3,-31.2
20.07.2020,Sabit Kuponlu Devlet Tahvili,1992.0,3541.0,2.54,1.94,5068.0,Aynı tahvil (itfa eşleşmesi),3659.0,2859.0,5546.0,43.5,83.7,77.8,-23.6,9.4
21.07.2020,TLREF'e Endeksli Devlet Tahvili,2797.0,4805.0,2.2,1.69,6140.0,Aynı tip + benzer vade,4966.0,3881.0,6559.0,38.8,77.5,71.8,-23.2,6.8
21.07.2020,Kuponsuz Devlet Tahvili,1546.0,5226.0,3.04,2.06,4696.0,Aynı tip + benzer vade,5401.0,4221.0,8695.0,173.0,249.4,238.0,-32.2,85.2
10.08.2020,TLREF'e Endeksli Devlet Tahvili,3168.0,2797.0,1.88,2.2,5964.0,Aynı tahvil (itfa eşleşmesi),3957.0,3092.0,6802.0,-2.4,24.9,-11.7,17.0,14.1
11.08.2020,Sabit Kuponlu Devlet Tahvili,2752.0,4629.0,1.9,2.17,5223.0,Aynı tahvil (itfa eşleşmesi),6549.0,5118.0,11106.0,86.0,138.0,68.2,14.2,112.6
11.08.2020,TÜFE'ye Endeksli Devlet Tahvili,1395.0,4442.0,2.56,2.11,3566.0,Aynı tahvil (itfa eşleşmesi),6284.0,4911.0,10362.0,252.0,350.5,218.4,-17.6,190.6
24.08.2020,Sabit Kuponlu Devlet Tahvili,3672.0,2700.0,1.6,2.21,5868.0,Aynı tip + benzer vade,3820.0,2985.0,6597.0,-18.7,4.0,-26.5,38.1,12.4
24.08.2020,Değişken Faizli Devlet Tahvili,2357.0,4234.0,2.33,1.96,5503.0,Aynı tip + benzer vade,5990.0,4681.0,9175.0,98.6,154.1,79.6,-15.9,66.7
14.09.2020,Değişken Faizli Devlet Tahvili,2115.0,4234.0,3.22,1.96,6815.0,Aynı tahvil (itfa eşleşmesi),91410.0,71436.0,140015.0,3277.6,4222.0,100.2,-39.1,1954.5
