Dönem,Tarih,Ağırlıklı Ortalama Vade (Yıl),Toplam İhraç (Milyon TL),İhale Sayısı,3 Aylık Ağırlıklı Ortalama Vade
2020-02,2020-02-01,2.74,7845,3,2.74
2020-03,2020-03-01,3.06,18982,5,2.97
2020-04,2020-04-01,2.95,31667,5,2.96
2020-05,2020-05-01,3.19,36517,8,3.07
2020-06,2020-06-01,3.39,22192,7,3.16
2020-07,2020-07-01,4.18,19919,6,3.5
2020-08,2020-08-01,3.56,13344,5,3.71
2020-09,2020-09-01,4.7,7866,4,4.08
2020-10,2020-10-01,4.3,11879,4,4.1
2020-11,2020-11-01,3.28,3305,2,4.29
2020-12,2020-12-01,6.54,7048,3,4.86
2021-01,2021-01-01,5.55,22749,6,5.53
2021-02,2021-02-01,6.22,22424,7,5.97
2021-03,2021-03-01,5.82,8323,4,5.87
2021-04,2021-04-01,3.92,22948,6,5.18
2021-05,2021-05-01,4.23,17001,7,4.36
2021-06,2021-06-01,5.12,18489,6,4.39
2021-07,2021-07-01,6.58,25863,6,5.49
2021-08,2021-08-01,9.66,9446,2,6.62
2021-09,2021-09-01,4.44,33192,7,5.97
2021-10,2021-10-01,3.51,28601,7,4.76
2021-11,2021-11-01,3.79,12627,5,3.97
2021-12,2021-12-01,8.41,10923,3,4.6
2022-01,2022-01-01,4.88,30506,6,5.34
2022-02,2022-02-01,4.53,46757,7,5.13
2022-03,2022-03-01,5.4,29715,6,4.87
2022-04,2022-04-01,6.48,29259,5,5.31
2022-05,2022-05-01,5.42,38423,6,5.73
2022-06,2022-06-01,5.21,49417,6,5.6
2022-07,2022-07-01,7.59,34053,4,5.94
2022-08,2022-08-01,6.69,47245,5,6.36
2022-09,2022-09-01,6.55,49746,6,6.87
2022-10,2022-10-01,7.22,49852,5,6.82
2022-11,2022-11-01,6.29,46087,6,6.7
2022-12,2022-12-01,5.8,47076,6,6.45
2023-01,2023-01-01,6.26,72666,7,6.14
2023-02,2023-02-01,5.96,55684,6,6.04
2023-03,2023-03-01,6.13,73309,7,6.13
2023-04,2023-04-01,7.94,27069,5,6.38
2023-05,2023-05-01,6.11,45488,6,6.46
2023-06,2023-06-01,5.89,74583,6,6.34
2023-07,2023-07-01,5.4,67181,6,5.77
2023-08,2023-08-01,5.5,123110,6,5.58
2023-09,2023-09-01,6.94,102331,6,5.98
2023-10,2023-10-01,5.76,52627,7,6.08
2023-11,2023-11-01,5.19,74390,7,6.1
2023-12,2023-12-01,5.74,89297,6,5.56
2024-01,2024-01-01,5.02,122759,7,5.29
2024-02,2024-02-01,5.39,89153,7,5.34
2024-03,2024-03-01,5.65,74727,7,5.3
2024-04,2024-04-01,5.08,99756,7,5.35
2024-05,2024-05-01,5.19,161379,7,5.26
2024-06,2024-06-01,3.62,68979,3,4.83
2024-07,2024-07-01,3.78,130253,7,4.38
2024-08,2024-08-01,4.15,86925,6,3.85
2024-09,2024-09-01,4.01,146488,7,3.96
2024-10,2024-10-01,4.24,123916,7,4.12
2024-11,2024-11-01,3.94,142850,7,4.05
2024-12,2024-12-01,3.81,128907,7,3.99
2025-01,2025-01-01,3.12,198308,6,3.56
2025-02,2025-02-01,2.97,184171,5,3.24
2025-03,2025-03-01,3.71,194531,5,3.27
2025-04,2025-04-01,2.46,226542,6,3.02
2025-05,2025-05-01,3.64,102051,4,3.16
2025-06,2025-06-01,3.85,237557,7,3.26
2025-07,2025-07-01,4.15,235735,7,3.94
2025-08,2025-08-01,3.46,292143,5,3.79
2025-09,2025-09-01,2.42,173355,5,3.43
2025-10,2025-10-01,3.46,161127,5,3.17
2025-11,2025-11-01,1.62,81639,3,2.67
2025-12,2025-12-01,2.33,104637,4,2.69
2026-01,2026-01-01,3.67,317081,7,3.06
2026-02,2026-02-01,3.14,201529,5,3.27
2026-03,2026-03-01,3.17,140226,6,3.4
2026-04,2026-04-01,3.43,191675,5,3.25
2026-05,2026-05-01,3.12,167661,5,3.25
2026-06,2026-06-01,2.84,297997,6,3.08
2026-07,2026-07-01,3.07,285634,4,2.99
