tarih,TP.AB.A01,TP.AB.A02,TP.AB.A03,TP.AB.A04,TP.AB.A05,TP.AB.A051,TP.AB.A052,TP.AB.A053,TP.AB.A054,TP.AB.A06,TP.AB.A061,TP.AB.A07,TP.AB.A08,TP.AB.A081,TP.AB.A09,TP.AB.A10,TP.AB.A11,TP.AB.A12,TP.AB.A13,TP.AB.A14,TP.AB.A15,TP.AB.A16,TP.AB.A17,TP.AB.A18,TP.AB.A19,TP.AB.A20,TP.AB.A21,TP.AB.A22,TP.AB.A23,TP.AB.A24,TP.AB.A25
2025-12-01,10702780468.00000000,8046867625.00000000,3606744832.00000000,,236139447.00000000,241771404.00000000,,,-5631958.00000000,890915106.00000000,0.00000000,2479690280.00000000,-950831989.00000000,,10702780468.00000000,5297641852.00000000,654425289.00000000,4643216562.00000000,485155707.00000000,4158060855.00000000,5405138617.00000000,4161315507.00000000,853314333.00000000,3296823581.00000000,1076867605.00000000,2219955976.00000000,601838.00000000,10575755.00000000,1243823109.00000000,434462859.00000000,809360250.00000000
2025-12-02,10729070761.00000000,8024136522.00000000,3608577256.00000000,,235964552.00000000,241771404.00000000,,,-5806852.00000000,893215077.00000000,0.00000000,2479397627.00000000,-903643017.00000000,,10729070761.00000000,5270272498.00000000,652626350.00000000,4617646148.00000000,480991346.00000000,4136654802.00000000,5458798263.00000000,4101984648.00000000,853435145.00000000,3237379986.00000000,1076867605.00000000,2160512381.00000000,593769.00000000,10575748.00000000,1356813614.00000000,444097749.00000000,912715865.00000000
2025-12-03,10745768047.00000000,8042992842.00000000,3614994939.00000000,,234965065.00000000,241076222.00000000,,,-6111157.00000000,899161313.00000000,0.00000000,2480868560.00000000,-912219733.00000000,,10745768047.00000000,5245197349.00000000,651522325.00000000,4593675024.00000000,481428571.00000000,4112246453.00000000,5500570699.00000000,4087194221.00000000,850115973.00000000,3224515342.00000000,1076867605.00000000,2147647736.00000000,1537172.00000000,11025734.00000000,1413376477.00000000,419308784.00000000,994067693.00000000
2025-12-04,10750440678.00000000,8045852423.00000000,3615764994.00000000,,234753755.00000000,241076222.00000000,,,-6322467.00000000,899250300.00000000,0.00000000,2481760939.00000000,-911176739.00000000,,10750440678.00000000,5205140964.00000000,653847595.00000000,4551293369.00000000,480477922.00000000,4070815447.00000000,5545299714.00000000,4081314295.00000000,848890739.00000000,3220594139.00000000,1076867605.00000000,2143726534.00000000,803694.00000000,11025723.00000000,1463985420.00000000,464027693.00000000,999957727.00000000
2025-12-05,10695545838.00000000,8008863720.00000000,3616130600.00000000,,234391947.00000000,241076222.00000000,,,-6684275.00000000,898063365.00000000,0.00000000,2483675289.00000000,-929448482.00000000,,10695545838.00000000,5114294003.00000000,654491928.00000000,4459802075.00000000,482724484.00000000,3977077592.00000000,5581251835.00000000,4259716601.00000000,859995084.00000000,3391226219.00000000,1084736450.00000000,2306489769.00000000,791087.00000000,7704211.00000000,1321535235.00000000,331942300.00000000,989592935.00000000
2025-12-08,10735977888.00000000,8025532323.00000000,3624373451.00000000,,233887128.00000000,241076222.00000000,,,-7189094.00000000,901516037.00000000,0.00000000,2488970286.00000000,-913927886.00000000,,10735977888.00000000,5143453937.00000000,653003866.00000000,4490450071.00000000,481950643.00000000,4008499428.00000000,5592523951.00000000,4027620950.00000000,850700051.00000000,3168878041.00000000,1084736450.00000000,2084141591.00000000,788091.00000000,7254767.00000000,1564903001.00000000,624455320.00000000,940447681.00000000
2025-12-09,10765631223.00000000,8059983968.00000000,3628627465.00000000,,233660240.00000000,241076222.00000000,,,-7415982.00000000,904914504.00000000,0.00000000,2490052721.00000000,-922980210.00000000,,10765631223.00000000,5173653163.00000000,655259111.00000000,4518394052.00000000,482453540.00000000,4035940512.00000000,5591978060.00000000,4019571481.00000000,845930252.00000000,3165594992.00000000,1084736450.00000000,2080858542.00000000,791716.00000000,7254521.00000000,1572406579.00000000,617994600.00000000,954411979.00000000
2025-12-10,10787083574.00000000,8074939310.00000000,3626975663.00000000,,226862238.00000000,234485623.00000000,,,-7623385.00000000,909861470.00000000,0.00000000,2490251955.00000000,-914831399.00000000,,10787083574.00000000,5215529134.00000000,655203047.00000000,4560326087.00000000,482135345.00000000,4078190742.00000000,5571554439.00000000,3977376191.00000000,841917212.00000000,3127408012.00000000,1084736450.00000000,2042671562.00000000,796450.00000000,7254517.00000000,1594178249.00000000,592188400.00000000,1001989849.00000000
2025-12-11,10824787852.00000000,8130438077.00000000,3627448023.00000000,,226652914.00000000,234485623.00000000,,,-7832709.00000000,909691418.00000000,0.00000000,2491103691.00000000,-933098248.00000000,,10824787852.00000000,5251376664.00000000,656578980.00000000,4594797684.00000000,483122354.00000000,4111675330.00000000,5573411188.00000000,3913901855.00000000,837818534.00000000,3068033818.00000000,1084736450.00000000,1983297368.00000000,792800.00000000,7256703.00000000,1659509333.00000000,865276800.00000000,794232533.00000000
2025-12-12,10838421268.00000000,8221304792.00000000,3627550818.00000000,,226207451.00000000,234485623.00000000,,,-8278172.00000000,908522184.00000000,0.00000000,2492821183.00000000,-1010434342.00000000,,10838421268.00000000,5239240445.00000000,663964357.00000000,4575276088.00000000,487889967.00000000,4087386121.00000000,5599180824.00000000,4580386582.00000000,846524296.00000000,3724469215.00000000,1084736450.00000000,2639732765.00000000,2136378.00000000,7256693.00000000,1018794242.00000000,300459700.00000000,718334542.00000000
2025-12-15,10816483450.00000000,8199862656.00000000,3633974476.00000000,,226566485.00000000,234485623.00000000,,,-7919138.00000000,912016042.00000000,0.00000000,2495391949.00000000,-1017353683.00000000,,10816483450.00000000,5222651778.00000000,667499200.00000000,4555152578.00000000,483056162.00000000,4072096416.00000000,5593831672.00000000,4560382489.00000000,842176814.00000000,3710207109.00000000,1084736450.00000000,2625470659.00000000,739500.00000000,7259066.00000000,1033449183.00000000,353099640.00000000,680349543.00000000
2025-12-16,10860341211.00000000,8200065339.00000000,3639464183.00000000,,226407016.00000000,234485623.00000000,,,-8078607.00000000,915607645.00000000,0.00000000,2497449523.00000000,-979188311.00000000,,10860341211.00000000,5217854699.00000000,667441623.00000000,4550413076.00000000,482037679.00000000,4068375397.00000000,5642486512.00000000,4387965114.00000000,841730696.00000000,3538230462.00000000,1084736450.00000000,2453494012.00000000,744913.00000000,7259043.00000000,1254521399.00000000,583641498.00000000,670879900.00000000
