tarih,TP.BL005,TP.BL009,TP.BL010,TP.BL012,TP.BL013,TP.BL060
2025-12-05,1127343706.00000000,241076222.00000000,230925894.00000000,0.00000000,0.00000000,0.00000000
2025-12-12,1200353210.00000000,234485623.00000000,224618690.00000000,0.00000000,0.00000000,0.00000000
2025-12-19,1232605848.00000000,234460465.00000000,224618690.00000000,0.00000000,0.00000000,0.00000000
2025-12-26,1172437418.00000000,234460465.00000000,224618690.00000000,0.00000000,0.00000000,0.00000000
2026-01-02,1070379111.00000000,245737422.00000000,235358764.00000000,0.00000000,0.00000000,0.00000000
2026-01-09,1179353926.00000000,255633358.00000000,245021732.00000000,0.00000000,0.00000000,0.00000000
2026-01-16,1159172741.00000000,264923568.00000000,252538082.00000000,0.00000000,0.00000000,0.00000000
2026-01-23,1203365724.00000000,273522864.00000000,260248407.00000000,0.00000000,0.00000000,0.00000000
2026-01-30,1310638334.00000000,289830511.00000000,275221486.00000000,0.00000000,0.00000000,0.00000000
2026-02-06,1329067817.00000000,300157505.00000000,285548479.00000000,0.00000000,0.00000000,0.00000000
2026-02-13,1289563916.00000000,296229858.00000000,280284601.00000000,0.00000000,0.00000000,0.00000000
2026-02-20,1247737897.00000000,280306123.00000000,263132151.00000000,0.00000000,0.00000000,0.00000000
2026-02-27,1168501314.00000000,294496839.00000000,274607889.00000000,0.00000000,0.00000000,0.00000000
2026-03-06,629537329.00000000,376185393.00000000,354834627.00000000,0.00000000,0.00000000,77402345.00000000
2026-03-13,444975211.00000000,410310759.00000000,388968649.00000000,0.00000000,0.00000000,96795071.00000000
2026-03-20,205668808.00000000,405112441.00000000,384071377.00000000,0.00000000,0.00000000,96795071.00000000
2026-03-27,125803744.00000000,416654612.00000000,395613549.00000000,0.00000000,0.00000000,96795071.00000000
2026-04-03,115212434.00000000,423505941.00000000,401333978.00000000,0.00000000,0.00000000,59565601.00000000
2026-04-10,116006780.00000000,425046730.00000000,402734360.00000000,0.00000000,0.00000000,0.00000000
2026-04-17,125617572.00000000,417724091.00000000,395674805.00000000,0.00000000,0.00000000,0.00000000
2026-04-24,125868835.00000000,417136391.00000000,395087104.00000000,0.00000000,0.00000000,0.00000000
2026-05-01,126437305.00000000,431333402.00000000,409057659.00000000,0.00000000,0.00000000,0.00000000
2026-05-08,127216318.00000000,425751412.00000000,405792722.00000000,0.00000000,0.00000000,0.00000000
2026-05-15,127678269.00000000,422329914.00000000,402371225.00000000,0.00000000,0.00000000,0.00000000
2026-05-22,127845183.00000000,420113992.00000000,400366703.00000000,0.00000000,0.00000000,0.00000000
2026-05-29,127370659.00000000,427543352.00000000,407886074.00000000,0.00000000,0.00000000,0.00000000
2026-06-05,127850185.00000000,426845032.00000000,407187754.00000000,0.00000000,0.00000000,0.00000000
2026-06-12,123976210.00000000,418373072.00000000,398999190.00000000,0.00000000,0.00000000,0.00000000
2026-06-19,122978524.00000000,416951786.00000000,397697368.00000000,0.00000000,0.00000000,0.00000000
2026-06-26,136853946.00000000,416951786.00000000,397697368.00000000,0.00000000,0.00000000,0.00000000
2026-07-03,158273420.00000000,436476155.00000000,416234215.00000000,0.00000000,0.00000000,0.00000000
2026-07-10,200546557.00000000,431862591.00000000,411820226.00000000,0.00000000,0.00000000,0.00000000
2026-07-17,230000321.00000000,425832873.00000000,405790509.00000000,0.00000000,0.00000000,0.00000000
2026-07-24,230709102.00000000,423739154.00000000,404988563.00000000,0.00000000,0.00000000,0.00000000
2026-07-31,232296681.00000000,427633500.00000000,408704396.00000000,0.00000000,0.00000000,0.00000000
2026-08-07,233447982.00000000,427633500.00000000,408704396.00000000,0.00000000,0.00000000,0.00000000
2026-08-14,265555986.00000000,419483439.00000000,401273410.00000000,0.00000000,0.00000000,0.00000000
2026-08-21,315333514.00000000,422923186.00000000,404750207.00000000,0.00000000,0.00000000,0.00000000
