tarih,TP.BL053,TP.BL054,TP.BL055,TP.BL123
2024-12-06,2563332499.00000000,5942165915.00000000,8505498414.00000000,8505498414.00000000
2024-12-13,2535310214.00000000,6106621354.00000000,8641931568.00000000,8641931568.00000000
2024-12-20,2572954196.00000000,5885336432.00000000,8458290628.00000000,8458290628.00000000
2024-12-27,2562074678.00000000,5875714941.00000000,8437789620.00000000,8437789620.00000000
2025-01-03,2671113546.00000000,5985328415.00000000,8656441961.00000000,8656441961.00000000
2025-01-10,2661193170.00000000,6078090382.00000000,8739283552.00000000,8739283552.00000000
2025-01-17,2646744903.00000000,6200181707.00000000,8846926610.00000000,8846926610.00000000
2025-01-24,2601086710.00000000,6386744317.00000000,8987831027.00000000,8987831027.00000000
2025-01-31,2658964053.00000000,6354777918.00000000,9013741971.00000000,9013741971.00000000
2025-02-07,2614336856.00000000,6432313259.00000000,9046650115.00000000,9046650115.00000000
2025-02-14,2569887840.00000000,6674865276.00000000,9244753116.00000000,9244753116.00000000
2025-02-21,2571588790.00000000,6600739302.00000000,9172328092.00000000,9172328092.00000000
2025-02-28,2687135143.00000000,6454126721.00000000,9141261864.00000000,9141261864.00000000
2025-03-07,2660088308.00000000,6625195030.00000000,9285283338.00000000,9285283338.00000000
2025-03-14,2613817027.00000000,6696970496.00000000,9310787523.00000000,9310787523.00000000
2025-03-21,2506127027.00000000,6648562704.00000000,9154689731.00000000,9154689731.00000000
2025-03-28,2955712567.00000000,6403023971.00000000,9358736538.00000000,9358736538.00000000
2025-04-04,3173354032.00000000,6310564977.00000000,9483919010.00000000,9483919010.00000000
2025-04-11,3500143259.00000000,6057328636.00000000,9557471895.00000000,9557471895.00000000
2025-04-18,2871146672.00000000,6067924553.00000000,8939071225.00000000,8939071225.00000000
2025-04-25,3121139377.00000000,5872470008.00000000,8993609385.00000000,8993609385.00000000
2025-05-02,3332973994.00000000,5798998951.00000000,9131972945.00000000,9131972945.00000000
2025-05-09,3453694071.00000000,6049286337.00000000,9502980408.00000000,9502980408.00000000
2025-05-16,2804443703.00000000,6112260919.00000000,8916704622.00000000,8916704622.00000000
2025-05-23,2784348290.00000000,6427043705.00000000,9211391995.00000000,9211391995.00000000
2025-05-30,3339270131.00000000,6471496066.00000000,9810766197.00000000,9810766197.00000000
2025-06-06,3465668415.00000000,6584368389.00000000,10050036804.00000000,10050036804.00000000
2025-06-13,3143529803.00000000,6744252715.00000000,9887782518.00000000,9887782518.00000000
2025-06-20,3135983690.00000000,6641940625.00000000,9777924315.00000000,9777924315.00000000
2025-06-27,3212166918.00000000,6634152379.00000000,9846319298.00000000,9846319298.00000000
2025-07-04,3057910334.00000000,7038271353.00000000,10096181687.00000000,10096181687.00000000
2025-07-11,3232046541.00000000,7149393736.00000000,10381440277.00000000,10381440277.00000000
2025-07-18,3113404452.00000000,7277206270.00000000,10390610722.00000000,10390610722.00000000
2025-07-25,3239083227.00000000,7443288005.00000000,10682371232.00000000,10682371232.00000000
2025-08-01,3518383325.00000000,7346850260.00000000,10865233584.00000000,10865233584.00000000
2025-08-08,3473376439.00000000,7582416489.00000000,11055792928.00000000,11055792928.00000000
2025-08-15,3282346885.00000000,7702620847.00000000,10984967732.00000000,10984967732.00000000
2025-08-22,3442812561.00000000,7727675636.00000000,11170488197.00000000,11170488197.00000000
2025-08-29,3515191197.00000000,7836668260.00000000,11351859457.00000000,11351859457.00000000
2025-09-05,3922687472.00000000,7936179915.00000000,11858867386.00000000,11858867386.00000000
2025-09-12,3837829231.00000000,7863997031.00000000,11701826262.00000000,11701826262.00000000
2025-09-19,3648927152.00000000,7916262423.00000000,11565189575.00000000,11565189575.00000000
2025-09-26,3560570701.00000000,8121256574.00000000,11681827275.00000000,11681827275.00000000
2025-10-03,3726154643.00000000,8282169691.00000000,12008324334.00000000,12008324334.00000000
2025-10-10,3840772271.00000000,8452328989.00000000,12293101260.00000000,12293101260.00000000
