tarih,TP.FG.J111
2005-01-01,126.0
2005-02-01,128.18
2005-03-01,129.64
2005-04-01,130.21
2005-05-01,132.02
2005-06-01,133.06
2005-07-01,134.08
2005-08-01,134.87
2005-09-01,135.85
2005-10-01,137.89
2005-11-01,139.43
2005-12-01,140.44
2006-01-01,141.77
2006-02-01,143.3
2006-03-01,144.75
2006-04-01,146.15
2006-05-01,147.57
2006-06-01,148.34
2006-07-01,149.62
2006-08-01,150.96
2006-09-01,152.44
2006-10-01,154.07
2006-11-01,155.68
2006-12-01,156.56
2007-01-01,158.22
2007-02-01,159.17
2007-03-01,160.57
2007-04-01,161.51
2007-05-01,163.01
2007-06-01,163.95
2007-07-01,164.74
2007-08-01,165.87
2007-09-01,167.38
2007-10-01,170.24
2007-11-01,172.96
2007-12-01,174.06
2008-01-01,175.22
2008-02-01,176.98
2008-03-01,179.21
2008-04-01,182.55
2008-05-01,185.87
2008-06-01,188.09
2008-07-01,189.93
2008-08-01,191.48
2008-09-01,193.36
2008-10-01,195.48
2008-11-01,197.51
2008-12-01,198.0
2009-01-01,199.1
2009-02-01,200.37
2009-03-01,201.36
2009-04-01,202.32
2009-05-01,203.2
2009-06-01,203.94
2009-07-01,204.89
2009-08-01,205.88
2009-09-01,207.58
2009-10-01,210.34
2009-11-01,211.35
2009-12-01,212.8
2010-01-01,215.2
2010-02-01,217.95
2010-03-01,220.21
2010-04-01,222.78
2010-05-01,224.87
2010-06-01,225.36
2010-07-01,226.09
2010-08-01,227.24
2010-09-01,228.97
2010-10-01,231.57
2010-11-01,233.76
2010-12-01,234.72
2011-01-01,236.23
2011-02-01,237.3
2011-03-01,238.26
2011-04-01,239.4
2011-05-01,241.21
2011-06-01,242.34
2011-07-01,243.72
2011-08-01,245.19
2011-09-01,247.94
2011-10-01,250.45
2011-11-01,252.3
2011-12-01,253.75
2012-01-01,255.52
2012-02-01,256.86
2012-03-01,258.88
2012-04-01,261.83
2012-05-01,264.54
2012-06-01,265.86
2012-07-01,267.33
2012-08-01,269.1
2012-09-01,273.01
2012-10-01,274.84
2012-11-01,276.9
2012-12-01,278.04
2013-01-01,280.44
2013-02-01,281.86
2013-03-01,283.7
2013-04-01,286.03
2013-05-01,288.23
2013-06-01,290.07
2013-07-01,292.07
2013-08-01,294.42
2013-09-01,298.35
2013-10-01,301.33
2013-11-01,303.68
2013-12-01,306.42
2014-01-01,311.3
2014-02-01,316.14
2014-03-01,320.36
2014-04-01,323.11
2014-05-01,326.92
2014-06-01,330.23
2014-07-01,333.92
2014-08-01,339.64
2014-09-01,344.04
2014-10-01,347.19
2014-11-01,350.0
2014-12-01,352.53
2015-01-01,355.81
2015-02-01,359.73
2015-03-01,364.54
2015-04-01,369.37
2015-05-01,374.18
2015-06-01,378.28
2015-07-01,383.64
2015-08-01,391.31
2015-09-01,394.94
2015-10-01,398.82
2015-11-01,401.02
2015-12-01,402.68
2016-01-01,406.6
2016-02-01,410.31
2016-03-01,413.29
2016-04-01,415.36
2016-05-01,417.84
2016-06-01,421.08
2016-07-01,426.59
2016-08-01,430.16
2016-09-01,433.19
2016-10-01,435.94
2016-11-01,438.6
2016-12-01,440.92
2017-01-01,445.69
2017-02-01,450.33
2017-03-01,453.59
2017-04-01,458.22
2017-05-01,462.57
2017-06-01,468.06
2017-07-01,476.25
2017-08-01,480.6
2017-09-01,484.03
2017-10-01,487.82
2017-11-01,490.43
2017-12-01,493.28
2018-01-01,498.83
2018-02-01,503.77
2018-03-01,507.06
2018-04-01,512.22
2018-05-01,519.41
2018-06-01,528.78
2018-07-01,540.26
2018-08-01,547.64
2018-09-01,573.58
2018-10-01,586.24
2018-11-01,590.88
2018-12-01,593.14
2019-01-01,599.32
2019-02-01,605.2
2019-03-01,609.2
2019-04-01,615.0
2019-05-01,625.19
2019-06-01,639.4
2019-07-01,648.52
2019-08-01,652.82
2019-09-01,659.45
2019-10-01,664.38
2019-11-01,666.31
2019-12-01,669.67
2020-01-01,678.8
2020-02-01,685.05
2020-03-01,692.56
2020-04-01,693.71
2020-05-01,695.16
2020-06-01,716.86
2020-07-01,724.76
2020-08-01,735.34
2020-09-01,741.44
2020-10-01,747.19
2020-11-01,757.37
2020-12-01,762.51
2021-01-01,774.67
2021-02-01,785.62
2021-03-01,806.62
2021-04-01,817.48
2021-05-01,826.01
2021-06-01,856.69
2021-07-01,878.87
2021-08-01,898.18
2021-09-01,916.37
2021-10-01,935.0
2021-11-01,974.62
2021-12-01,1073.68
2022-01-01,1165.48
2022-02-01,1223.38
2022-03-01,1299.83
2022-04-01,1397.32
2022-05-01,1469.36
2022-06-01,1542.22
2022-07-01,1580.67
2022-08-01,1632.76
2022-09-01,1676.13
2022-10-01,1723.6
2022-11-01,1783.05
2022-12-01,1836.5
2023-01-01,2073.89
2023-02-01,2166.74
2023-03-01,2259.58
2023-04-01,2361.51
2023-05-01,2526.6
2023-06-01,2621.5
2023-07-01,2924.58
2023-08-01,3139.52
2023-09-01,3269.45
2023-10-01,3404.65
2023-11-01,3504.2
2023-12-01,3615.4
2024-01-01,4074.01
2024-02-01,4312.1
2024-03-01,4492.9
2024-04-01,4708.07
2024-05-01,4968.9
2024-06-01,5114.28
2024-07-01,5276.55
2024-08-01,5377.31
2024-09-01,5478.55
2024-10-01,5576.97
2024-11-01,5644.37
2024-12-01,5730.56
2025-01-01,6110.51
2025-02-01,6315.35
2025-03-01,6465.67
2025-04-01,6688.87
2025-05-01,6797.2
2025-06-01,6920.61
2025-07-01,7064.9
2025-08-01,7198.75
2025-09-01,7339.22
2025-10-01,7463.11
2025-11-01,7563.99
2025-12-01,7697.23
