tarih,TP.TUKFIY2025.01112
2005-01-01,3.29684696
2005-02-01,3.31147008
2005-03-01,3.32121455
2005-04-01,3.30253309
2005-05-01,3.30317951
2005-06-01,3.3019064
2005-07-01,3.30895465
2005-08-01,3.30885259
2005-09-01,3.30750671
2005-10-01,3.3210607
2005-11-01,3.3238636
2005-12-01,3.34182964
2006-01-01,3.34879027
2006-02-01,3.35744763
2006-03-01,3.37009784
2006-04-01,3.37453805
2006-05-01,3.36790389
2006-06-01,3.36971927
2006-07-01,3.39144105
2006-08-01,3.44902609
2006-09-01,3.52476561
2006-10-01,3.52674054
2006-11-01,3.53892171
2006-12-01,3.52742676
2007-01-01,3.57066674
2007-02-01,3.58567156
2007-03-01,3.67229765
2007-04-01,3.6771214
2007-05-01,3.67105981
2007-06-01,3.69291207
2007-07-01,3.73722122
2007-08-01,3.84175072
2007-09-01,3.97967142
2007-10-01,4.11314181
2007-11-01,4.22435326
2007-12-01,4.27727865
2008-01-01,4.30558972
2008-02-01,4.35253206
2008-03-01,4.51927896
2008-04-01,4.72475125
2008-05-01,4.80895418
2008-06-01,4.86593222
2008-07-01,4.89606874
2008-08-01,4.93550468
2008-09-01,4.91048429
2008-10-01,4.86559945
2008-11-01,4.8266522
2008-12-01,4.81794781
2009-01-01,4.8262024
2009-02-01,4.83249263
2009-03-01,4.88426665
2009-04-01,4.90773236
2009-05-01,4.91389492
2009-06-01,4.90285883
2009-07-01,4.88882327
2009-08-01,4.84962464
2009-09-01,4.80967124
2009-10-01,4.83787169
2009-11-01,4.83827092
2009-12-01,4.82826617
2010-01-01,4.81986867
2010-02-01,4.85143628
2010-03-01,4.87037201
2010-04-01,4.87080198
2010-05-01,4.85789812
2010-06-01,4.86636091
2010-07-01,4.88201293
2010-08-01,4.86117432
2010-09-01,4.9592801
2010-10-01,5.13215424
2010-11-01,5.23965299
2010-12-01,5.1247899
2011-01-01,5.33532342
2011-02-01,5.56472508
2011-03-01,5.67594043
2011-04-01,5.71105351
2011-05-01,5.72179608
2011-06-01,5.75180328
2011-07-01,5.73475854
2011-08-01,5.70231424
2011-09-01,5.74941685
2011-10-01,5.78944419
2011-11-01,5.78966511
2011-12-01,5.74500255
2012-01-01,5.80130875
2012-02-01,5.81164544
2012-03-01,5.78044965
2012-04-01,5.83299271
2012-05-01,5.81201387
2012-06-01,5.85675197
2012-07-01,5.86559855
2012-08-01,5.89354255
2012-09-01,6.06692084
2012-10-01,6.19060081
2012-11-01,6.22091938
2012-12-01,6.34723876
2013-01-01,6.38326793
2013-02-01,6.44722961
2013-03-01,6.53357323
2013-04-01,6.63978418
2013-05-01,6.7559794
2013-06-01,6.80244099
2013-07-01,6.81233946
2013-08-01,6.81255871
2013-09-01,6.8420731
2013-10-01,6.91702897
2013-11-01,7.01651405
2013-12-01,7.24597908
2014-01-01,7.40190379
2014-02-01,7.53661152
2014-03-01,7.6502315
2014-04-01,7.86855063
2014-05-01,7.98308127
2014-06-01,8.039747
2014-07-01,8.0296426
2014-08-01,8.1093567
2014-09-01,8.14108975
2014-10-01,8.2061638
2014-11-01,8.28480437
2014-12-01,8.34369148
2015-01-01,8.34295511
2015-02-01,8.41906016
2015-03-01,8.36093233
2015-04-01,8.38681753
2015-05-01,8.44074113
2015-06-01,8.48702082
2015-07-01,8.49170939
2015-08-01,8.50856472
2015-09-01,8.4995095
2015-10-01,8.55550624
2015-11-01,8.74776624
2015-12-01,8.86502022
2016-01-01,8.92139799
2016-02-01,9.01037107
2016-03-01,9.12853408
2016-04-01,9.21732126
2016-05-01,9.19550483
2016-06-01,9.22254713
2016-07-01,9.24539302
2016-08-01,9.22606955
2016-09-01,9.25087202
2016-10-01,9.16011078
2016-11-01,9.21128106
2016-12-01,9.30442085
2017-01-01,9.48738899
2017-02-01,9.44047538
2017-03-01,9.42684673
2017-04-01,9.72183601
2017-05-01,9.80559636
2017-06-01,9.74004993
2017-07-01,9.85233563
2017-08-01,9.89815249
2017-09-01,9.93317152
2017-10-01,9.90951966
2017-11-01,9.94470043
2017-12-01,9.88298567
2018-01-01,10.06748228
2018-02-01,10.30692483
2018-03-01,10.32128192
2018-04-01,10.46378112
2018-05-01,10.25683085
2018-06-01,10.47262466
2018-07-01,10.46969943
2018-08-01,10.66192089
2018-09-01,11.45856173
2018-10-01,12.29527474
2018-11-01,13.22094978
2018-12-01,13.36619698
2019-01-01,13.47757317
2019-02-01,13.39118784
2019-03-01,13.6306383
2019-04-01,13.93312452
2019-05-01,13.86540678
2019-06-01,13.99275916
2019-07-01,14.22398003
2019-08-01,14.29317507
2019-09-01,14.19945488
2019-10-01,14.28437846
2019-11-01,14.49165136
2019-12-01,15.19453721
2020-01-01,15.29291621
2020-02-01,16.02346753
2020-03-01,16.19100965
2020-04-01,16.64391856
2020-05-01,16.93591195
2020-06-01,17.08554989
2020-07-01,17.0007774
2020-08-01,17.06814217
2020-09-01,17.30902422
2020-10-01,17.97463884
2020-11-01,18.61847404
2020-12-01,19.78536105
2021-01-01,20.25673825
2021-02-01,20.10027395
2021-03-01,20.20849625
2021-04-01,19.91581296
2021-05-01,20.28729521
2021-06-01,20.49258359
2021-07-01,21.03965098
2021-08-01,20.72945461
2021-09-01,21.09011002
2021-10-01,22.56293986
2021-11-01,25.57910974
2021-12-01,36.81613935
2022-01-01,38.25517561
2022-02-01,39.29116418
2022-03-01,40.80525052
2022-04-01,44.12309128
2022-05-01,44.73028641
2022-06-01,46.21831082
2022-07-01,49.53557483
2022-08-01,50.41054841
2022-09-01,51.47469884
2022-10-01,51.02628871
2022-11-01,51.86960726
2022-12-01,51.55000951
2023-01-01,51.54855268
2023-02-01,52.15828003
2023-03-01,52.20491727
2023-04-01,51.39530077
2023-05-01,52.4888133
2023-06-01,52.27200202
2023-07-01,53.80292517
2023-08-01,57.31051477
2023-09-01,59.93634803
2023-10-01,60.66317489
2023-11-01,62.62604925
2023-12-01,66.5912891
2024-01-01,67.86966833
2024-02-01,75.847923
2024-03-01,74.76350968
2024-04-01,76.04286331
2024-05-01,76.47404491
2024-06-01,77.19043612
2024-07-01,78.03608158
2024-08-01,78.0200266
2024-09-01,77.93862583
2024-10-01,85.14836678
2024-11-01,88.84037168
2024-12-01,90.37703584
2025-01-01,90.03935191
2025-02-01,90.49051418
2025-03-01,89.75514179
2025-04-01,93.64025868
2025-05-01,94.12357746
2025-06-01,95.1935396
2025-07-01,96.65207594
2025-08-01,107.44154225
2025-09-01,108.13432816
2025-10-01,109.99872383
2025-11-01,112.00051511
2025-12-01,112.53043108
2026-01-01,114.61
2026-02-01,119.26
2026-03-01,115.65
