tarih,01.23.14.02,01.4,01.41,01.41.10,01.41.20.00.01,01.42,01.42.1,01.45,01.45.11,01.45.12,01.45.21,01.45.22,01.47
2020-01-01,84.47,92.62,95.76,90.61,96.8,91.94,91.94,89.28,90.16,89.86,85.18,82.92,89.83
2020-02-01,92.44,94.7,96.76,92.99,97.53,93.62,93.62,92.88,93.38,92.28,91.61,89.87,93.59
2020-03-01,,96.17,97.65,95.9,98.01,96.21,96.21,95.93,96.59,94.24,94.97,94.1,88.54
2020-04-01,,97.91,98.53,97.38,98.77,98.11,98.11,97.41,97.23,95.89,100.43,96.72,97.11
2020-05-01,,99.42,99.79,100.77,99.59,100.08,100.08,98.92,98.44,97.68,102.24,102.8,98.66
2020-06-01,,99.74,100.15,102.09,99.75,101.25,101.25,101.47,101.08,101.18,103.77,102.03,86.39
2020-07-01,,101.11,100.54,103.37,99.96,102.68,102.68,102.23,101.63,101.7,106.17,101.84,96.3
2020-08-01,,101.09,101.08,103.18,100.65,102.3,102.3,102.47,102.28,102.02,104.17,101.9,92.12
2020-09-01,,102.18,101.71,103.75,101.3,103.42,103.42,103.32,104.0,103.92,99.47,100.74,96.97
2020-10-01,106.73,103.53,101.93,103.3,101.65,103.28,103.28,103.74,104.67,105.71,96.81,101.66,111.68
2020-11-01,102.16,105.35,102.93,103.48,102.81,103.69,103.69,106.27,105.52,108.4,106.36,111.95,118.52
2020-12-01,114.2,106.18,103.18,103.18,103.18,103.43,103.43,106.08,105.02,107.1,108.83,113.47,130.29
2021-01-01,125.17,110.42,109.6,105.91,110.35,105.95,105.95,109.25,107.12,108.43,119.06,121.14,131.85
2021-02-01,127.57,116.45,120.59,108.53,123.03,108.45,108.45,112.93,110.06,113.47,125.33,122.8,130.26
2021-03-01,,117.24,120.51,109.74,122.69,110.02,110.02,115.28,113.81,113.36,122.67,128.37,126.83
2021-04-01,,118.24,121.89,112.26,123.84,112.55,112.55,115.31,114.81,115.97,114.32,128.47,125.03
2021-05-01,,119.91,122.5,116.76,123.66,116.91,116.91,118.19,116.27,116.35,128.78,127.27,119.86
2021-06-01,,122.89,123.58,120.3,124.25,121.31,121.31,122.61,120.56,122.65,132.04,129.0,124.83
2021-07-01,,123.59,124.73,119.51,125.79,120.37,120.37,123.26,121.17,122.21,134.48,128.79,126.75
2021-08-01,,127.07,132.25,119.67,134.79,120.74,120.74,122.68,121.02,122.55,130.19,129.2,132.15
2021-09-01,,129.05,133.9,120.2,136.67,121.35,121.35,122.27,120.25,121.8,131.93,130.04,149.76
2021-10-01,107.05,130.69,136.14,121.97,139.01,122.57,122.57,122.58,120.81,122.0,133.17,120.22,153.49
2021-11-01,111.28,134.09,138.05,126.74,140.34,127.32,127.32,125.49,123.7,123.55,134.39,139.84,163.23
2021-12-01,133.72,152.98,161.04,139.47,165.4,143.05,143.05,137.13,135.15,131.76,150.2,156.85,202.89
2022-01-01,173.04,169.43,187.28,151.45,194.53,155.05,155.05,145.3,143.05,143.34,156.27,161.64,211.28
2022-02-01,222.03,177.52,195.83,157.04,203.68,161.39,161.39,152.96,150.0,150.07,169.01,168.31,227.92
2022-03-01,,191.85,203.22,181.58,207.6,184.38,184.38,170.23,170.17,165.81,176.17,170.01,250.08
2022-04-01,,205.76,217.89,199.37,221.64,201.4,201.4,185.22,184.55,181.29,190.68,199.58,248.63
2022-05-01,,235.99,262.4,230.79,268.79,227.33,227.33,209.87,209.44,205.46,216.26,216.6,237.01
2022-06-01,,256.38,296.83,243.58,307.62,241.49,241.49,222.96,219.23,222.2,239.72,241.82,223.09
2022-07-01,,271.41,316.43,253.58,329.15,251.93,251.93,224.99,218.75,218.49,257.1,268.08,279.58
2022-08-01,,273.45,318.47,256.47,331.02,251.47,251.47,220.27,213.22,216.0,254.08,262.44,308.09
2022-09-01,,277.13,320.76,256.2,333.82,249.48,249.48,221.62,212.2,220.48,260.2,281.47,337.07
2022-10-01,256.83,284.85,334.87,254.14,351.21,252.93,252.93,218.73,209.22,226.64,247.84,271.62,357.65
2022-11-01,328.3,298.16,363.22,258.87,384.35,251.3,251.3,219.96,206.21,215.55,280.24,305.48,378.3
2022-12-01,383.6,318.97,398.84,269.79,424.97,249.77,249.77,242.26,229.38,244.16,291.4,320.89,371.39
2023-01-01,467.03,352.81,436.92,300.66,464.51,292.94,292.94,270.56,247.48,267.55,370.17,395.04,382.45
2023-02-01,476.98,372.21,456.36,338.25,480.27,330.22,330.22,278.08,252.66,274.65,394.01,386.56,408.82
2023-03-01,,404.27,473.7,407.23,487.16,380.07,380.07,322.49,299.12,328.49,412.14,447.38,433.53
2023-04-01,,429.8,481.42,450.81,487.61,432.3,432.3,361.28,339.09,380.48,438.62,436.0,442.21
2023-05-01,,442.88,489.51,496.63,488.07,464.51,464.51,382.01,359.04,405.97,458.57,451.55,402.19
2023-06-01,,458.77,494.74,541.72,485.23,494.67,494.67,406.42,386.89,438.22,461.33,445.26,413.57
2023-07-01,,472.33,502.66,564.82,490.08,516.53,516.53,419.42,399.89,452.09,472.79,460.18,434.94
2023-08-01,,488.86,516.63,575.84,504.65,525.01,525.01,437.15,417.11,472.35,490.45,475.73,477.84
