agirlik,kira,tur_kamasi,donem_once,donem_son,oran_once_kirmizi_et,oran_son_kirmizi_et,uzun_kirmizi_et,oran_once_tavuk,oran_son_tavuk,uzun_tavuk,oran_once_ev_yemekleri,oran_son_ev_yemekleri,uzun_ev_yemekleri,oran_once_fast_food,oran_son_fast_food,uzun_fast_food,kat_kirmizi
nihai,tufe,True,2024-08,2026-08,1.24,1.26,1.08,1.41,1.51,1.1,1.28,1.28,0.97,1.6,1.68,1.17,7.86
nihai,tufe,False,2024-08,2026-08,1.32,1.36,1.08,1.13,1.17,1.1,1.28,1.28,0.97,1.63,1.71,1.17,7.3
nihai,tavan25,True,2024-08,2026-08,1.27,1.3,1.08,1.45,1.57,1.1,1.31,1.33,0.97,1.64,1.74,1.17,7.69
nihai,tavan25,False,2024-08,2026-08,1.36,1.41,1.08,1.15,1.21,1.1,1.31,1.33,0.97,1.68,1.78,1.17,7.13
nihai,ykke,True,2024-08,2026-08,1.16,1.2,1.07,1.31,1.43,1.09,1.18,1.21,0.97,1.48,1.59,1.16,8.38
nihai,ykke,False,2024-08,2026-08,1.23,1.29,1.07,1.06,1.12,1.09,1.18,1.21,0.97,1.51,1.62,1.16,7.82
bist,tufe,True,2024-08,2026-08,1.22,1.26,1.07,1.39,1.5,1.09,1.26,1.28,0.97,1.58,1.67,1.16,7.88
bist,tufe,False,2024-08,2026-08,1.31,1.35,1.07,1.12,1.17,1.09,1.26,1.28,0.97,1.61,1.71,1.16,7.33
bist,tavan25,True,2024-08,2026-08,1.25,1.29,1.07,1.42,1.55,1.09,1.29,1.32,0.97,1.61,1.72,1.16,7.75
bist,tavan25,False,2024-08,2026-08,1.34,1.39,1.07,1.14,1.2,1.09,1.29,1.32,0.97,1.65,1.76,1.16,7.19
bist,ykke,True,2024-08,2026-08,1.16,1.21,1.07,1.31,1.44,1.09,1.19,1.22,0.96,1.49,1.6,1.15,8.29
bist,ykke,False,2024-08,2026-08,1.24,1.3,1.07,1.06,1.13,1.09,1.19,1.22,0.96,1.52,1.63,1.15,7.74
resim,tufe,True,2024-08,2026-08,1.25,1.26,1.09,1.42,1.51,1.1,1.29,1.28,0.98,1.62,1.68,1.18,7.83
resim,tufe,False,2024-08,2026-08,1.34,1.36,1.09,1.14,1.17,1.1,1.29,1.28,0.98,1.65,1.71,1.18,7.26
resim,tavan25,True,2024-08,2026-08,1.29,1.32,1.09,1.47,1.59,1.1,1.34,1.35,0.98,1.68,1.76,1.18,7.6
resim,tavan25,False,2024-08,2026-08,1.38,1.42,1.09,1.17,1.22,1.1,1.34,1.35,0.98,1.71,1.8,1.18,7.04
resim,ykke,True,2024-08,2026-08,1.15,1.19,1.08,1.29,1.4,1.09,1.17,1.2,0.97,1.47,1.57,1.16,8.5
resim,ykke,False,2024-08,2026-08,1.22,1.27,1.08,1.05,1.11,1.09,1.17,1.2,0.97,1.49,1.6,1.16,7.94
