,Mercimek çorbası,Kuru fasulye,Pirinç pilavı,Adana kebap,Et döner (ekmekarası),Hamburger,Pizza
2013-01-01,16.5,18.2,12.1,41.1,47.2,58.5,
2013-02-01,16.4,18.5,12.1,40.7,46.6,57.6,
2013-03-01,16.4,20.1,12.1,41.1,46.5,57.2,
2013-04-01,15.7,18.4,12.1,40.8,46.4,57.4,
2013-05-01,15.8,16.4,12.2,39.8,45.7,56.7,
2013-06-01,15.7,16.7,12.2,39.9,45.7,56.6,
2013-07-01,15.7,17.0,12.2,40.1,46.2,57.2,
2013-08-01,15.9,16.2,12.2,39.9,46.0,57.1,
2013-09-01,16.0,16.3,12.2,40.5,46.2,57.4,
2013-10-01,16.7,17.7,12.2,40.7,46.3,57.5,
2013-11-01,16.9,18.0,12.4,40.7,46.2,57.3,
2013-12-01,17.3,19.7,13.1,40.7,46.2,56.9,
2014-01-01,17.6,21.9,13.5,40.9,46.9,56.2,
2014-02-01,18.2,21.3,13.9,40.5,46.7,55.2,
2014-03-01,18.5,22.0,14.2,40.6,46.6,55.2,
2014-04-01,17.9,21.5,14.6,41.0,47.1,55.6,
2014-05-01,17.7,19.8,14.8,40.2,46.3,54.8,
2014-06-01,17.5,19.4,14.7,41.1,47.1,55.8,
2014-07-01,17.4,19.3,14.7,41.8,48.0,57.1,
2014-08-01,17.7,19.2,14.7,41.7,47.5,57.1,
2014-09-01,18.1,18.8,14.5,42.3,48.0,57.8,
2014-10-01,19.2,19.1,14.4,42.1,48.2,57.4,
2014-11-01,19.6,18.6,14.6,42.0,48.1,57.4,
2014-12-01,19.7,18.3,14.7,42.2,48.4,57.2,
2015-01-01,19.9,18.7,14.6,43.0,49.3,57.7,
2015-02-01,20.3,19.1,14.6,44.2,50.4,58.7,
2015-03-01,20.4,19.3,14.4,44.7,50.7,59.5,
2015-04-01,20.1,19.2,14.1,44.6,50.7,59.3,
2015-05-01,20.0,17.3,13.9,44.5,50.7,59.1,
2015-06-01,19.8,15.7,13.6,44.5,51.0,59.1,
2015-07-01,19.7,15.6,13.4,45.4,51.8,59.8,
2015-08-01,19.3,15.3,13.2,45.0,51.3,59.3,
2015-09-01,19.3,15.3,13.0,44.8,51.0,58.8,
2015-10-01,20.0,15.2,12.8,45.0,51.3,59.1,
2015-11-01,20.0,16.1,12.8,45.1,51.3,58.3,
2015-12-01,20.2,16.8,12.8,45.0,51.2,57.5,
2016-01-01,21.1,18.0,12.8,42.4,51.9,57.3,32.2
2016-02-01,21.7,17.0,12.7,41.3,50.7,55.8,31.9
2016-03-01,21.6,16.7,12.5,40.2,49.1,54.2,31.7
2016-04-01,20.9,15.7,12.4,40.0,49.3,54.4,31.3
2016-05-01,20.3,14.3,12.2,39.6,49.0,53.7,31.0
2016-06-01,20.1,14.1,12.0,39.5,49.1,53.6,30.9
2016-07-01,19.9,14.9,11.8,39.9,49.1,53.5,31.3
2016-08-01,19.6,14.3,11.7,39.7,49.0,53.2,31.1
2016-09-01,19.1,14.4,11.6,39.6,48.9,53.1,31.0
2016-10-01,19.8,15.1,11.6,39.7,48.8,53.1,31.0
2016-11-01,19.6,15.0,11.5,39.4,48.5,52.3,30.9
2016-12-01,19.9,15.6,11.7,39.3,48.2,51.9,31.3
2017-01-01,20.5,17.8,11.7,40.4,48.9,52.3,32.3
2017-02-01,21.1,17.6,12.2,39.8,48.3,51.7,32.1
2017-03-01,21.1,18.1,12.5,39.9,48.0,51.5,31.8
2017-04-01,20.9,18.4,12.5,40.6,48.9,52.1,31.9
2017-05-01,20.6,16.9,12.3,40.8,49.7,53.1,31.3
2017-06-01,20.2,15.4,12.1,41.0,50.1,53.8,30.4
2017-07-01,20.1,15.5,12.1,40.5,48.9,53.3,30.7
2017-08-01,20.1,15.1,12.3,39.5,47.7,52.2,31.3
2017-09-01,20.2,15.2,12.5,39.3,47.2,51.9,31.4
2017-10-01,20.9,15.6,12.9,38.4,45.9,50.6,32.4
2017-11-01,21.0,16.6,13.4,37.7,44.9,49.3,33.0
2017-12-01,21.0,17.0,13.7,37.4,44.3,48.7,32.9
2018-01-01,20.4,16.2,13.2,36.5,44.3,49.3,31.5
2018-02-01,20.5,16.1,13.4,36.2,43.8,48.6,32.1
2018-03-01,20.5,16.1,13.4,37.0,44.4,49.4,32.4
2018-04-01,20.5,15.5,13.3,37.5,45.2,50.5,32.1
2018-05-01,20.4,14.7,13.1,37.2,45.3,50.6,31.2
2018-06-01,21.1,15.8,13.0,37.3,45.3,50.8,31.5
2018-07-01,20.2,15.7,13.0,36.5,44.2,49.7,31.8
2018-08-01,19.6,14.8,13.1,35.8,43.4,48.9,32.1
2018-09-01,19.7,16.0,13.4,36.3,42.6,48.6,33.8
2018-10-01,20.2,17.6,13.6,36.4,42.0,48.1,34.8
2018-11-01,20.6,18.1,13.7,35.5,41.0,46.0,34.4
2018-12-01,20.7,18.2,13.7,35.5,41.0,45.7,34.0
2019-01-01,19.0,19.3,11.9,33.2,38.9,40.1,30.2
2019-02-01,18.9,18.6,12.1,32.6,38.3,39.3,29.4
2019-03-01,18.8,19.6,12.0,33.5,38.9,39.7,29.5
2019-04-01,19.4,19.8,12.0,35.8,41.7,42.6,29.8
2019-05-01,18.7,16.6,12.2,35.5,42.0,43.1,30.1
2019-06-01,18.8,15.8,12.3,34.6,40.5,41.7,30.1
2019-07-01,18.4,15.9,12.4,34.4,40.3,41.0,30.0
2019-08-01,18.1,15.6,12.3,33.8,40.0,40.4,29.5
2019-09-01,17.8,15.2,12.2,33.5,39.8,39.9,29.2
2019-10-01,17.6,15.4,12.1,33.2,39.6,39.3,29.1
2019-11-01,17.6,15.6,12.1,32.9,39.4,38.9,29.0
2019-12-01,18.5,16.6,12.4,33.1,39.5,38.7,30.4
2020-01-01,18.6,17.5,12.2,33.5,40.5,37.9,31.3
2020-02-01,18.6,17.4,12.2,33.9,40.9,38.3,31.6
2020-03-01,18.3,17.7,12.1,35.0,41.8,39.2,33.0
2020-04-01,19.5,18.1,12.3,36.6,43.7,41.0,31.9
2020-05-01,20.0,17.4,12.5,36.5,44.0,41.2,31.7
2020-06-01,19.7,17.1,12.4,34.8,41.6,39.6,31.0
2020-07-01,19.1,16.7,12.2,34.3,41.0,38.9,30.4
2020-08-01,18.8,16.2,12.1,33.7,40.5,37.9,30.0
2020-09-01,18.8,16.3,12.1,33.1,40.1,37.2,29.8
2020-10-01,18.9,16.9,12.4,33.0,40.0,37.2,30.3
2020-11-01,19.3,18.3,12.7,33.1,40.0,37.1,30.7
2020-12-01,19.6,18.4,13.1,33.0,39.4,36.8,30.4
2021-01-01,19.9,17.7,13.3,33.3,39.2,37.7,31.4
2021-02-01,19.9,17.9,13.5,34.0,39.9,38.0,32.5
2021-03-01,19.0,17.7,13.2,33.8,39.2,37.5,32.2
