Tarih,TP_MK_KUL_YTL,TP_MK_RES_YTL,TP_MK_CUM_YTL,UNIXTIME
1926-1,,,,"{""numberLong"":""-1388541600""}"
1926-2,,,,"{""numberLong"":""-1385863200""}"
1926-3,,,,"{""numberLong"":""-1383444000""}"
1926-4,,,,"{""numberLong"":""-1380765600""}"
1926-5,,,,"{""numberLong"":""-1378173600""}"
1926-6,,,,"{""numberLong"":""-1375495200""}"
1926-7,,,,"{""numberLong"":""-1372903200""}"
1926-8,,,,"{""numberLong"":""-1370224800""}"
1926-9,,,,"{""numberLong"":""-1367546400""}"
1926-10,,,,"{""numberLong"":""-1364954400""}"
1926-11,,,,"{""numberLong"":""-1362276000""}"
1926-12,,8e-06,,"{""numberLong"":""-1359684000""}"
1927-1,,,,"{""numberLong"":""-1357005600""}"
1927-2,,,,"{""numberLong"":""-1354327200""}"
1927-3,,,,"{""numberLong"":""-1351908000""}"
1927-4,,,,"{""numberLong"":""-1349229600""}"
1927-5,,,,"{""numberLong"":""-1346637600""}"
1927-6,,,,"{""numberLong"":""-1343959200""}"
1927-7,,,,"{""numberLong"":""-1341367200""}"
1927-8,,,,"{""numberLong"":""-1338688800""}"
1927-9,,,,"{""numberLong"":""-1336010400""}"
1927-10,,,,"{""numberLong"":""-1333418400""}"
1927-11,,,,"{""numberLong"":""-1330740000""}"
1927-12,,8e-06,,"{""numberLong"":""-1328148000""}"
1928-1,,,,"{""numberLong"":""-1325469600""}"
1928-2,,,,"{""numberLong"":""-1322791200""}"
1928-3,,,,"{""numberLong"":""-1320285600""}"
1928-4,,,,"{""numberLong"":""-1317607200""}"
1928-5,,,,"{""numberLong"":""-1315015200""}"
1928-6,,,,"{""numberLong"":""-1312336800""}"
1928-7,,,,"{""numberLong"":""-1309744800""}"
1928-8,,,,"{""numberLong"":""-1307066400""}"
1928-9,,,,"{""numberLong"":""-1304388000""}"
1928-10,,,,"{""numberLong"":""-1301796000""}"
1928-11,,,,"{""numberLong"":""-1299117600""}"
1928-12,,8e-06,,"{""numberLong"":""-1296525600""}"
1929-1,,,,"{""numberLong"":""-1293847200""}"
1929-2,,,,"{""numberLong"":""-1291168800""}"
1929-3,,,,"{""numberLong"":""-1288749600""}"
1929-4,,,,"{""numberLong"":""-1286071200""}"
1929-5,,,,"{""numberLong"":""-1283479200""}"
1929-6,,,,"{""numberLong"":""-1280800800""}"
1929-7,,,,"{""numberLong"":""-1278208800""}"
1929-8,,,,"{""numberLong"":""-1275530400""}"
1929-9,,,,"{""numberLong"":""-1272852000""}"
1929-10,,,,"{""numberLong"":""-1270260000""}"
1929-11,,,,"{""numberLong"":""-1267581600""}"
1929-12,,9e-06,,"{""numberLong"":""-1264989600""}"
1930-1,,,,"{""numberLong"":""-1262311200""}"
1930-2,,,,"{""numberLong"":""-1259632800""}"
1930-3,,,,"{""numberLong"":""-1257213600""}"
1930-4,,,,"{""numberLong"":""-1254535200""}"
1930-5,,,,"{""numberLong"":""-1251943200""}"
1930-6,,,,"{""numberLong"":""-1249264800""}"
1930-7,,,,"{""numberLong"":""-1246672800""}"
1930-8,,,,"{""numberLong"":""-1243994400""}"
1930-9,,,,"{""numberLong"":""-1241316000""}"
1930-10,,,,"{""numberLong"":""-1238724000""}"
1930-11,,,,"{""numberLong"":""-1236045600""}"
1930-12,,9e-06,,"{""numberLong"":""-1233453600""}"
1931-1,,,,"{""numberLong"":""-1230775200""}"
1931-2,,,,"{""numberLong"":""-1228096800""}"
1931-3,,,,"{""numberLong"":""-1225677600""}"
1931-4,,,,"{""numberLong"":""-1222999200""}"
1931-5,,,,"{""numberLong"":""-1220407200""}"
1931-6,,,,"{""numberLong"":""-1217728800""}"
1931-7,,,,"{""numberLong"":""-1215136800""}"
1931-8,,,,"{""numberLong"":""-1212458400""}"
1931-9,,,,"{""numberLong"":""-1209780000""}"
1931-10,,,,"{""numberLong"":""-1207188000""}"
1931-11,,,,"{""numberLong"":""-1204509600""}"
1931-12,,9e-06,,"{""numberLong"":""-1201917600""}"
1932-1,,,,"{""numberLong"":""-1199239200""}"
1932-2,,,,"{""numberLong"":""-1196560800""}"
1932-3,,,,"{""numberLong"":""-1194055200""}"
1932-4,,,,"{""numberLong"":""-1191376800""}"
1932-5,,,,"{""numberLong"":""-1188784800""}"
1932-6,,,,"{""numberLong"":""-1186106400""}"
1932-7,,,,"{""numberLong"":""-1183514400""}"
1932-8,,,,"{""numberLong"":""-1180836000""}"
1932-9,,,,"{""numberLong"":""-1178154000""}"
1932-10,,,,"{""numberLong"":""-1175562000""}"
1932-11,,,,"{""numberLong"":""-1172883600""}"
1932-12,,9e-06,,"{""numberLong"":""-1170291600""}"
1933-1,,,,"{""numberLong"":""-1167613200""}"
1933-2,,,,"{""numberLong"":""-1164934800""}"
1933-3,,,,"{""numberLong"":""-1162515600""}"
1933-4,,,,"{""numberLong"":""-1159837200""}"
1933-5,,,,"{""numberLong"":""-1157245200""}"
1933-6,,,,"{""numberLong"":""-1154566800""}"
1933-7,,,,"{""numberLong"":""-1151974800""}"
1933-8,,,,"{""numberLong"":""-1149296400""}"
1933-9,,,,"{""numberLong"":""-1146618000""}"
1933-10,,,,"{""numberLong"":""-1144026000""}"
1933-11,,,,"{""numberLong"":""-1141347600""}"
1933-12,,9e-06,,"{""numberLong"":""-1138755600""}"
1934-1,,,,"{""numberLong"":""-1136077200""}"
1934-2,,,,"{""numberLong"":""-1133398800""}"
1934-3,,,,"{""numberLong"":""-1130979600""}"
1934-4,,,,"{""numberLong"":""-1128301200""}"
1934-5,,,,"{""numberLong"":""-1125709200""}"
1934-6,,,,"{""numberLong"":""-1123030800""}"
1934-7,,,,"{""numberLong"":""-1120438800""}"
1934-8,,,,"{""numberLong"":""-1117760400""}"
1934-9,,,,"{""numberLong"":""-1115082000""}"
1934-10,,,,"{""numberLong"":""-1112490000""}"
1934-11,,,,"{""numberLong"":""-1109811600""}"
1934-12,,9e-06,,"{""numberLong"":""-1107219600""}"
1935-1,,,,"{""numberLong"":""-1104541200""}"
1935-2,,,,"{""numberLong"":""-1101862800""}"
1935-3,,,,"{""numberLong"":""-1099443600""}"
1935-4,,,,"{""numberLong"":""-1096765200""}"
1935-5,,,,"{""numberLong"":""-1094173200""}"
1935-6,,,,"{""numberLong"":""-1091494800""}"
1935-7,,,,"{""numberLong"":""-1088902800""}"
1935-8,,,,"{""numberLong"":""-1086224400""}"
1935-9,,,,"{""numberLong"":""-1083546000""}"
1935-10,,,,"{""numberLong"":""-1080954000""}"
1935-11,,,,"{""numberLong"":""-1078275600""}"
1935-12,,9e-06,,"{""numberLong"":""-1075683600""}"
1936-1,,,,"{""numberLong"":""-1073005200""}"
1936-2,,,,"{""numberLong"":""-1070326800""}"
1936-3,,,,"{""numberLong"":""-1067821200""}"
1936-4,,,,"{""numberLong"":""-1065142800""}"
1936-5,,,,"{""numberLong"":""-1062550800""}"
1936-6,,,,"{""numberLong"":""-1059872400""}"
1936-7,,,,"{""numberLong"":""-1057280400""}"
1936-8,,,,"{""numberLong"":""-1054602000""}"
1936-9,,,,"{""numberLong"":""-1051923600""}"
1936-10,,,,"{""numberLong"":""-1049331600""}"
1936-11,,,,"{""numberLong"":""-1046653200""}"
1936-12,,1e-05,,"{""numberLong"":""-1044061200""}"
1937-1,,,,"{""numberLong"":""-1041382800""}"
1937-2,,,,"{""numberLong"":""-1038704400""}"
1937-3,,,,"{""numberLong"":""-1036285200""}"
1937-4,,,,"{""numberLong"":""-1033606800""}"
1937-5,,,,"{""numberLong"":""-1031014800""}"
1937-6,,,,"{""numberLong"":""-1028336400""}"
1937-7,,,,"{""numberLong"":""-1025744400""}"
