dt,MK.KUL.YTL,MK.RES.YTL,MK.CUM.YTL
1990-01-01,0.0309,0.227667,0.208333
1990-02-01,0.032067,0.235833,0.212833
1990-03-01,0.031738,0.237375,0.211503
1990-04-01,0.03085,0.241666,0.208666
1990-05-01,0.030738,0.245,0.2065
1990-06-01,0.030088,0.245,0.2035
1990-07-01,0.030967,0.245667,0.205333
1990-08-01,0.034113,0.2675,0.22825
1990-09-01,0.034625,0.2725,0.23275
1990-10-01,0.034288,0.27075,0.232
1990-11-01,0.034438,0.275,0.23
1990-12-01,0.035563,0.2775,0.2365
1991-01-01,0.037788,0.28125,0.25475
1991-02-01,0.0391,0.283666,0.272
1991-03-01,0.0423,0.315,0.281
1991-04-01,0.044433,0.321667,0.299333
1991-05-01,0.0471,0.34,0.3115
1991-06-01,0.04644,0.339433,0.30975
1991-07-01,0.053133,0.37,0.355333
1991-08-01,0.052666,0.38,0.353333
1991-09-01,0.052967,0.393333,0.356
1991-10-01,0.05675,0.40635,0.378
1991-11-01,0.058425,0.4225,0.39025
1991-12-01,0.059325,0.425,0.39675
1992-01-01,0.06198,0.434,0.4122
1992-02-01,0.06605,0.46,0.44
1992-03-01,0.06875,0.48625,0.46375
1992-04-01,0.070875,0.50125,0.476
1992-05-01,0.0744,0.532,0.4956
1992-06-01,0.0769,0.563333,0.511666
1992-07-01,0.08,0.591,0.5311
1992-08-01,0.078666,0.613333,0.531666
1992-09-01,0.083433,0.623333,0.558666
1992-10-01,0.085025,0.62375,0.5665
1992-11-01,0.08925,0.64167,0.594
1992-12-01,0.09182,0.654,0.6146
1993-01-01,0.094275,0.68875,0.63525
1993-02-01,0.09825,0.7,0.659
1993-03-01,0.101125,0.73,0.683
1993-04-01,0.10595,0.7725,0.718
1993-05-01,0.119775,0.8575,0.82125
1993-06-01,0.1282,0.963333,0.876666
1993-07-01,0.142733,1.11,0.996666
1993-08-01,0.1415,1.2,1.00375
1993-09-01,0.13925,1.18375,0.9645
1993-10-01,0.15026,1.18,1.022
1993-11-01,0.164033,1.2,1.12667
1993-12-01,0.176375,1.255,1.1975
1994-01-01,0.201625,1.3875,1.36625
1994-02-01,0.22775,1.55,1.54375
1994-03-01,0.28575,1.99375,1.93
1994-04-01,0.3674,2.54,2.476
1994-05-01,0.377,2.65,2.5525
1994-06-01,0.38125,2.625,2.555
1994-07-01,0.3818,2.62,2.551
1994-08-01,0.39025,2.725,2.61
1994-09-01,0.4288,2.97,2.87
1994-10-01,0.443,3.06875,2.9825
1994-11-01,0.45175,3.1625,3.03
1994-12-01,0.4593,3.14,3.064
1995-01-01,0.49,3.3,3.325
1995-02-01,0.500125,3.35,3.385
1995-03-01,0.5161,3.58,3.514
1995-04-01,0.536125,3.7,3.625
1995-05-01,0.53925,3.8625,3.6525
1995-06-01,0.5418,3.85,3.68
1995-07-01,0.55775,3.9375,3.80625
1995-08-01,0.583875,4.2375,4.0825
1995-09-01,0.595,4.27,4.1
1995-10-01,0.62225,4.4875,4.275
1995-11-01,0.65125,4.625,4.4625
1995-12-01,0.7186,5.13,4.99
1996-01-01,0.77775,5.575,5.3875
1996-02-01,0.84325,5.775,5.825
1996-03-01,0.8764,6.11,6.14
1996-04-01,0.92825,6.375,6.35
1996-05-01,0.9732,6.78,6.61
1996-06-01,0.99575,6.8125,6.75
1996-07-01,1.02775,7.0625,6.95
1996-08-01,1.0688,7.464,7.26
1996-09-01,1.10825,7.8,7.575
1996-10-01,1.1575,8.275,7.9
