dt,APIFON4,APIFON3,APIFON1.TOP
2011-01-03,6.5,7457.0,8000.0
2011-01-04,6.5,4935.8,6000.0
2011-01-05,6.5,3353.6,4000.0
2011-01-06,6.5,4102.3,5000.0
2011-01-07,6.5,7963.0,8000.0
2011-01-10,6.5,8966.5,9000.0
2011-01-11,6.5,9952.5,10000.0
2011-01-12,6.5,10981.7,11000.0
2011-01-13,6.5,8980.7,9000.0
2011-01-14,6.5,3981.5,4000.0
2011-01-17,6.5,5979.1,6000.0
2011-01-18,6.5,7981.8,8000.0
2011-01-19,6.5,9979.6,10000.0
2011-01-20,6.5,10973.6,11000.0
2011-01-21,6.46,11987.3,12000.0
2011-01-24,6.4,11983.0,12000.0
2011-01-25,6.33,12966.8,13000.0
2011-01-26,6.27,13958.7,14000.0
2011-01-27,6.25,15978.7,16000.0
2011-01-28,6.25,18948.3,19000.0
2011-01-31,6.25,20947.0,21000.0
2011-02-01,6.25,19966.8,20000.0
2011-02-02,6.25,16844.2,17000.0
2011-02-03,6.25,14882.7,15000.0
2011-02-04,6.25,15984.1,16000.0
2011-02-07,6.25,16981.9,17000.0
2011-02-08,6.25,17979.7,18000.0
2011-02-09,6.25,18986.4,19000.0
2011-02-10,6.25,18987.0,19000.0
2011-02-11,6.25,16986.6,17000.0
2011-02-14,6.25,14982.7,15000.0
2011-02-15,6.25,14983.7,15000.0
2011-02-16,6.25,16980.0,17000.0
2011-02-17,6.25,18984.1,19000.0
2011-02-18,6.25,23985.8,24000.0
2011-02-21,6.25,24982.1,25000.0
2011-02-22,6.25,30983.9,31000.0
2011-02-23,6.25,31953.3,32000.0
2011-02-24,6.25,31954.9,32000.0
2011-02-25,6.25,28963.6,29000.0
2011-02-28,6.25,28955.8,29000.0
2011-03-01,6.25,25971.3,26000.0
2011-03-02,6.25,25969.8,26000.0
2011-03-03,6.25,26979.1,27000.0
2011-03-04,6.25,28985.7,29000.0
2011-03-07,6.25,31978.1,32000.0
2011-03-08,6.25,31973.5,32000.0
2011-03-09,6.25,32979.8,33000.0
2011-03-10,6.25,33983.3,34000.0
2011-03-11,6.25,31985.5,32000.0
2011-03-14,6.25,30977.5,31000.0
2011-03-15,6.25,29978.6,30000.0
2011-03-16,6.25,29974.1,30000.0
2011-03-17,6.25,30977.1,31000.0
2011-03-18,6.25,31986.4,32000.0
2011-03-21,6.25,29980.5,30000.0
2011-03-22,6.25,28981.7,29000.0
2011-03-23,6.25,26980.8,27000.0
2011-03-24,6.25,24977.7,25000.0
2011-03-25,6.25,22981.3,23000.0
2011-03-28,6.25,22970.0,23000.0
2011-03-29,6.25,23982.9,24000.0
2011-03-30,6.25,24959.9,25000.0
2011-03-31,6.25,23980.0,24000.0
2011-04-01,6.25,22992.6,23000.0
2011-04-04,6.25,22990.4,23000.0
2011-04-05,6.25,22989.6,23000.0
2011-04-06,6.25,22988.7,23000.0
2011-04-07,6.25,23979.3,24000.0
2011-04-08,6.62,34173.5,34189.0
2011-04-11,6.25,29985.0,30000.0
2011-04-12,6.25,31984.3,32000.0
2011-04-13,6.25,31983.1,32000.0
2011-04-14,6.25,37983.0,38000.0
2011-04-15,6.25,41985.2,42000.0
2011-04-18,6.25,43984.3,44000.0
2011-04-19,6.25,47984.8,48000.0
2011-04-20,6.25,47985.0,48000.0
2011-04-21,6.25,44982.0,45000.0
2011-04-22,6.25,44985.1,45000.0
2011-04-25,6.25,42984.8,43000.0
2011-04-26,6.25,42982.0,43000.0
2011-04-27,6.25,42982.7,43000.0
2011-04-28,6.25,37313.7,41000.0
2011-04-29,6.25,45981.6,46000.0
2011-05-02,6.25,49989.4,50000.0
2011-05-03,6.25,49989.5,50000.0
2011-05-04,6.25,52985.9,53000.0
2011-05-05,6.25,53983.7,54000.0
2011-05-06,6.25,47984.5,48000.0
2011-05-09,6.25,48985.0,49000.0
2011-05-10,6.25,49980.9,50000.0
2011-05-11,6.25,50983.5,51000.0
2011-05-12,6.25,46983.9,47000.0
2011-05-13,6.25,46959.7,47000.0
2011-05-16,6.25,44957.2,45000.0
2011-05-17,6.25,43957.9,44000.0
2011-05-18,6.25,44958.1,45000.0
2011-05-19,,,
2011-05-20,6.25,47959.2,48000.0
2011-05-23,6.25,48958.0,49000.0
2011-05-24,6.25,46961.7,47000.0
2011-05-25,6.25,46960.4,47000.0
2011-05-26,6.25,49939.0,50000.0
2011-05-27,6.25,50965.3,51000.0
2011-05-30,6.25,51963.0,52000.0
2011-05-31,6.25,54951.3,55000.0
2011-06-01,6.25,57955.7,58000.0
