dt,ENFBEK.PKA12ENF,BEK.S01.D.M
2013-01-01,,6.4
2013-02-01,,6.5
2013-03-01,,6.5
2013-04-01,,6.53
2013-05-01,,6.5
2013-06-01,,6.5
2013-07-01,,7.2
2013-08-01,,7.3
2013-09-01,,7.5
2013-10-01,,7.5
2013-11-01,,7.7
2013-12-01,,7.4
2014-01-01,,7.5
2014-02-01,,8.0
2014-03-01,,8.0
2014-04-01,,8.0
2014-05-01,,8.23
2014-06-01,,8.3
2014-07-01,,8.3
2014-08-01,,8.7
2014-09-01,,8.9
2014-10-01,,9.1
2014-11-01,,9.2
2014-12-01,,9.0
2015-01-01,6.81,6.9
2015-02-01,6.69,6.9
2015-03-01,6.78,7.0
2015-04-01,6.91,7.2
2015-05-01,6.85,7.5
2015-06-01,7.0,7.72
2015-07-01,7.05,7.7
2015-08-01,7.04,7.6
2015-09-01,7.25,8.0
2015-10-01,7.34,8.2
2015-11-01,7.42,8.3
2015-12-01,7.56,8.51
2016-01-01,7.92,8.2
2016-02-01,7.96,8.5
2016-03-01,7.89,8.35
2016-04-01,7.78,7.98
2016-05-01,7.81,7.85
2016-06-01,7.6,7.7
2016-07-01,7.59,7.8
2016-08-01,7.61,8.26
2016-09-01,7.62,8.0
2016-10-01,7.61,7.89
2016-11-01,7.87,7.8
2016-12-01,8.04,7.7
2017-01-01,8.19,8.4
2017-02-01,8.21,8.99
2017-03-01,8.15,9.0
2017-04-01,8.27,9.25
2017-05-01,8.41,9.5
2017-06-01,8.32,9.5
2017-07-01,8.41,9.5
2017-08-01,8.37,9.5
2017-09-01,8.35,9.72
2017-10-01,8.52,9.9
2017-11-01,8.65,10.69
2017-12-01,9.3,11.71
2018-01-01,9.24,9.5
2018-02-01,9.26,9.5
2018-03-01,9.24,9.5
2018-04-01,9.62,10.0
2018-05-01,10.15,11.0
2018-06-01,10.47,12.0
2018-07-01,11.07,14.0
2018-08-01,12.96,16.5
2018-09-01,14.46,19.95
2018-10-01,17.03,24.35
2018-11-01,17.38,24.5
2018-12-01,16.46,21.39
2019-01-01,15.91,16.0
2019-02-01,15.47,15.9
2019-03-01,15.24,15.9
2019-04-01,15.38,16.0
2019-05-01,15.48,16.5
2019-06-01,14.88,16.0
2019-07-01,13.9,15.0
2019-08-01,12.77,14.35
2019-09-01,12.21,14.0
2019-10-01,11.18,12.6
2019-11-01,10.46,12.1
2019-12-01,10.07,11.51
2020-01-01,9.54,10.0
2020-02-01,9.61,10.0
2020-03-01,9.51,9.9
2020-04-01,9.7,9.85
2020-05-01,9.2,9.28
2020-06-01,9.03,9.5
2020-07-01,9.33,10.0
2020-08-01,9.7,10.53
2020-09-01,10.15,11.5
2020-10-01,10.53,11.85
2020-11-01,10.77,12.41
2020-12-01,10.84,14.1
2021-01-01,10.53,11.0
2021-02-01,10.36,11.12
2021-03-01,10.47,11.5
2021-04-01,11.26,13.0
2021-05-01,11.81,13.92
2021-06-01,12.12,14.5
2021-07-01,12.62,15.54
2021-08-01,12.48,16.1
2021-09-01,12.94,16.73
2021-10-01,13.91,17.7
2021-11-01,15.61,19.2
2021-12-01,21.39,23.65
2022-01-01,25.37,30.0
2022-02-01,24.83,35.0
2022-03-01,26.43,40.1
2022-04-01,28.41,46.0
2022-05-01,33.28,56.66
2022-06-01,37.91,64.75
2022-07-01,40.23,69.75
2022-08-01,41.99,70.0
2022-09-01,36.74,67.61
2022-10-01,37.34,67.36
2022-11-01,37.47,68.05
2022-12-01,34.92,66.7
2023-01-01,30.44,33.81
2023-02-01,30.75,38.62
2023-03-01,31.63,40.0
2023-04-01,31.02,40.0
2023-05-01,29.84,38.73
2023-06-01,30.65,39.0
2023-07-01,33.21,45.0
2023-08-01,42.01,60.0
2023-09-01,44.94,67.0
2023-10-01,45.28,68.59
2023-11-01,43.94,67.0
2023-12-01,41.23,65.2
2024-01-01,39.09,42.09
2024-02-01,37.78,42.85
2024-03-01,36.7,44.46
2024-04-01,35.17,44.1
2024-05-01,33.21,43.5
2024-06-01,31.79,43.5
2024-07-01,30.02,43.0
2024-08-01,28.71,43.0
2024-09-01,27.49,43.0
2024-10-01,27.44,44.0
2024-11-01,27.2,44.71
2024-12-01,27.07,45.2
2025-01-01,25.38,27.0
2025-02-01,25.26,28.5
2025-03-01,24.55,28.03
2025-04-01,25.56,30.0
2025-05-01,25.06,30.13
2025-06-01,24.56,30.0
2025-07-01,23.39,29.5
2025-08-01,22.84,29.55
2025-09-01,22.25,29.81
2025-10-01,23.26,31.8
2025-11-01,23.49,32.0
2025-12-01,23.35,31.05
2026-01-01,22.2,23.15
2026-02-01,22.1,24.0
2026-03-01,22.17,25.5
2026-04-01,23.39,27.82
2026-05-01,23.82,29.0
2026-06-01,23.81,29.45
2026-07-01,23.95,29.3
2026-08-01,,29.5
