dt,MK.F.BILESIK,MK.F.MALI
1990-01-01,,
1990-01-02,0.2218,
1990-01-03,0.2425,
1990-01-04,0.2468,
1990-01-05,0.2454,
1990-01-08,0.2543,
1990-01-09,0.274,
1990-01-10,0.2909,
1990-01-11,0.2821,
1990-01-12,0.2975,
1990-01-15,0.3131,
1990-01-16,0.331,
1990-01-17,0.3309,
1990-01-18,0.3261,
1990-01-19,0.3394,
1990-01-22,0.3599,
1990-01-23,0.3771,
1990-01-24,0.3811,
1990-01-25,0.3595,
1990-01-26,0.3294,
1990-01-29,0.3362,
1990-01-30,0.347,
1990-01-31,0.3641,
1990-02-01,0.3762,
1990-02-02,0.3856,
1990-02-05,0.4026,
1990-02-06,0.4079,
1990-02-07,0.3998,
1990-02-08,0.4086,
1990-02-09,0.4194,
1990-02-12,0.4125,
1990-02-13,0.4046,
1990-02-14,0.4039,
1990-02-15,0.3984,
1990-02-16,0.3926,
1990-02-19,0.3797,
1990-02-20,0.3619,
1990-02-21,0.3709,
1990-02-22,0.3624,
1990-02-23,0.3389,
1990-02-26,0.318,
1990-02-27,0.3247,
1990-02-28,0.3516,
1990-03-01,0.3749,
1990-03-02,0.3761,
1990-03-05,0.3484,
1990-03-06,0.3379,
1990-03-07,0.3408,
1990-03-08,0.3286,
1990-03-09,0.3414,
1990-03-12,0.3483,
1990-03-13,0.3461,
1990-03-14,0.3439,
1990-03-15,0.3422,
1990-03-16,0.3409,
1990-03-19,0.3474,
1990-03-20,0.3542,
1990-03-21,0.3583,
1990-03-22,0.3632,
1990-03-23,0.3569,
1990-03-26,0.3547,
1990-03-27,0.3587,
1990-03-28,0.3555,
1990-03-29,0.3337,
1990-03-30,0.3294,
1990-04-02,0.3427,
1990-04-03,0.347,
1990-04-04,0.3376,
1990-04-05,0.3326,
1990-04-06,0.3352,
1990-04-09,0.3354,
1990-04-10,0.3343,
1990-04-11,0.3287,
1990-04-12,0.3222,
1990-04-13,0.3265,
1990-04-16,0.3249,
1990-04-17,0.3245,
1990-04-18,0.3272,
1990-04-19,0.3306,
1990-04-20,0.3288,
1990-04-23,,
1990-04-24,,
1990-04-25,,
1990-04-26,,
1990-04-27,,
1990-04-30,0.3308,
1990-05-01,0.3299,
1990-05-02,0.3448,
1990-05-03,0.3553,
1990-05-04,0.3756,
1990-05-07,0.3971,
1990-05-08,0.4052,
1990-05-09,0.3881,
1990-05-10,0.399,
1990-05-11,0.3958,
1990-05-14,0.4016,
1990-05-15,0.3977,
1990-05-16,0.392,
1990-05-17,0.3954,
1990-05-18,0.3997,
1990-05-21,0.3954,
1990-05-22,0.4021,
1990-05-23,0.3998,
1990-05-24,0.3954,
1990-05-25,0.3912,
1990-05-28,0.3925,
1990-05-29,0.3931,
1990-05-30,0.3847,
1990-05-31,0.3852,
1990-06-01,0.3971,
1990-06-04,0.4071,
1990-06-05,0.4025,
1990-06-06,0.3949,
1990-06-07,0.3916,
1990-06-08,0.3926,
1990-06-11,0.3801,
1990-06-12,0.3725,
1990-06-13,0.371,
1990-06-14,0.3648,
1990-06-15,0.3602,
1990-06-18,0.3619,
1990-06-19,0.3756,
1990-06-20,0.3692,
1990-06-21,0.3639,
1990-06-22,0.3629,
1990-06-25,0.3599,
1990-06-26,0.3693,
1990-06-27,0.3888,
1990-06-28,0.4046,
1990-06-29,0.4133,
1990-07-02,,
1990-07-03,,
1990-07-04,,
1990-07-05,,
1990-07-06,,
1990-07-09,0.4117,
1990-07-10,0.418,
1990-07-11,0.4177,
1990-07-12,0.4299,
1990-07-13,0.4226,
1990-07-16,0.4344,
1990-07-17,0.4344,
1990-07-18,0.4403,
1990-07-19,0.432,
1990-07-20,0.4424,
1990-07-23,0.4594,
1990-07-24,0.4729,
1990-07-25,0.4866,
1990-07-26,0.4933,
1990-07-27,0.4987,
1990-07-30,0.5166,
1990-07-31,0.5384,
1990-08-01,0.5642,
1990-08-02,0.575,
1990-08-03,0.5615,
1990-08-06,0.5432,
1990-08-07,0.4983,
1990-08-08,0.455,
1990-08-09,0.4207,
1990-08-10,0.4427,
1990-08-13,0.4774,
1990-08-14,0.5046,
1990-08-15,0.5025,
1990-08-16,0.5103,
1990-08-17,0.5089,
1990-08-20,0.492,
1990-08-21,0.4719,
1990-08-22,0.46,
1990-08-23,0.4439,
1990-08-24,0.4325,
1990-08-27,0.4476,
1990-08-28,0.4868,
1990-08-29,0.4818,
1990-08-30,,
1990-08-31,0.4939,
1990-09-03,0.4973,
1990-09-04,0.4827,
1990-09-05,0.472,
1990-09-06,0.453,
1990-09-07,0.4673,
1990-09-10,0.4866,
1990-09-11,0.4822,
1990-09-12,0.4916,
1990-09-13,0.4995,
1990-09-14,0.5058,
1990-09-17,0.5007,
1990-09-18,0.5005,
1990-09-19,0.5069,
1990-09-20,0.5156,
1990-09-21,0.5115,
1990-09-24,0.506,
1990-09-25,0.4953,
1990-09-26,0.4931,
1990-09-27,0.5009,
1990-09-28,0.5085,
1990-10-01,0.5136,
1990-10-02,0.5324,
1990-10-03,0.5357,
1990-10-04,0.5501,
1990-10-05,0.531,
1990-10-08,0.5233,
1990-10-09,0.5107,
1990-10-10,0.5077,
1990-10-11,0.5051,
1990-10-12,0.5149,
1990-10-15,0.5264,
1990-10-16,0.5155,
1990-10-17,0.5007,
1990-10-18,0.5009,
1990-10-19,0.494,
1990-10-22,0.495,
1990-10-23,0.4983,
1990-10-24,0.4968,
1990-10-25,0.4957,
1990-10-26,0.4953,
1990-10-29,,
1990-10-30,0.4748,
1990-10-31,0.457,
1990-11-01,0.465,
1990-11-02,0.4596,
1990-11-05,0.467,
1990-11-06,0.459,
1990-11-07,0.4729,
1990-11-08,0.462,
1990-11-09,0.4615,
1990-11-12,0.422,
1990-11-13,0.428,
1990-11-14,0.421,
1990-11-15,0.429,
1990-11-16,0.4301,
1990-11-19,0.413,
1990-11-20,0.408,
1990-11-21,0.4093,
1990-11-22,0.401,
1990-11-23,0.411,
1990-11-26,0.391,
1990-11-27,0.384,
1990-11-28,0.3745,
1990-11-29,0.361,
1990-11-30,0.3623,
1990-12-03,0.3579,
1990-12-04,0.3459,
1990-12-05,0.3642,
1990-12-06,0.363,
1990-12-07,0.4023,
1990-12-10,0.4021,
1990-12-11,0.3772,
1990-12-12,0.3903,
1990-12-13,0.3842,
1990-12-14,0.3865,
1990-12-17,0.3407,
1990-12-18,0.3434,
1990-12-19,0.3455,
1990-12-20,0.3342,
1990-12-21,0.3336,
1990-12-24,0.304,
1990-12-25,0.2824,
1990-12-26,0.2952,
1990-12-27,0.3161,
1990-12-28,0.3256,
1990-12-31,,
1991-01-01,,
1991-01-02,0.3115,0.3099
1991-01-03,0.3231,0.3202
1991-01-04,0.3518,0.3474
1991-01-07,0.3292,0.3231
1991-01-08,0.3274,0.3169
1991-01-09,0.336,0.3237
1991-01-10,0.3018,0.2959
1991-01-11,0.3275,0.3162
1991-01-14,0.3368,0.3229
1991-01-15,0.3409,0.3224
1991-01-16,0.3362,0.3128
1991-01-17,0.3641,0.3364
1991-01-18,0.4002,0.3673
1991-01-21,0.4012,0.3657
1991-01-22,0.3711,0.3436
1991-01-23,0.3639,0.3406
1991-01-24,0.3705,0.346
1991-01-25,0.3817,0.3543
1991-01-28,0.4032,0.3721
1991-01-29,0.4007,0.3614
1991-01-30,0.4089,0.3709
1991-01-31,0.4213,0.3835
1991-02-01,0.4432,0.4074
1991-02-04,0.462,0.4222
1991-02-05,0.4972,0.4477
1991-02-06,0.4869,0.443
1991-02-07,0.4725,0.4239
1991-02-08,0.4768,0.4338
1991-02-11,0.4934,0.4513
1991-02-12,0.4866,0.4499
1991-02-13,0.4811,0.4453
1991-02-14,0.4928,0.4508
1991-02-15,0.4904,0.4473
1991-02-18,0.5245,0.4801
1991-02-19,0.5326,0.4891
1991-02-20,0.5277,0.4794
1991-02-21,0.5258,0.4772
1991-02-22,0.5399,0.4887
1991-02-25,0.5293,0.4779
1991-02-26,0.5434,0.4906
1991-02-27,0.5271,0.4748
1991-02-28,0.5103,0.4588
1991-03-01,0.5075,0.4567
1991-03-04,0.4739,0.4262
1991-03-05,0.4465,0.4034
1991-03-06,0.4691,0.4214
1991-03-07,0.4711,0.4213
1991-03-08,0.4689,0.4201
1991-03-11,0.4626,0.4146
1991-03-12,0.4728,0.4247
1991-03-13,0.4731,0.4237
1991-03-14,0.4762,0.431
1991-03-15,0.4731,0.4237
1991-03-18,0.469,0.4158
1991-03-19,0.4743,0.4175
1991-03-20,0.4701,0.4115
1991-03-21,0.4562,0.3963
1991-03-22,0.4625,0.4058
1991-03-25,0.4679,0.4103
1991-03-26,0.4576,0.3953
1991-03-27,0.4597,0.3925
1991-03-28,0.4534,0.398
1991-03-29,0.452,0.3926
1991-04-01,0.4314,0.3727
1991-04-02,0.4303,0.3706
1991-04-03,0.4396,0.3821
1991-04-04,0.4376,0.3801
1991-04-05,0.4341,0.378
1991-04-08,0.4274,0.3761
1991-04-09,0.4299,0.3797
1991-04-10,0.4349,0.3902
1991-04-11,0.4371,0.3932
1991-04-12,0.4381,0.3939
1991-04-15,,
1991-04-16,,
1991-04-17,,
1991-04-18,,
1991-04-19,,
1991-04-22,,
1991-04-23,,
1991-04-24,0.4174,0.3728
1991-04-25,0.4134,0.3685
1991-04-26,0.4037,0.3573
1991-04-29,0.378,0.3481
1991-04-30,0.3554,0.3285
1991-05-01,0.3789,0.3444
1991-05-02,0.3986,0.3627
1991-05-03,0.3881,0.3517
1991-05-06,0.3692,0.3344
1991-05-07,0.3728,0.3393
1991-05-08,0.3695,0.3364
1991-05-09,0.3608,0.3274
1991-05-10,0.36,0.3269
1991-05-13,0.3602,0.3237
1991-05-14,0.3572,0.3199
1991-05-15,0.3516,0.317
1991-05-16,0.3421,0.3047
1991-05-17,0.3475,0.304
1991-05-20,0.3652,0.3116
1991-05-21,0.3945,0.3333
1991-05-22,0.4044,0.3449
1991-05-23,0.3961,0.3352
1991-05-24,0.3946,0.3316
1991-05-27,0.384,0.3213
1991-05-28,0.3643,0.3074
1991-05-29,0.3679,0.3119
1991-05-30,0.358,0.3041
1991-05-31,0.3626,0.3053
1991-06-03,0.3617,0.3011
1991-06-04,0.3586,0.3024
1991-06-05,0.359,0.3028
1991-06-06,0.3588,0.3005
1991-06-07,0.3566,0.2936
1991-06-10,0.3544,0.2963
1991-06-11,0.365,0.3066
1991-06-12,0.3739,0.3157
1991-06-13,0.3786,0.324
1991-06-14,0.3737,0.3213
1991-06-17,0.3744,0.3223
1991-06-18,0.3617,0.3122
1991-06-19,0.3479,0.2994
1991-06-20,0.3533,0.3048
1991-06-21,0.359,0.3082
1991-06-24,,
1991-06-25,,
1991-06-26,,
1991-06-27,0.3518,0.3035
1991-06-28,0.3587,0.3108
1991-07-01,0.3646,0.3153
1991-07-02,0.3597,0.3123
1991-07-03,0.3578,0.3112
1991-07-04,0.3614,0.3154
1991-07-05,0.3746,0.3276
1991-07-08,0.3695,0.3229
1991-07-09,0.3633,0.3158
1991-07-10,0.3636,0.3175
1991-07-11,0.354,0.3108
1991-07-12,0.3504,0.305
1991-07-15,0.346,0.3048
1991-07-16,0.3455,0.3006
1991-07-17,0.3451,0.2985
1991-07-18,0.3384,0.2939
1991-07-19,0.3413,0.2954
1991-07-22,0.3291,0.2874
1991-07-23,0.3138,0.2755
1991-07-24,0.3082,0.2709
1991-07-25,0.3011,0.2622
1991-07-26,0.3092,0.2697
1991-07-29,0.2984,0.2602
1991-07-30,0.2893,0.2522
1991-07-31,0.3041,0.2667
1991-08-01,0.3278,0.2844
1991-08-02,0.3211,0.2803
1991-08-05,0.3144,0.2724
1991-08-06,0.3222,0.2785
1991-08-07,0.3248,0.2787
1991-08-08,0.3236,0.2758
1991-08-09,0.3316,0.2789
1991-08-12,0.3622,0.3049
1991-08-13,0.3611,0.2978
1991-08-14,0.3707,0.3008
1991-08-15,0.3731,0.2972
1991-08-16,0.3633,0.289
1991-08-19,0.3283,0.2592
1991-08-20,0.3305,0.2576
1991-08-21,0.3254,0.2572
1991-08-22,0.3366,0.2805
1991-08-23,0.3475,0.2744
1991-08-26,0.3425,0.2713
1991-08-27,0.3464,0.2729
1991-08-28,0.3349,0.2635
1991-08-29,0.3301,0.2589
1991-08-30,,
1991-09-02,0.3138,0.2461
1991-09-03,0.3152,0.2506
1991-09-04,0.3081,0.2442
1991-09-05,0.2988,0.2377
1991-09-06,0.3013,0.2399
1991-09-09,0.2971,0.2365
1991-09-10,0.2971,0.2354
1991-09-11,0.3136,0.2459
1991-09-12,0.2947,0.2312
1991-09-13,0.2812,0.2203
1991-09-16,0.2864,0.2271
1991-09-17,0.285,0.2245
1991-09-18,0.2838,0.2242
1991-09-19,0.2816,0.222
1991-09-20,0.2847,0.2231
1991-09-23,0.294,0.2293
1991-09-24,0.2884,0.2266
1991-09-25,0.2882,0.2257
1991-09-26,0.2891,0.2258
1991-09-27,0.2887,0.2256
1991-09-30,0.2938,0.2271
1991-10-01,0.2874,0.2213
1991-10-02,0.2786,0.2164
1991-10-03,0.2772,0.2138
1991-10-04,0.2786,0.2137
1991-10-07,0.2779,0.2147
1991-10-08,0.2775,0.2121
1991-10-09,0.2722,0.2079
1991-10-10,0.2578,0.2
1991-10-11,0.2546,0.1987
1991-10-14,0.2518,0.1985
1991-10-15,0.2632,0.2072
1991-10-16,0.2581,0.2044
1991-10-17,0.2577,0.2054
1991-10-18,0.2655,0.2128
1991-10-21,0.2597,0.2092
1991-10-22,0.2672,0.2147
1991-10-23,0.281,0.2248
1991-10-24,0.277,0.2176
1991-10-25,0.2783,0.2166
1991-10-28,,
1991-10-29,,
1991-10-30,0.2791,0.2207
1991-10-31,0.2747,0.2221
1991-11-01,0.2682,0.2145
1991-11-04,0.2668,0.2141
1991-11-05,0.2675,0.2153
1991-11-06,0.272,0.2171
1991-11-07,0.2718,0.2185
1991-11-08,0.2718,0.2141
1991-11-11,0.279,0.2167
1991-11-12,0.287,0.223
1991-11-13,0.2806,0.2201
1991-11-14,0.2939,0.2338
1991-11-15,0.3138,0.2479
1991-11-18,0.3379,0.266
1991-11-19,0.3312,0.2611
1991-11-20,0.3445,0.271
1991-11-21,0.3447,0.2734
1991-11-22,0.3755,0.2942
1991-11-25,0.4119,0.3248
1991-11-26,0.4544,0.358
1991-11-27,0.4459,0.3424
1991-11-28,0.4175,0.3246
1991-11-29,0.4058,0.3115
1991-12-02,0.4416,0.3414
1991-12-03,0.4338,0.3294
1991-12-04,0.436,0.3345
1991-12-05,0.426,0.3255
1991-12-06,0.4346,0.334
1991-12-09,0.434,0.3381
1991-12-10,0.4115,0.3174
1991-12-11,0.4206,0.3238
1991-12-12,0.409,0.3124
1991-12-13,0.3989,0.3043
1991-12-16,0.402,0.3046
1991-12-17,0.3868,0.2928
1991-12-18,0.3815,0.2903
1991-12-19,0.4014,0.3069
1991-12-20,0.4108,0.3145
1991-12-23,0.4469,0.3404
1991-12-24,0.4268,0.3249
1991-12-25,0.4346,0.3289
1991-12-26,0.4339,0.3331
1991-12-27,0.4238,0.3266
1991-12-30,0.4298,0.3304
1991-12-31,0.4369,0.3355
1992-01-01,,
1992-01-02,0.4326,0.3283
1992-01-03,0.4323,0.331
1992-01-06,0.441,0.3389
1992-01-07,0.442,0.3411
1992-01-08,0.4581,0.35
1992-01-09,0.4609,0.3492
1992-01-10,0.4636,0.3585
1992-01-13,0.4691,0.3655
1992-01-14,0.4523,0.3519
1992-01-15,0.4697,0.366
1992-01-16,0.5129,0.3955
1992-01-17,0.5,0.3871
1992-01-20,0.4817,0.3828
1992-01-21,0.4859,0.3865
1992-01-22,0.4798,0.3781
1992-01-23,0.4873,0.3816
1992-01-24,0.5022,0.393
1992-01-27,0.5113,0.3957
1992-01-28,0.502,0.3847
1992-01-29,0.4983,0.3813
1992-01-30,0.494,0.3786
1992-01-31,0.4926,0.3765
1992-02-03,0.4728,0.3572
1992-02-04,0.4567,0.3445
1992-02-05,0.4374,0.3279
