dt,PY.P06.ON,PY.P04.ON,PY.P05.ON,PY.P01.ON,PY.P02.ON,PY.P03.ON
1990-01-01,,,,,,
1990-01-02,25.11,25.0,25.25,,,2499.4
1990-01-03,20.1,20.0,20.25,,,2135.6
1990-01-04,25.2,22.0,225.0,,,2236.6
1990-01-05,47.72,22.0,225.0,,,1993.4
1990-01-08,28.29,22.25,32.0,,,1590.4
1990-01-09,31.2,30.0,34.5,,,1526.8
1990-01-10,33.9,33.0,35.0,,,1920.8
1990-01-11,37.78,37.75,38.0,,,1852.0
1990-01-12,39.92,30.0,40.0,,,2194.4
1990-01-15,44.92,44.75,45.0,,,2393.8
1990-01-16,47.9,47.75,48.0,,,2330.0
1990-01-17,50.87,50.75,51.0,,,2047.8
1990-01-18,48.81,48.75,49.0,,,1750.0
1990-01-19,43.29,34.0,44.0,,,1680.6
1990-01-22,37.44,36.0,38.75,,,1685.0
1990-01-23,34.5,34.0,35.0,,,1943.2
1990-01-24,25.39,23.0,32.75,,,2399.2
1990-01-25,21.21,21.0,21.25,,,2265.2
1990-01-26,20.2,20.0,20.25,,,2531.0
1990-01-29,20.25,20.25,20.25,,,2400.6
1990-01-30,21.61,20.25,24.0,,,2059.8
1990-01-31,25.29,25.0,29.0,,,2014.4
1990-02-01,33.24,32.0,35.0,,,1834.8
1990-02-02,38.88,38.75,39.0,,,1874.4
1990-02-05,43.87,43.75,44.0,,,1736.6
1990-02-06,48.86,48.75,49.0,,,1793.8
1990-02-07,49.9,49.75,50.0,,,1905.8
1990-02-08,47.78,38.25,48.0,,,2000.2
1990-02-09,45.85,45.75,46.0,,,1962.8
1990-02-12,43.83,43.75,44.0,,,2158.8
1990-02-13,41.85,41.75,42.0,,,2122.6
1990-02-14,41.91,41.75,42.0,,,2799.6
1990-02-15,43.93,43.75,44.0,,,2859.4
1990-02-16,45.93,45.75,46.0,,,2746.8
1990-02-19,47.91,47.75,48.0,,,2617.8
1990-02-20,45.68,45.5,46.0,,,2590.8
1990-02-21,42.9,42.75,43.0,,,2432.2
1990-02-22,38.47,36.0,39.75,,,2126.6
1990-02-23,33.97,31.0,38.0,,,2260.8
1990-02-26,36.79,36.75,37.0,,,2025.0
1990-02-27,36.88,36.75,37.0,,,2035.0
1990-02-28,39.83,39.75,40.0,,,2103.4
1990-03-01,41.9,41.75,42.0,,,2295.2
1990-03-02,44.91,44.75,45.0,,,2127.6
1990-03-05,45.91,45.75,46.0,,,2483.0
1990-03-06,48.92,48.75,49.0,,,2684.2
1990-03-07,49.89,49.75,50.0,,,2301.4
1990-03-08,49.89,49.75,50.0,,,2245.6
1990-03-09,46.9,46.75,47.0,,,2150.2
1990-03-12,46.83,46.75,47.0,,,2227.6
1990-03-13,47.87,47.75,48.0,,,2385.0
1990-03-14,51.89,51.75,52.0,,,2446.4
1990-03-15,54.69,45.0,55.0,,,2067.6
1990-03-16,52.86,52.75,53.0,,,1847.8
1990-03-19,50.86,50.75,51.0,,,2085.0
1990-03-20,49.77,49.75,50.0,,,1840.2
1990-03-21,38.29,36.0,45.75,,,1769.4
1990-03-22,32.18,32.0,41.75,,,2211.2
1990-03-23,27.15,27.0,27.25,,,2158.2
1990-03-26,24.42,24.0,30.0,,,1745.0
1990-03-27,30.32,28.0,33.0,,,3208.6
1990-03-28,28.16,27.5,34.75,,,2385.2
1990-03-29,31.4,30.0,38.0,,,3278.0
1990-03-30,41.81,41.75,42.0,,,1619.0
1990-04-02,43.89,43.75,44.0,,,2084.2
1990-04-03,43.75,43.75,43.75,,,1853.6
1990-04-04,35.9,34.25,42.0,,,1901.8
1990-04-05,41.94,40.0,44.0,,,3167.0
1990-04-06,44.8,44.75,45.0,,,1993.4
1990-04-09,44.87,44.75,45.0,,,2296.0
1990-04-10,47.8,47.75,48.0,,,2212.8
1990-04-11,47.82,47.75,48.0,,,1976.8
1990-04-12,47.77,47.75,48.0,,,2103.2
1990-04-13,47.93,47.75,48.0,,,2848.0
1990-04-16,49.95,49.75,50.0,,,3202.4
1990-04-17,49.9,49.75,50.0,,,2902.4
1990-04-18,48.96,48.0,50.0,,,2412.8
1990-04-19,49.78,49.75,50.0,,,2088.4
1990-04-20,53.01,49.75,55.0,,,2154.0
1990-04-23,,,,,,
1990-04-24,54.92,54.5,55.0,,,2690.2
1990-04-25,53.7,45.0,55.0,,,3008.2
1990-04-26,,,,,,
1990-04-27,,,,,,
1990-04-30,54.87,54.75,55.0,,,2249.6
1990-05-01,53.58,45.25,54.0,,,2308.4
1990-05-02,50.0,50.0,50.0,,,2775.2
1990-05-03,52.26,50.0,55.0,,,2324.6
1990-05-04,54.33,45.0,55.0,,,2621.4
1990-05-07,54.83,54.75,55.0,,,2489.0
1990-05-08,55.42,55.0,56.0,,,2606.8
1990-05-09,55.83,55.75,56.0,,,2760.4
1990-05-10,56.86,56.75,57.0,,,2589.4
1990-05-11,56.92,56.75,57.0,,,2520.8
1990-05-14,56.97,56.75,57.0,,,2697.6
1990-05-15,56.96,56.75,57.0,,,2534.2
1990-05-16,56.92,56.75,57.0,,,2021.4
1990-05-17,57.79,55.75,65.0,,,1828.8
1990-05-18,61.57,55.0,64.0,,,1729.8
1990-05-21,57.85,57.75,58.0,,,1656.6
1990-05-22,57.75,55.0,58.0,,,1599.6
1990-05-23,57.46,56.0,57.75,,,1787.6
1990-05-24,56.99,56.0,58.0,,,1920.4
1990-05-25,59.52,57.75,63.0,,,1995.4
1990-05-28,59.92,59.75,60.0,,,2134.8
1990-05-29,59.92,59.75,60.0,,,2193.8
1990-05-30,59.87,59.0,60.0,,,1663.0
1990-05-31,59.75,59.0,60.0,,,1454.8
1990-06-01,59.95,59.75,60.0,,,1374.0
1990-06-04,63.13,61.75,65.0,,,1500.0
1990-06-05,62.72,60.0,63.0,,,1963.8
1990-06-06,62.95,62.75,63.0,,,1637.6
1990-06-07,62.67,60.0,63.0,,,1759.8
1990-06-08,61.79,60.0,63.0,,,1931.2
1990-06-11,62.91,62.75,63.0,,,1380.6
1990-06-12,62.87,62.75,63.0,,,1358.8
1990-06-13,62.08,60.0,63.0,,,1158.4
1990-06-14,62.29,60.0,63.0,,,1249.8
1990-06-15,62.86,61.0,63.0,,,1305.2
1990-06-18,62.88,62.75,63.0,,,1475.0
1990-06-19,62.79,61.0,63.0,,,1133.4
1990-06-20,61.8,60.0,62.75,,,1259.4
1990-06-21,58.75,58.0,60.75,,,1889.6
1990-06-22,58.2,57.0,59.75,,,1550.0
1990-06-25,58.46,58.0,60.0,,,1428.0
1990-06-26,59.83,59.75,60.0,,,1706.4
1990-06-27,59.83,59.75,60.0,,,1436.4
1990-06-28,61.9,61.75,62.0,,,1350.6
1990-06-29,63.68,61.75,64.0,,,2064.4
1990-07-02,63.87,62.0,64.0,,,2531.2
1990-07-03,,,,,,
1990-07-04,,,,,,
1990-07-05,,,,,,
1990-07-06,,,,,,
1990-07-09,63.95,58.0,64.0,,,1701.2
1990-07-10,62.76,60.0,64.0,,,1220.6
1990-07-11,58.21,58.0,63.0,,,1899.0
1990-07-12,55.07,55.0,55.25,,,1719.6
1990-07-13,53.16,52.0,55.0,,,1485.8
1990-07-16,57.67,57.0,58.0,,,808.2
1990-07-17,57.32,55.0,57.75,,,636.6
1990-07-18,54.14,53.0,57.75,,,879.4
1990-07-19,52.05,52.0,52.25,,,1607.2
1990-07-20,50.07,50.0,50.25,,,1429.6
1990-07-23,50.12,50.0,50.25,,,1437.0
1990-07-24,50.12,50.0,50.25,,,1626.8
1990-07-25,50.13,50.0,50.25,,,1405.8
1990-07-26,50.08,50.0,50.25,,,1571.8
1990-07-27,50.15,50.0,50.25,,,1243.4
1990-07-30,50.97,50.25,52.0,,,1268.2
1990-07-31,50.74,50.25,52.0,,,1414.6
1990-08-01,50.16,50.0,50.25,,,1676.8
1990-08-02,48.16,48.0,48.25,,,1903.2
1990-08-03,48.87,48.25,53.0,,,1757.8
1990-08-06,48.25,48.25,48.25,,,1881.2
1990-08-07,48.25,48.25,48.25,,,1745.4
1990-08-08,48.25,48.25,48.25,,,1157.4
1990-08-09,48.22,48.0,48.25,,,1385.8
1990-08-10,50.57,48.25,53.0,,,1939.8
1990-08-13,54.92,54.75,55.0,,,2291.2
1990-08-14,56.94,56.75,57.0,,,3272.2
1990-08-15,56.96,56.75,57.0,,,3121.4
1990-08-16,58.94,58.75,59.0,,,2957.2
1990-08-17,58.9,54.0,59.0,,,2487.8
1990-08-20,58.93,58.75,59.0,,,2181.6
1990-08-21,56.52,54.0,57.0,,,1455.0
1990-08-22,56.79,56.75,57.0,,,1665.4
1990-08-23,56.67,52.25,57.0,,,1970.0
1990-08-24,56.78,56.75,57.0,,,1477.4
1990-08-27,56.85,56.75,57.0,,,1814.0
1990-08-28,57.93,57.75,58.0,,,1899.2
1990-08-29,59.07,55.25,60.0,,,1459.8
1990-08-30,,,,,,
1990-08-31,59.78,59.75,60.0,,,1633.4
1990-09-03,59.89,59.75,60.0,,,2034.2
1990-09-04,59.83,59.75,60.0,,,1881.4
1990-09-05,57.13,56.0,59.75,,,1182.8
1990-09-06,55.95,55.0,58.0,,,1448.6
1990-09-07,53.59,53.25,55.0,,,1123.4
1990-09-10,53.31,53.0,54.0,,,1537.2
1990-09-11,52.23,52.0,52.25,,,1525.6
1990-09-12,53.0,52.0,53.0,,,1317.6
1990-09-13,55.36,53.0,57.75,,,1484.2
1990-09-14,56.39,56.0,57.25,,,2084.8
1990-09-17,59.88,59.75,60.0,,,2591.2
1990-09-18,59.81,59.75,60.0,,,2290.4
1990-09-19,59.37,55.0,60.0,,,1959.2
1990-09-20,55.21,55.0,57.0,,,1574.8
1990-09-21,52.16,52.0,52.25,,,1456.4
1990-09-24,52.17,52.0,52.25,,,1639.6
1990-09-25,50.16,50.0,50.25,,,1400.0
1990-09-26,49.18,49.0,49.25,,,1297.4
1990-09-27,49.23,49.0,49.25,,,1189.6
1990-09-28,55.9,52.25,57.0,,,1743.0
1990-10-01,57.86,57.75,58.0,,,1460.2
1990-10-02,58.8,58.75,59.0,,,1347.4
1990-10-03,54.11,54.0,54.25,,,1399.2
1990-10-04,53.02,53.0,53.25,,,2928.8
1990-10-05,51.06,51.0,51.25,,,1730.0
1990-10-08,51.08,51.0,51.25,,,1809.4
1990-10-09,50.07,50.0,50.25,,,1550.8
1990-10-10,50.08,50.0,50.25,,,1336.8
1990-10-11,50.14,50.0,50.25,,,1618.2
1990-10-12,53.14,50.0,55.0,,,1607.0
1990-10-15,56.87,56.75,57.0,,,1854.2
1990-10-16,56.81,56.75,57.0,,,1448.6
1990-10-17,56.1,52.25,56.75,,,1745.2
1990-10-18,52.53,52.0,53.25,,,1797.8
1990-10-19,50.19,50.0,50.25,,,1348.4
1990-10-22,50.2,50.0,50.25,,,1385.0
1990-10-23,50.13,50.0,50.25,,,1869.6
1990-10-24,50.25,50.25,50.25,,,1034.0
1990-10-25,50.61,50.0,55.0,,,1567.8
1990-10-26,54.04,53.0,55.0,,,1311.2
1990-10-29,,,,,,
1990-10-30,55.81,51.0,56.0,,,2867.6
1990-10-31,58.89,58.75,59.0,,,2527.4
1990-11-01,58.81,58.75,59.0,,,2171.0
1990-11-02,58.26,54.25,58.75,,,1388.0
1990-11-05,56.87,55.0,58.0,,,2027.4
1990-11-06,59.87,59.75,60.0,,,2118.8
1990-11-07,59.86,59.75,60.0,,,1941.0
1990-11-08,59.82,59.75,60.0,,,2013.8
1990-11-09,59.66,55.0,60.0,,,2214.4
1990-11-12,59.86,59.75,60.0,,,1801.0
1990-11-13,59.83,59.75,60.0,,,2051.6
1990-11-14,59.93,59.75,60.0,,,2753.0
1990-11-15,59.91,59.75,60.0,,,2915.4
1990-11-16,59.41,55.0,60.0,,,2606.4
1990-11-19,59.94,59.75,60.0,,,2393.0
1990-11-20,59.93,59.75,60.0,,,2243.2
1990-11-21,59.95,59.75,60.0,,,2688.4
1990-11-22,59.86,59.75,60.0,,,2044.8
1990-11-23,59.83,59.75,60.0,,,2177.0
1990-11-26,59.91,59.75,60.0,,,2093.2
1990-11-27,59.93,59.75,60.0,,,1799.8
1990-11-28,59.83,59.75,60.0,,,2122.8
1990-11-29,59.81,59.75,60.0,,,2313.0
1990-11-30,59.8,59.75,60.0,,,1596.2
1990-12-03,59.85,59.75,60.0,,,1793.2
1990-12-04,59.85,59.75,60.0,,,1866.0
1990-12-05,59.82,59.75,60.0,,,1705.0
1990-12-06,59.78,59.75,60.0,,,1400.0
1990-12-07,58.17,47.0,65.0,,,1465.8
1990-12-10,59.79,59.75,60.0,,,1311.6
1990-12-11,59.25,57.0,59.75,,,1198.4
1990-12-12,61.04,59.75,65.0,,,1051.2
1990-12-13,62.93,62.75,63.0,,,2258.8
1990-12-14,62.96,62.75,63.0,,,3185.0
1990-12-17,64.97,64.75,65.0,,,3350.6
1990-12-18,64.97,64.75,65.0,,,3399.6
1990-12-19,64.95,64.75,65.0,,,3649.4
1990-12-20,64.95,64.75,65.0,,,3481.0
1990-12-21,64.92,64.75,65.0,,,3828.4
1990-12-24,64.9,64.75,65.0,,,2423.8
1990-12-25,64.94,64.75,65.0,,,2371.2
1990-12-26,64.9,64.75,65.0,,,1895.2
1990-12-27,64.94,64.75,65.0,,,2765.2
1990-12-28,64.82,62.0,65.0,,,3143.4
1990-12-31,64.49,62.0,65.0,,,2178.4
1991-01-01,,,,,,
1991-01-02,62.82,61.0,63.75,,,2510.8
1991-01-03,59.23,59.0,59.25,,,2174.6
1991-01-04,59.13,59.0,59.25,,,2098.2
1991-01-07,59.14,59.0,59.25,,,2812.4
1991-01-08,59.15,59.0,59.25,,,2180.0
1991-01-09,60.09,59.25,62.0,,,1901.6
1991-01-10,62.87,62.75,63.0,,,2412.8
1991-01-11,64.97,64.75,65.0,,,4363.2
1991-01-14,64.98,64.75,65.0,,,6150.0
1991-01-15,65.0,64.75,65.0,,,7089.2
1991-01-16,64.99,64.75,65.0,,,6932.0
1991-01-17,64.97,64.75,65.0,,,7000.0
1991-01-18,64.97,64.75,65.0,,,6169.6
1991-01-21,64.99,64.75,65.0,,,6044.0
1991-01-22,64.97,64.75,65.0,,,4671.2
1991-01-23,64.94,64.75,65.0,,,3588.6
1991-01-24,64.92,64.75,65.0,,,2873.2
1991-01-25,64.88,64.75,65.0,,,2298.2
1991-01-28,64.91,64.75,65.0,,,2172.4
1991-01-29,64.9,64.75,65.0,,,2212.8
1991-01-30,64.88,64.75,65.0,,,2156.6
1991-01-31,64.89,64.75,65.0,,,2385.6
1991-02-01,64.92,64.75,65.0,,,3464.4
1991-02-04,64.94,64.75,65.0,,,2702.4
1991-02-05,64.92,64.75,65.0,,,2980.0
1991-02-06,64.91,64.75,65.0,,,3176.8
1991-02-07,64.93,64.75,65.0,,,3455.0
1991-02-08,64.96,64.75,65.0,,,3303.6
1991-02-11,66.92,66.75,67.0,,,3049.0
1991-02-12,66.92,66.75,67.0,,,3699.0
1991-02-13,67.93,67.75,68.0,,,3798.8
1991-02-14,68.95,68.75,69.0,,,4238.8
1991-02-15,68.96,68.75,69.0,,,4273.2
1991-02-18,68.97,68.75,69.0,,,4327.4
1991-02-19,68.94,68.75,69.0,,,3778.8
1991-02-20,68.85,68.75,69.0,,,3052.4
1991-02-21,68.86,68.75,69.0,,,2719.4
1991-02-22,68.75,68.75,68.75,,,2420.4
1991-02-25,68.75,68.75,68.75,,,1658.0
1991-02-26,68.75,68.75,68.75,,,2568.4
1991-02-27,68.75,68.75,68.75,,,2393.2
