dt,KKM.K1,KKM.K2,KKM.K3,KKM.K4
2021-12-01,0.7,0.7,0.0,68.2
2022-01-01,7.6,3.8,3.8,153.7
2022-02-01,22.5,5.8,16.7,217.2
2022-03-01,26.3,7.0,19.3,320.4
2022-04-01,28.3,8.7,19.6,408.4
2022-05-01,30.8,10.4,20.4,476.4
2022-06-01,33.2,12.2,21.1,540.9
2022-07-01,34.6,13.3,21.3,591.1
2022-08-01,36.2,17.1,19.1,651.2
2022-09-01,39.6,19.9,19.7,688.3
2022-10-01,42.9,22.4,20.5,693.8
2022-11-01,47.6,27.2,20.4,618.6
2022-12-01,51.8,30.5,21.3,487.3
2023-01-01,58.7,36.3,22.4,364.5
2023-02-01,66.4,43.3,23.1,329.1
2023-03-01,74.7,50.5,24.3,318.3
2023-04-01,85.7,57.4,28.3,521.2
2023-05-01,92.6,62.4,30.2,750.7
2023-06-01,94.3,63.7,30.5,853.9
2023-07-01,97.2,64.7,32.5,1020.9
2023-08-01,92.4,60.2,32.2,1061.2
2023-09-01,90.7,59.5,31.2,953.5
2023-10-01,90.1,60.4,29.7,609.7
2023-11-01,88.8,60.5,28.3,341.9
2023-12-01,86.6,59.0,27.6,282.5
2024-01-01,79.0,53.8,25.2,196.6
2024-02-01,75.6,52.1,23.6,131.5
2024-03-01,74.8,51.8,23.0,98.8
2024-04-01,73.3,51.3,22.0,65.1
2024-05-01,68.3,48.5,19.8,37.1
2024-06-01,64.0,45.3,18.7,25.1
2024-07-01,56.8,40.7,16.1,7.9
2024-08-01,50.7,36.9,13.8,3.9
2024-09-01,48.1,35.4,12.6,2.8
2024-10-01,42.0,31.9,10.1,1.3
2024-11-01,35.7,28.4,7.3,0.4
2024-12-01,32.5,25.9,6.6,0.0
2025-01-01,28.8,23.1,5.8,0.0
2025-02-01,24.1,20.4,3.7,0.0
2025-03-01,21.5,18.5,3.0,0.0
2025-04-01,18.7,16.9,1.8,0.0
2025-05-01,15.2,14.6,0.6,0.0
2025-06-01,14.0,13.7,0.3,0.0
2025-07-01,11.9,11.7,0.2,0.0
2025-08-01,9.7,9.6,0.2,0.0
2025-09-01,7.4,7.2,0.2,0.0
2025-10-01,3.5,3.4,0.1,0.0
2025-11-01,0.5,0.4,0.1,0.0
2025-12-01,0.2,0.2,0.0,0.0
2026-01-01,0.1,0.1,0.0,0.0
2026-02-01,0.044,0.044,0.0,0.0
2026-03-01,0.018,0.018,0.0,0.0
2026-04-01,0.014,0.014,0.0,0.0
2026-05-01,0.009,0.009,0.0,0.0
2026-06-01,0.007,0.007,0.0,0.0
