dt,KREDI.L001
2007-10-05,226754232.0
2007-10-12,227935135.0
2007-10-19,228229035.0
2007-10-26,232170068.0
2007-11-02,231708875.0
2007-11-09,232409059.0
2007-11-16,235432837.0
2007-11-23,234879856.0
2007-11-30,238736008.0
2007-12-07,237370338.0
2007-12-14,240297989.0
2007-12-21,241179240.0
2007-12-28,242927249.0
2008-01-04,242507464.0
2008-01-11,244109366.0
2008-01-18,244389604.0
2008-01-25,245312645.0
2008-02-01,247445993.0
2008-02-08,248965590.0
2008-02-15,252627427.0
2008-02-22,252643145.0
2008-02-29,256380393.0
2008-03-07,257230279.0
2008-03-14,259738664.0
2008-03-21,260412099.0
2008-03-28,265334932.0
2008-04-04,267080075.0
2008-04-11,269194468.0
2008-04-18,270117121.0
2008-04-25,270449401.0
2008-05-02,272141174.0
2008-05-09,273148645.0
2008-05-16,274960223.0
2008-05-23,274676456.0
2008-05-30,277803796.0
2008-06-06,279467870.0
2008-06-13,281928371.0
2008-06-20,283609529.0
2008-06-27,287501778.0
2008-07-04,287833906.0
2008-07-11,289693369.0
2008-07-18,287256542.0
2008-07-25,288719308.0
2008-08-01,290952088.0
2008-08-08,290288903.0
2008-08-15,293507431.0
2008-08-22,293218653.0
2008-08-29,295191609.0
2008-09-05,297692353.0
2008-09-12,299494501.0
2008-09-19,301107247.0
2008-09-26,307430943.0
2008-10-03,307973197.0
2008-10-10,307734439.0
2008-10-17,308584555.0
2008-10-24,311336361.0
2008-10-31,308344445.0
2008-11-07,305304890.0
2008-11-14,306691443.0
2008-11-21,306501799.0
2008-11-28,303724503.0
2008-12-05,302834955.0
2008-12-12,303347750.0
2008-12-19,301172548.0
2008-12-26,302010858.0
2009-01-02,300953965.0
2009-01-09,299113416.0
2009-01-16,300716827.0
2009-01-23,298967222.0
2009-01-30,299006195.0
2009-02-06,296362820.0
2009-02-13,296967916.0
2009-02-20,297448766.0
2009-02-27,297975011.0
2009-03-06,297377723.0
2009-03-13,295811669.0
2009-03-20,295571346.0
2009-03-27,297496057.0
2009-04-03,294752569.0
2009-04-10,295452659.0
2009-04-17,295846832.0
2009-04-24,295893040.0
2009-05-01,297666177.0
2009-05-08,295699260.0
2009-05-15,298003137.0
2009-05-22,295000068.0
2009-05-29,301767757.0
2009-06-05,299384381.0
2009-06-12,300791403.0
2009-06-19,301134540.0
2009-06-26,306103499.0
2009-07-03,304512511.0
2009-07-10,305792669.0
2009-07-17,304113669.0
2009-07-24,302311213.0
2009-07-31,305900658.0
2009-08-07,306001126.0
2009-08-14,307243312.0
2009-08-21,306611313.0
2009-08-28,308067728.0
2009-09-04,309240272.0
2009-09-11,311297147.0
2009-09-18,311004438.0
2009-09-25,311743377.0
2009-10-02,317097546.0
2009-10-09,315933758.0
2009-10-16,318546771.0
2009-10-23,317195627.0
2009-10-30,321829579.0
2009-11-06,322085213.0
2009-11-13,323684931.0
2009-11-20,326247499.0
2009-11-27,329573498.0
2009-12-04,328840551.0
2009-12-11,331192082.0
2009-12-18,331801828.0
2009-12-25,335210049.0
2010-01-01,338645361.0
2010-01-08,336106883.0
2010-01-15,340075781.0
2010-01-22,338590023.0
2010-01-29,341244126.0
2010-02-05,342877890.0
2010-02-12,345007880.0
2010-02-19,346321628.0
2010-02-26,351940949.0
2010-03-05,351535920.0
2010-03-12,353696490.0
2010-03-19,354714723.0
2010-03-26,361307320.0
2010-04-02,363913380.0
2010-04-09,365090464.0
2010-04-16,367126099.0
2010-04-23,368013431.0
2010-04-30,373575340.0
2010-05-07,377070201.0
2010-05-14,379426014.0
2010-05-21,382421265.0
2010-05-28,387708051.0
2010-06-04,389469916.0
2010-06-11,393727886.0
2010-06-18,393986770.0
2010-06-25,399140755.0
2010-07-02,406091095.0
2010-07-09,406443885.0
2010-07-16,409816228.0
2010-07-23,408202865.0
2010-07-30,413343445.0
2010-08-06,411334162.0
2010-08-13,413457636.0
2010-08-20,414849188.0
2010-08-27,420762290.0
2010-09-03,421344692.0
2010-09-10,421876078.0
2010-09-17,423195963.0
2010-09-24,426959902.0
2010-10-01,432546579.0
2010-10-08,431302223.0
