dt,KM.F01,KM.F04,KM.F07,KM.F13,KM.F19,KM.F22
1986-01-01,4002.3,1472.0,658.7,499.6,1182.5,0.9
1986-02-01,4133.4,1501.6,673.3,517.0,1321.2,0.9
1986-03-01,4528.1,1702.5,730.3,706.2,1438.3,0.0
1986-04-01,4613.1,1729.4,723.5,716.2,1603.2,0.0
1986-05-01,4736.4,1792.1,765.2,735.0,1663.3,0.0
1986-06-01,4830.8,1828.9,736.5,925.9,1901.8,0.0
1986-07-01,4886.4,1694.7,798.9,1047.6,1999.9,0.2
1986-08-01,4986.5,1713.5,773.9,946.4,2053.6,0.6
1986-09-01,5082.4,1855.4,812.7,994.9,2230.0,1.0
1986-10-01,5161.2,2082.4,771.1,934.8,2295.5,0.0
1986-11-01,5280.0,2242.2,774.9,870.7,2474.9,0.0
1986-12-01,5725.7,3336.8,994.0,688.1,2719.7,0.0
1987-01-01,5537.5,2629.2,813.3,765.2,2864.4,0.0
1987-02-01,5599.6,2804.3,809.8,647.7,2857.8,0.0
1987-03-01,5706.9,2890.8,915.4,823.1,2972.3,0.0
1987-04-01,5770.6,2784.0,967.0,1270.8,3074.1,0.0
1987-05-01,5875.5,2740.3,943.2,967.2,3197.9,0.0
1987-06-01,5986.7,3046.8,994.3,1151.4,3379.8,0.0
1987-07-01,6029.8,2916.6,1010.3,1186.6,3627.0,0.1
1987-08-01,6169.3,3190.3,1128.0,1132.9,3926.0,0.0
1987-09-01,6287.6,3449.9,1225.0,1021.4,4216.1,0.0
1987-10-01,6341.1,3375.1,1366.2,1071.5,4474.8,0.0
1987-11-01,6386.7,3341.1,1516.3,1187.7,4881.9,0.0
1987-12-01,6891.4,5319.7,1840.7,1020.0,5550.4,0.0
1988-01-01,6650.6,3720.2,1754.4,1240.2,5815.2,0.0
1988-02-01,7087.7,3655.9,1876.1,1195.5,5923.2,0.0
1988-03-01,7476.5,3752.6,1971.0,1231.1,6065.2,0.0
1988-04-01,7792.9,3700.2,2090.2,1146.3,6213.2,0.0
1988-05-01,8176.5,3669.3,2160.3,1352.8,6353.4,0.0
1988-06-01,8419.9,3500.9,2310.9,1401.3,6348.3,0.0
1988-07-01,8768.1,3654.5,2405.1,1763.4,6643.9,0.0
1988-08-01,9325.6,3804.2,2631.8,1503.1,7404.8,0.0
1988-09-01,9706.7,3914.5,2568.4,1631.0,8012.2,0.0
1988-10-01,10468.4,4049.3,2852.5,2038.9,8434.1,0.0
1988-11-01,11460.9,4605.5,3060.9,1782.1,9102.9,7.1
1988-12-01,12609.2,6501.9,3719.9,1480.9,9411.7,0.0
1989-01-01,13182.1,4766.4,3889.1,1780.2,9437.2,0.0
1989-02-01,14123.3,5270.6,4229.6,1529.1,9795.8,0.0
1989-03-01,14698.1,5269.0,4540.7,1542.2,10185.4,0.0
1989-04-01,15313.5,5691.9,4621.0,1607.5,10451.7,0.0
1989-05-01,15987.7,5735.2,4940.5,1528.5,10218.2,0.0
1989-06-01,16327.5,5680.2,5128.1,1983.6,10606.9,0.0
1989-07-01,16909.2,6200.6,5099.3,2092.6,11059.3,0.0
1989-08-01,18026.5,6239.1,5303.7,1732.3,11387.2,1.0
1989-09-01,19085.2,6743.5,5295.9,1816.2,11914.1,5.6
1989-10-01,20823.9,7132.4,6256.8,2232.0,12651.9,6.8
1989-11-01,21812.2,7247.7,6829.7,2092.8,13052.8,9.3
1989-12-01,22812.9,9620.3,7824.3,1691.4,13928.3,108.4
1990-01-01,23481.2,7974.5,8242.4,2611.8,14234.5,82.3
1990-02-01,24102.2,8371.7,8157.7,2348.8,14605.1,124.8
1990-03-01,24822.0,8803.0,8016.7,2291.3,15179.6,131.7
1990-04-01,25446.5,9857.7,8677.6,3080.0,15552.1,118.2
1990-05-01,26174.5,9401.3,9023.3,2894.2,16065.3,66.4
1990-06-01,26784.3,9172.9,9371.2,2592.8,16266.6,208.1
1990-07-01,27618.5,10285.7,9950.6,3353.0,17399.8,112.0
1990-08-01,28202.6,10004.8,10256.2,2844.8,17919.4,0.0
1990-09-01,28932.1,10696.6,10151.9,3196.0,18483.0,0.0
1990-10-01,30108.4,11422.7,11448.9,3205.0,19751.1,11.0
1990-11-01,31094.8,11041.3,11278.5,3797.8,20641.2,49.7
1990-12-01,32518.7,14524.2,12869.2,3511.4,21744.1,29.3
1991-01-01,30667.8,10581.9,12635.6,3055.0,20782.8,51.4
1991-02-01,32939.6,11484.2,12789.1,2721.0,24200.3,33.0
1991-03-01,35328.8,11515.1,12680.6,2731.6,25619.9,156.1
1991-04-01,36666.5,12343.9,13260.6,4326.1,27838.1,10.2
1991-05-01,38997.4,11333.4,13487.7,3461.8,29325.2,139.1
1991-06-01,40863.2,12987.0,13465.0,3453.5,30730.5,13.1
1991-07-01,43015.9,13075.3,14665.8,3773.7,33631.1,23.0
1991-08-01,46087.1,13293.6,13724.8,3334.3,37320.9,131.5
1991-09-01,48441.9,14941.8,15928.5,3563.5,40868.6,0.0
1991-10-01,51119.0,15790.9,16707.3,5048.6,44641.0,0.0
1991-11-01,53702.0,15732.4,16269.5,4650.3,47971.0,103.7
1991-12-01,57304.6,21638.3,20705.1,3136.3,51979.7,0.1
1992-01-01,59508.5,16435.7,19884.4,4067.3,55588.3,0.1
1992-02-01,62717.7,17437.2,19983.4,3335.8,61654.8,0.1
1992-03-01,64935.2,18849.4,22305.1,5966.4,65815.0,35.2
1992-04-01,67124.8,19417.3,24507.6,6407.0,70985.8,51.1
1992-05-01,68907.9,19124.8,23679.3,5806.1,77694.9,200.2
1992-06-01,71249.9,20856.7,25416.6,7031.1,82691.4,34.2
1992-07-01,74040.5,20594.5,25285.1,6956.7,89436.1,318.5
1992-08-01,77131.3,22457.2,27446.1,7129.0,95142.9,214.0
1992-09-01,79542.6,25127.4,29583.3,6447.4,101393.8,122.4
1992-10-01,81843.8,25960.7,28579.6,7721.7,103384.2,734.0
1992-11-01,86071.1,26816.7,29402.5,7555.0,103605.4,8.7
1992-12-01,90750.0,36222.7,35041.6,6593.1,106024.9,252.1
1993-01-01,94474.3,29624.2,32760.6,8547.0,109438.1,0.2
1993-02-01,100943.6,30709.2,33828.4,7038.6,112871.4,237.6
1993-03-01,103457.8,32912.3,36676.4,8904.7,117689.2,151.4
1993-04-01,104289.5,33720.6,36917.5,12581.1,121683.9,686.2
1993-05-01,104871.5,33508.3,38759.6,11592.1,125562.0,446.7
1993-06-01,106340.6,36924.8,40363.0,8979.2,132198.5,528.1
1993-07-01,109105.4,37935.2,38092.2,14062.5,138700.9,847.6
1993-08-01,112153.3,41352.1,42016.0,13270.5,149984.7,0.0
1993-09-01,112533.8,43434.1,41705.0,13875.7,160693.8,0.0
1993-10-01,115742.6,42683.0,41333.7,13202.7,172793.8,0.0
1993-11-01,117741.1,43974.4,46686.8,16689.6,185125.3,0.0
1993-12-01,123096.2,56845.9,55562.8,12539.7,197364.7,0.0
1994-01-01,123294.5,43765.7,57910.9,17409.2,237647.6,0.0
1994-02-01,134794.6,43109.4,52638.2,12285.4,263476.3,0.0
1994-03-01,133928.3,36426.6,53735.8,16553.4,303666.5,0.0
1994-04-01,162445.4,42842.8,51930.0,20839.6,380866.2,0.0
1994-05-01,217642.3,50911.7,59570.1,14704.0,362491.9,0.0
1994-06-01,268247.8,63108.3,65383.0,26237.3,378983.4,0.0
1994-07-01,314372.2,76553.1,69258.5,24677.1,392979.6,0.0
1994-08-01,300089.9,80128.2,74393.3,29232.4,434098.4,0.0
1994-09-01,303327.0,79721.3,72471.4,28072.4,484204.6,0.0
1994-10-01,291690.6,87646.9,75878.9,35104.7,540822.5,0.0
1994-11-01,313694.3,88622.8,83581.5,23546.2,552283.0,0.0
1994-12-01,326227.0,108459.6,105136.2,19064.2,598477.8,0.0
