dt,MT210AGS.TRY.MT02,MT210AGS.TRY.MT06
2000-06-01,43.4,45.05
2000-07-01,38.94,38.32
2000-08-01,37.14,38.04
2000-09-01,40.79,42.85
2000-10-01,44.58,44.95
2000-11-01,58.44,66.42
2000-12-01,81.83,79.3
2001-01-01,69.36,62.54
2001-02-01,69.34,3718.02
2001-03-01,110.5,109.85
2001-04-01,110.79,106.11
2001-05-01,87.56,84.64
2001-06-01,77.23,75.82
2001-07-01,73.5,73.53
2001-08-01,69.4,70.01
2001-09-01,71.09,70.57
2001-10-01,69.09,69.3
2001-11-01,66.46,66.41
2001-12-01,66.51,65.76
2002-01-01,63.92,63.84
2002-02-01,63.09,62.65
2002-03-01,61.22,60.19
2002-04-01,52.81,53.14
2002-05-01,50.88,51.1
2002-06-01,49.92,50.13
2002-07-01,50.93,50.92
2002-08-01,51.99,51.4
2002-09-01,51.0,50.9
2002-10-01,50.5,50.19
2002-11-01,47.98,48.0
2002-12-01,47.08,47.13
2003-01-01,46.98,47.11
2003-02-01,46.88,46.89
2003-03-01,46.69,46.84
2003-04-01,45.02,44.77
2003-05-01,42.95,42.84
2003-06-01,40.18,40.87
2003-07-01,38.23,38.4
2003-08-01,35.42,35.77
2003-09-01,34.73,35.18
2003-10-01,30.18,30.9
2003-11-01,28.72,29.68
2003-12-01,27.74,28.76
2004-01-01,25.33,25.62
2004-02-01,24.05,24.34
2004-03-01,23.51,23.5
2004-04-01,23.02,22.85
2004-05-01,21.88,22.02
2004-06-01,21.72,21.89
2004-07-01,21.67,21.85
2004-08-01,21.9,21.95
2004-09-01,21.74,21.59
2004-10-01,21.6,21.4
2004-11-01,21.43,21.34
2004-12-01,21.11,20.96
2005-01-01,20.55,20.19
2005-02-01,19.09,18.82
2005-03-01,17.96,17.88
2005-04-01,17.49,17.46
2005-05-01,17.25,17.28
2005-06-01,17.31,17.36
2005-07-01,17.23,17.24
2005-08-01,17.52,17.4
2005-09-01,17.02,16.96
2005-10-01,16.99,16.78
2005-11-01,16.72,16.55
2005-12-01,16.85,16.62
2006-01-01,16.37,16.15
2006-02-01,16.23,16.05
2006-03-01,15.93,15.66
2006-04-01,15.57,15.28
2006-05-01,15.28,14.96
2006-06-01,15.94,15.93
2006-07-01,17.66,17.33
2006-08-01,17.99,17.59
2006-09-01,18.6,18.09
2006-10-01,18.51,18.09
2006-11-01,18.8,18.4
2006-12-01,19.12,18.64
2007-01-01,19.23,18.9
