dt,BISPOLFAIZ.TUR,BISPOLFAIZ.ARG,BISPOLFAIZ.BRA,BISPOLFAIZ.RUS,BISPOLFAIZ.MEX,BISPOLFAIZ.ZAF,BISPOLFAIZ.IND,BISPOLFAIZ.IDN
1990-01-01,,,97138.29,,,18.0,10.0,
1990-02-01,,,355085.64,,,18.0,10.0,
1990-03-01,,,351.15,,,18.0,10.0,
1990-04-01,,,64.75,,,18.0,10.0,
1990-05-01,,,97.78,,,18.0,10.0,
1990-06-01,,,460.96,,,18.0,10.0,
1990-07-01,,,274.79,,,18.0,10.0,
1990-08-01,,,394.13,,,18.0,10.0,
1990-09-01,,,951.43,,,18.0,10.0,
1990-10-01,,,434.46,,,18.0,10.0,
1990-11-01,,,1512.1,,,18.0,10.0,
1990-12-01,,,1618.59,,,18.0,10.0,
1991-01-01,,,1329.1,,,18.0,10.0,
1991-02-01,,,179.24,,,18.0,10.0,
1991-03-01,,,243.59,,,17.0,10.0,
1991-04-01,,,193.85,,,17.0,10.0,
1991-05-01,,,217.09,,,17.0,10.0,
1991-06-01,,,254.38,,,17.0,10.0,
1991-07-01,,,323.06,,,17.0,11.0,
1991-08-01,,,712.92,,,17.0,11.0,
1991-09-01,,,766.04,,,17.0,11.0,
1991-10-01,,,3220.51,,,17.0,12.0,
1991-11-01,,,3223.26,,,17.0,12.0,
1991-12-01,,,1795.51,,,17.0,12.0,
1992-01-01,,,2016.77,20.0,,17.0,12.0,
1992-02-01,,,2201.81,20.0,,17.0,12.0,
1992-03-01,,,1724.48,20.0,,16.0,12.0,
1992-04-01,,,1350.64,50.0,,16.0,12.0,
1992-05-01,,,1208.56,80.0,,16.0,12.0,
1992-06-01,,,1204.21,80.0,,15.0,12.0,
1992-07-01,,,1323.17,80.0,,15.0,12.0,
1992-08-01,,,1573.51,80.0,,15.0,12.0,
1992-09-01,,,1859.52,80.0,,15.0,12.0,
1992-10-01,,,1987.11,80.0,,15.0,12.0,
1992-11-01,,,1303.21,80.0,,14.0,12.0,
1992-12-01,,,1657.56,80.0,,14.0,12.0,
1993-01-01,,,3346.62,80.0,,14.0,12.0,
1993-02-01,,,2184.68,80.0,,13.0,12.0,
1993-03-01,,,2411.27,100.0,,13.0,12.0,
1993-04-01,,0.63,2784.2,100.0,,13.0,12.0,
1993-05-01,,0.11,2871.56,100.0,,13.0,12.0,
1993-06-01,,0.53,2421.71,140.0,,13.0,12.0,
1993-07-01,,0.36,2699.41,170.0,,13.0,12.0,
1993-08-01,,0.25,3601.04,170.0,,13.0,12.0,
1993-09-01,,0.59,5709.52,180.0,,13.0,12.0,
1993-10-01,,0.3,5904.79,210.0,,12.0,12.0,
1993-11-01,,0.57,5880.04,210.0,,12.0,12.0,
1993-12-01,,0.73,5571.91,210.0,,12.0,12.0,
1994-01-01,,0.26,8862.72,210.0,,12.0,12.0,
1994-02-01,,0.32,11521.55,210.0,,12.0,12.0,
1994-03-01,,0.45,14440.99,210.0,,12.0,12.0,
1994-04-01,,0.66,10788.79,205.0,,12.0,12.0,
1994-05-01,,0.81,9125.33,200.0,,12.0,12.0,
1994-06-01,,0.51,15405.6,155.0,,12.0,12.0,
1994-07-01,,0.78,70.8,155.0,,12.0,12.0,
1994-08-01,,0.37,55.5,130.0,,12.0,12.0,
1994-09-01,,0.45,57.33,130.0,,13.0,12.0,
1994-10-01,,0.5,64.76,170.0,,13.0,12.0,
1994-11-01,,0.5,65.45,180.0,,13.0,12.0,
1994-12-01,,1.62,49.86,180.0,,13.0,12.0,
1995-01-01,,0.72,46.14,200.0,,13.0,12.0,
1995-02-01,,1.64,56.28,200.0,,14.0,12.0,
1995-03-01,,1.13,65.73,200.0,,14.0,12.0,
1995-04-01,,0.7,85.43,200.0,,14.0,12.0,
1995-05-01,,0.74,60.94,195.0,,14.0,12.0,
1995-06-01,,0.6,60.8,180.0,,15.0,12.0,
1995-07-01,,0.5,60.4,180.0,,15.0,12.0,
1995-08-01,,0.65,50.87,180.0,,15.0,12.0,
1995-09-01,,0.55,50.37,180.0,,15.0,12.0,
1995-10-01,,0.53,42.99,170.0,,15.0,12.0,
1995-11-01,,0.57,41.91,170.0,,15.0,12.0,
1995-12-01,,0.7,40.25,160.0,,15.0,12.0,
1996-01-01,,5.26,33.93,160.0,,15.0,12.0,
1996-02-01,,5.31,34.38,120.0,,15.0,12.0,
1996-03-01,,5.5,29.84,120.0,,15.0,12.0,
1996-04-01,,5.35,25.97,120.0,,16.0,12.0,
1996-05-01,,5.35,28.75,120.0,,16.0,12.0,
1996-06-01,,5.57,24.4,120.0,,16.0,12.0,
1996-07-01,,8.07,22.9,110.0,,16.0,12.0,
1996-08-01,,8.25,24.06,80.0,,16.0,12.0,
1996-09-01,,5.79,25.05,80.0,,16.0,12.0,
1996-10-01,,6.6,22.95,60.0,,16.0,12.0,
