dt,AB.N06
2010-01-01,86202900.0
2010-01-08,84818366.0
2010-01-15,86544013.0
2010-01-22,84622922.0
2010-01-29,85782549.0
2010-02-05,85746693.0
2010-02-12,83142581.0
2010-02-19,83055705.0
2010-02-26,84834376.0
2010-03-05,85375113.0
2010-03-12,85169925.0
2010-03-19,85714873.0
2010-03-26,86374797.0
2010-04-02,85808207.0
2010-04-09,84440597.0
2010-04-16,85632136.0
2010-04-23,88650377.0
2010-04-30,88314209.0
2010-05-07,89869395.0
2010-05-14,89141809.0
2010-05-21,92045835.0
2010-05-28,91333677.0
2010-06-04,91402992.0
2010-06-11,91988586.0
2010-06-18,89294999.0
2010-06-25,90302512.0
2010-07-02,92142597.0
2010-07-09,91712613.0
2010-07-16,91478398.0
2010-07-23,91191125.0
2010-07-30,91289280.0
2010-08-06,92847559.0
2010-08-13,93351359.0
2010-08-20,92076043.0
2010-08-27,94506945.0
2010-09-03,94578358.0
2010-09-10,94736383.0
2010-09-17,89601848.0
2010-09-24,90409830.0
2010-10-01,89684534.0
2010-10-08,89085746.0
2010-10-15,86309284.0
2010-10-22,88190832.0
2010-10-29,87921780.0
2010-11-05,86731275.0
2010-11-12,88583582.0
2010-11-19,89144059.0
2010-11-26,90976227.0
2010-12-03,91688888.0
2010-12-10,93261703.0
2010-12-17,94285231.0
2010-12-24,96958667.0
2010-12-31,97994349.0
2011-01-07,98062798.0
2011-01-14,101013658.0
2011-01-21,100298926.0
2011-01-28,102216905.0
2011-02-04,103433975.0
2011-02-11,103855164.0
2011-02-18,102307933.0
2011-02-25,105365463.0
2011-03-04,106255975.0
2011-03-11,104655907.0
2011-03-18,108177685.0
2011-03-25,106511940.0
2011-04-01,106294940.0
2011-04-08,104601218.0
2011-04-15,105537362.0
2011-04-22,105818001.0
2011-04-29,106756047.0
2011-05-06,108883940.0
2011-05-13,110115621.0
2011-05-20,109524545.0
2011-05-27,110003304.0
2011-06-03,110475326.0
2011-06-10,110450206.0
2011-06-17,111249062.0
2011-06-24,112479929.0
2011-07-01,114176464.0
2011-07-08,114386892.0
2011-07-15,114491763.0
2011-07-22,116495780.0
2011-07-29,117273714.0
2011-08-05,118873820.0
2011-08-12,121210900.0
2011-08-19,120618587.0
2011-08-26,119481777.0
2011-09-02,118590079.0
2011-09-09,117708987.0
2011-09-16,116700909.0
2011-09-23,117125834.0
2011-09-30,118873665.0
2011-10-07,114049749.0
2011-10-14,114158221.0
2011-10-21,109856206.0
2011-10-28,105283303.0
2011-11-04,105141274.0
2011-11-11,105142104.0
2011-11-18,104997096.0
2011-11-25,106556352.0
2011-12-02,104239318.0
2011-12-09,105605678.0
2011-12-16,106234229.0
2011-12-23,105024910.0
2011-12-30,99006322.0
2012-01-06,94898317.0
2012-01-13,92893459.0
2012-01-20,87838363.0
2012-01-27,87366429.0
2012-02-03,86965840.0
2012-02-10,86939817.0
2012-02-17,87707132.0
2012-02-24,87039097.0
2012-03-02,87253830.0
2012-03-09,87970534.0
2012-03-16,90375106.0
2012-03-23,91010875.0
2012-03-30,89398831.0
2012-04-06,89513008.0
2012-04-13,89892616.0
2012-04-20,88877048.0
2012-04-27,88462585.0
2012-05-04,87552776.0
2012-05-11,88361359.0
