dt,Tarih,TP_FG_T63,TP_FG_U63,UNIXTIME
1963-01-01,1963-1,99.5,,"{""numberLong"":""-220928400""}"
1963-02-01,1963-2,100.9,,"{""numberLong"":""-218250000""}"
1963-03-01,1963-3,101.8,,"{""numberLong"":""-215830800""}"
1963-04-01,1963-4,101.7,,"{""numberLong"":""-213152400""}"
1963-05-01,1963-5,100.4,,"{""numberLong"":""-210560400""}"
1963-06-01,1963-6,99.9,,"{""numberLong"":""-207882000""}"
1963-07-01,1963-7,97.9,,"{""numberLong"":""-205290000""}"
1963-08-01,1963-8,98.5,,"{""numberLong"":""-202611600""}"
1963-09-01,1963-9,98.5,,"{""numberLong"":""-199933200""}"
1963-10-01,1963-10,98.8,,"{""numberLong"":""-197341200""}"
1963-11-01,1963-11,99.8,,"{""numberLong"":""-194662800""}"
1963-12-01,1963-12,100.7,,"{""numberLong"":""-192070800""}"
1964-01-01,1964-1,101.5,101.5,"{""numberLong"":""-189392400""}"
1964-02-01,1964-2,101.7,101.9,"{""numberLong"":""-186714000""}"
1964-03-01,1964-3,100.5,101.5,"{""numberLong"":""-184208400""}"
1964-04-01,1964-4,99.7,102.1,"{""numberLong"":""-181530000""}"
1964-05-01,1964-5,99.0,101.9,"{""numberLong"":""-178938000""}"
1964-06-01,1964-6,98.4,101.4,"{""numberLong"":""-176259600""}"
1964-07-01,1964-7,98.3,101.1,"{""numberLong"":""-173667600""}"
1964-08-01,1964-8,97.3,101.0,"{""numberLong"":""-170989200""}"
1964-09-01,1964-9,97.3,103.2,"{""numberLong"":""-168310800""}"
1964-10-01,1964-10,97.6,102.9,"{""numberLong"":""-165718800""}"
1964-11-01,1964-11,97.4,103.6,"{""numberLong"":""-163040400""}"
1964-12-01,1964-12,98.9,104.2,"{""numberLong"":""-160448400""}"
1965-01-01,1965-1,100.7,105.0,"{""numberLong"":""-157770000""}"
1965-02-01,1965-2,100.8,105.6,"{""numberLong"":""-155091600""}"
1965-03-01,1965-3,100.5,105.6,"{""numberLong"":""-152672400""}"
1965-04-01,1965-4,101.2,107.0,"{""numberLong"":""-149994000""}"
1965-05-01,1965-5,103.1,107.0,"{""numberLong"":""-147402000""}"
1965-06-01,1965-6,102.9,109.0,"{""numberLong"":""-144723600""}"
1965-07-01,1965-7,103.3,111.1,"{""numberLong"":""-142131600""}"
1965-08-01,1965-8,104.7,109.6,"{""numberLong"":""-139453200""}"
1965-09-01,1965-9,105.1,109.0,"{""numberLong"":""-136774800""}"
1965-10-01,1965-10,105.6,109.5,"{""numberLong"":""-134182800""}"
1965-11-01,1965-11,107.9,110.6,"{""numberLong"":""-131504400""}"
1965-12-01,1965-12,109.1,111.6,"{""numberLong"":""-128912400""}"
1966-01-01,1966-1,110.1,113.2,"{""numberLong"":""-126234000""}"
1966-02-01,1966-2,111.0,113.5,"{""numberLong"":""-123555600""}"
1966-03-01,1966-3,110.4,113.7,"{""numberLong"":""-121136400""}"
1966-04-01,1966-4,111.6,113.6,"{""numberLong"":""-118458000""}"
1966-05-01,1966-5,111.7,113.2,"{""numberLong"":""-115866000""}"
1966-06-01,1966-6,109.8,112.6,"{""numberLong"":""-113187600""}"
1966-07-01,1966-7,109.9,111.7,"{""numberLong"":""-110595600""}"
1966-08-01,1966-8,111.0,111.8,"{""numberLong"":""-107917200""}"
1966-09-01,1966-9,111.9,112.4,"{""numberLong"":""-105238800""}"
1966-10-01,1966-10,113.1,112.7,"{""numberLong"":""-102646800""}"
1966-11-01,1966-11,113.4,113.8,"{""numberLong"":""-99968400""}"
1966-12-01,1966-12,114.0,115.2,"{""numberLong"":""-97376400""}"
1967-01-01,1967-1,116.3,117.5,"{""numberLong"":""-94698000""}"
1967-02-01,1967-2,117.8,119.5,"{""numberLong"":""-92019600""}"
1967-03-01,1967-3,118.0,120.9,"{""numberLong"":""-89600400""}"
1967-04-01,1967-4,119.3,120.9,"{""numberLong"":""-86922000""}"
1967-05-01,1967-5,119.2,121.3,"{""numberLong"":""-84330000""}"
1967-06-01,1967-6,118.4,120.1,"{""numberLong"":""-81651600""}"
1967-07-01,1967-7,116.3,118.9,"{""numberLong"":""-79059600""}"
1967-08-01,1967-8,116.6,117.9,"{""numberLong"":""-76381200""}"
1967-09-01,1967-9,117.2,118.7,"{""numberLong"":""-73702800""}"
1967-10-01,1967-10,119.1,120.2,"{""numberLong"":""-71110800""}"
1967-11-01,1967-11,118.9,121.6,"{""numberLong"":""-68432400""}"
1967-12-01,1967-12,119.0,122.1,"{""numberLong"":""-65840400""}"
1968-01-01,1968-1,119.7,122.8,"{""numberLong"":""-63162000""}"
1968-02-01,1968-2,119.4,123.2,"{""numberLong"":""-60483600""}"
1968-03-01,1968-3,119.3,122.9,"{""numberLong"":""-57978000""}"
1968-04-01,1968-4,120.2,123.9,"{""numberLong"":""-55299600""}"
1968-05-01,1968-5,119.7,123.4,"{""numberLong"":""-52707600""}"
1968-06-01,1968-6,121.3,125.5,"{""numberLong"":""-50029200""}"
1968-07-01,1968-7,121.5,125.2,"{""numberLong"":""-47437200""}"
1968-08-01,1968-8,122.1,125.1,"{""numberLong"":""-44758800""}"
1968-09-01,1968-9,122.6,125.7,"{""numberLong"":""-42080400""}"
1968-10-01,1968-10,123.5,126.5,"{""numberLong"":""-39488400""}"
