dt,BISTTLREF.ORAN
2018-12-28,23.8738
2018-12-31,25.1258
2019-01-01,
2019-01-02,23.0117
2019-01-03,22.9463
2019-01-04,23.357
2019-01-07,23.9456
2019-01-08,24.0069
2019-01-09,23.0986
2019-01-10,22.7183
2019-01-11,23.8305
2019-01-14,24.1467
2019-01-15,24.5377
2019-01-16,24.0456
2019-01-17,23.6874
2019-01-18,23.9681
2019-01-21,23.8993
2019-01-22,23.3388
2019-01-23,22.6843
2019-01-24,24.1067
2019-01-25,23.5292
2019-01-28,23.5737
2019-01-29,23.2172
2019-01-30,23.313
2019-01-31,23.7039
2019-02-01,23.9325
2019-02-04,23.418
2019-02-05,23.5958
2019-02-06,23.9827
2019-02-07,23.4398
2019-02-08,24.0725
2019-02-11,23.9261
2019-02-12,23.6569
2019-02-13,23.6017
2019-02-14,24.1054
2019-02-15,24.1755
2019-02-18,24.1831
2019-02-19,24.0854
2019-02-20,24.0789
2019-02-21,23.9434
2019-02-22,23.4228
2019-02-25,23.7484
2019-02-26,24.2578
2019-02-27,24.0775
2019-02-28,24.6192
2019-03-01,24.4124
2019-03-04,23.8145
2019-03-05,22.75
2019-03-06,22.75
2019-03-07,22.75
2019-03-08,22.75
2019-03-11,22.75
2019-03-12,22.7507
2019-03-13,22.75
2019-03-14,22.7501
2019-03-15,22.9512
2019-03-18,22.9505
2019-03-19,22.9514
2019-03-20,22.9512
2019-03-21,22.9529
2019-03-22,22.9537
2019-03-25,25.3608
2019-03-26,25.4721
2019-03-27,25.4931
2019-03-28,25.4963
2019-03-29,25.4979
2019-04-01,25.4983
2019-04-02,25.4985
2019-04-03,25.4983
2019-04-04,25.4982
2019-04-05,25.4981
2019-04-08,25.4268
2019-04-09,25.4197
2019-04-10,25.4577
2019-04-11,24.6804
2019-04-12,23.1851
2019-04-15,23.0459
2019-04-16,23.4173
2019-04-17,23.6912
2019-04-18,24.5615
2019-04-19,24.5
2019-04-22,24.2745
2019-04-23,
2019-04-24,24.5794
2019-04-25,24.8088
2019-04-26,24.8559
2019-04-29,24.9579
2019-04-30,24.3954
2019-05-01,
2019-05-02,24.4607
2019-05-03,24.3729
2019-05-06,24.4364
2019-05-07,24.8727
2019-05-08,24.8974
2019-05-09,25.4183
2019-05-10,25.4652
2019-05-13,25.4863
2019-05-14,25.4948
2019-05-15,25.4957
2019-05-16,25.4978
2019-05-17,25.4982
2019-05-20,25.4983
2019-05-21,25.4964
2019-05-22,25.4951
2019-05-23,25.4928
2019-05-24,25.4903
2019-05-27,25.218
2019-05-28,24.4939
2019-05-29,24.5278
2019-05-30,24.5
2019-05-31,25.4399
2019-06-03,25.3323
2019-06-04,
2019-06-05,
2019-06-06,
2019-06-07,24.9915
2019-06-10,24.5
2019-06-11,24.4796
2019-06-12,24.0
2019-06-13,24.2977
2019-06-14,24.6856
2019-06-17,24.8246
2019-06-18,24.5233
2019-06-19,24.5983
2019-06-20,24.5
2019-06-21,24.6765
2019-06-24,24.5408
2019-06-25,24.5325
2019-06-26,24.1632
2019-06-27,23.0
2019-06-28,23.9949
2019-07-01,24.5
2019-07-02,24.0227
2019-07-03,23.4531
2019-07-04,23.0025
2019-07-05,23.0387
2019-07-08,23.0554
2019-07-09,23.5468
2019-07-10,23.4816
2019-07-11,23.013
2019-07-12,23.0002
2019-07-15,
2019-07-16,23.0005
2019-07-17,23.1712
2019-07-18,23.1213
2019-07-19,23.2249
2019-07-22,23.0
2019-07-23,23.0
2019-07-24,23.0
2019-07-25,23.0
2019-07-26,19.4659
2019-07-29,19.1553
2019-07-30,18.7131
2019-07-31,18.9854
2019-08-01,18.8935
2019-08-02,19.0925
2019-08-05,19.2318
2019-08-06,19.25
2019-08-07,19.1664
2019-08-08,19.2501
2019-08-09,19.1886
2019-08-12,
2019-08-13,
2019-08-14,
2019-08-15,19.1628
2019-08-16,19.1955
2019-08-19,19.2022
2019-08-20,19.2415
2019-08-21,19.0074
2019-08-22,18.9861
2019-08-23,18.9776
2019-08-26,18.8518
2019-08-27,18.9189
2019-08-28,19.2709
2019-08-29,19.2545
2019-08-30,
2019-09-02,18.8943
2019-09-03,19.0362
2019-09-04,18.8869
2019-09-05,19.0055
2019-09-06,19.1471
2019-09-09,18.7891
2019-09-10,18.9089
2019-09-11,18.9806
2019-09-12,19.0674
2019-09-13,16.1912
2019-09-16,16.5871
2019-09-17,16.6942
2019-09-18,16.8241
2019-09-19,16.7136
2019-09-20,16.6842
2019-09-23,16.6162
2019-09-24,16.3852
2019-09-25,16.3767
2019-09-26,16.316
2019-09-27,16.2762
2019-09-30,16.2909
2019-10-01,16.1725
2019-10-02,15.9017
2019-10-03,15.6626
2019-10-04,16.5787
2019-10-07,16.6208
2019-10-08,16.7352
2019-10-09,16.719
2019-10-10,16.7393
2019-10-11,16.5529
2019-10-14,16.4996
2019-10-15,16.4808
2019-10-16,16.3255
2019-10-17,15.6891
2019-10-18,15.9905
2019-10-21,15.898
2019-10-22,16.0862
2019-10-23,16.24
2019-10-24,16.1539
2019-10-25,14.2311
2019-10-28,14.9258
2019-10-29,
2019-10-30,14.9964
2019-10-31,14.6859
2019-11-01,14.7273
2019-11-04,14.2317
2019-11-05,13.2327
2019-11-06,12.953
2019-11-07,13.0343
2019-11-08,13.55
2019-11-11,14.5803
2019-11-12,14.5284
2019-11-13,12.904
2019-11-14,12.7499
2019-11-15,13.7712
2019-11-18,13.578
2019-11-19,13.3927
2019-11-20,13.0206
2019-11-21,13.8413
2019-11-22,13.9051
2019-11-25,13.8739
2019-11-26,13.5943
2019-11-27,13.3747
2019-11-28,13.2815
2019-11-29,13.9574
2019-12-02,14.0916
2019-12-03,13.879
2019-12-04,13.8549
2019-12-05,13.6554
2019-12-06,13.4799
2019-12-09,13.842
2019-12-10,14.1294
2019-12-11,13.7769
2019-12-12,12.8049
2019-12-13,12.0273
2019-12-16,11.3104
2019-12-17,11.2368
2019-12-18,10.9817
2019-12-19,11.0443
2019-12-20,11.1302
2019-12-23,11.0371
2019-12-24,10.7261
2019-12-25,10.51
2019-12-26,10.51
2019-12-27,11.0951
2019-12-30,11.1265
2019-12-31,11.3608
2020-01-01,
2020-01-02,11.1669
2020-01-03,11.1023
2020-01-06,11.7824
2020-01-07,12.3469
2020-01-08,12.4027
2020-01-09,12.4217
2020-01-10,11.9854
2020-01-13,11.0183
2020-01-14,10.9946
2020-01-15,10.8298
2020-01-16,12.0206
2020-01-17,11.4887
2020-01-20,11.2142
2020-01-21,11.4663
2020-01-22,11.3341
2020-01-23,10.7061
2020-01-24,10.5769
2020-01-27,10.1329
2020-01-28,10.9388
2020-01-29,11.3019
2020-01-30,11.491
2020-01-31,10.58
2020-02-03,10.5172
2020-02-04,10.5643
2020-02-05,10.7334
2020-02-06,11.1778
2020-02-07,11.7303
2020-02-10,11.1934
2020-02-11,10.8087
2020-02-12,10.4304
2020-02-13,10.3643
2020-02-14,10.5168
2020-02-17,10.6488
2020-02-18,10.9112
2020-02-19,11.0725
2020-02-20,10.988
2020-02-21,11.9052
2020-02-24,11.1087
2020-02-25,10.7406
2020-02-26,10.6666
2020-02-27,10.7506
2020-02-28,10.9673
2020-03-02,10.9386
2020-03-03,10.7424
2020-03-04,11.0884
2020-03-05,10.9071
2020-03-06,10.9352
2020-03-09,10.9734
2020-03-10,10.9769
2020-03-11,10.9831
2020-03-12,10.8384
2020-03-13,10.7272
2020-03-16,10.768
2020-03-17,10.6449
2020-03-18,9.6274
2020-03-19,9.8419
2020-03-20,9.9349
2020-03-23,9.9738
2020-03-24,9.5714
2020-03-25,9.3245
2020-03-26,9.7345
2020-03-27,9.5589
2020-03-30,9.4538
2020-03-31,9.0454
2020-04-01,8.7801
2020-04-02,8.7731
2020-04-03,9.3639
2020-04-06,9.5069
2020-04-07,9.2455
2020-04-08,9.0226
2020-04-09,8.8854
2020-04-10,8.8464
2020-04-13,9.3235
2020-04-14,9.2328
2020-04-15,9.7551
2020-04-16,9.3065
2020-04-17,9.2119
2020-04-20,9.4919
2020-04-21,9.5
2020-04-22,9.4176
2020-04-23,
2020-04-24,8.0581
2020-04-27,7.8592
2020-04-28,8.0226
2020-04-29,8.0828
2020-04-30,8.9127
2020-05-01,
2020-05-04,9.0035
2020-05-05,8.2702
2020-05-06,8.2375
2020-05-07,9.4537
2020-05-08,9.3541
2020-05-11,8.5002
2020-05-12,7.8563
2020-05-13,8.0062
2020-05-14,8.0734
2020-05-15,9.5089
2020-05-18,8.5234
2020-05-19,
2020-05-20,8.5579
2020-05-21,9.0378
2020-05-22,8.1489
2020-05-25,
2020-05-26,
2020-05-27,7.5937
2020-05-28,7.5
2020-05-29,8.5712
2020-06-01,8.7097
2020-06-02,8.1992
2020-06-03,8.2266
2020-06-04,8.3814
2020-06-05,8.1957
2020-06-08,8.1928
2020-06-09,7.8149
2020-06-10,7.9053
2020-06-11,8.1496
2020-06-12,7.8398
2020-06-15,7.5657
2020-06-16,7.7837
2020-06-17,8.0043
2020-06-18,8.223
2020-06-19,8.235
2020-06-22,8.0732
2020-06-23,8.071
2020-06-24,8.2572
2020-06-25,8.6185
2020-06-26,7.8681
2020-06-29,7.967
2020-06-30,7.8578
2020-07-01,7.7296
2020-07-02,7.5593
2020-07-03,7.647
2020-07-06,7.7793
2020-07-07,8.334
2020-07-08,7.9024
2020-07-09,8.1187
2020-07-10,8.1602
2020-07-13,7.9317
2020-07-14,7.7492
2020-07-15,
2020-07-16,8.0536
2020-07-17,8.5019
2020-07-20,8.3368
2020-07-21,8.5456
2020-07-22,8.6736
2020-07-23,8.7027
2020-07-24,8.3512
2020-07-27,8.1321
2020-07-28,8.5106
2020-07-29,9.0546
2020-07-30,8.612
2020-07-31,
2020-08-03,
2020-08-04,7.8082
2020-08-05,9.4525
2020-08-06,9.6272
2020-08-07,9.745
2020-08-10,9.7466
2020-08-11,9.7458
2020-08-12,9.7475
2020-08-13,9.7474
2020-08-14,9.7479
2020-08-17,9.7481
2020-08-18,9.7482
2020-08-19,9.7482
2020-08-20,9.7483
2020-08-21,9.7471
2020-08-24,10.0292
2020-08-25,9.8344
2020-08-26,9.7515
2020-08-27,9.75
2020-08-28,9.7706
2020-08-31,9.7635
2020-09-01,9.7455
2020-09-02,9.7511
2020-09-03,9.75
2020-09-04,9.7999
2020-09-07,9.8713
2020-09-08,9.9629
2020-09-09,10.1034
2020-09-10,10.2668
2020-09-11,10.4679
2020-09-14,10.4703
2020-09-15,10.5464
2020-09-16,10.6479
2020-09-17,11.2482
2020-09-18,11.029
2020-09-21,11.1627
2020-09-22,11.1736
2020-09-23,11.25
2020-09-24,11.25
2020-09-25,11.4748
2020-09-28,11.7227
2020-09-29,11.75
2020-09-30,11.8413
2020-10-01,11.8273
2020-10-02,12.0257
2020-10-05,12.0317
2020-10-06,12.0741
2020-10-07,12.4539
2020-10-08,12.5736
2020-10-09,12.4742
2020-10-12,12.4135
2020-10-13,12.4038
2020-10-14,12.4222
2020-10-15,12.4857
2020-10-16,12.5783
2020-10-19,12.5874
2020-10-20,12.5742
2020-10-21,12.597
2020-10-22,12.8358
2020-10-23,14.1039
2020-10-26,14.4558
2020-10-27,13.8649
2020-10-28,14.1746
2020-10-29,
2020-10-30,14.75
2020-11-02,14.75
2020-11-03,14.7534
2020-11-04,14.7506
2020-11-05,14.7536
2020-11-06,14.7102
2020-11-09,14.6198
2020-11-10,14.6432
2020-11-11,14.7172
2020-11-12,14.704
2020-11-13,14.7471
2020-11-16,14.7519
2020-11-17,14.7539
2020-11-18,14.7558
2020-11-19,14.75
2020-11-20,14.9719
2020-11-23,14.9875
2020-11-24,14.9865
2020-11-25,14.9701
2020-11-26,14.8542
2020-11-27,15.4286
2020-11-30,15.8689
2020-12-01,15.9329
2020-12-02,15.9063
2020-12-03,15.235
2020-12-04,15.0334
2020-12-07,15.4319
2020-12-08,15.1555
2020-12-09,14.239
2020-12-10,14.5412
2020-12-11,15.9356
2020-12-14,15.6902
2020-12-15,15.4205
2020-12-16,15.0423
2020-12-17,15.031
2020-12-18,15.2034
2020-12-21,15.2485
2020-12-22,15.4774
2020-12-23,15.3382
2020-12-24,15.6758
2020-12-25,17.9231
2020-12-28,17.7028
2020-12-29,17.569
2020-12-30,17.309
2020-12-31,17.9662
2021-01-01,
2021-01-04,17.3849
2021-01-05,16.7878
2021-01-06,16.7212
2021-01-07,16.7649
2021-01-08,17.4841
2021-01-11,17.182
2021-01-12,17.168
2021-01-13,16.9365
2021-01-14,16.8163
2021-01-15,16.7195
2021-01-18,16.7308
2021-01-19,16.799
2021-01-20,16.7498
2021-01-21,17.0698
2021-01-22,17.2651
2021-01-25,17.1919
2021-01-26,16.9756
2021-01-27,16.9241
2021-01-28,16.9908
2021-01-29,16.9814
2021-02-01,17.3412
2021-02-02,17.4594
2021-02-03,17.3877
2021-02-04,17.3764
2021-02-05,17.1597
2021-02-08,17.0474
2021-02-09,16.9668
2021-02-10,16.9988
2021-02-11,17.1094
2021-02-12,17.0358
