dt,TUKFIY2025.GENEL
2005-01-01,3.59652332
2005-02-01,3.59738699
2005-03-01,3.60671488
2005-04-01,3.63247488
2005-05-01,3.6657744
2005-06-01,3.66954416
2005-07-01,3.64849635
2005-08-01,3.67959685
2005-09-01,3.71729441
2005-10-01,3.78389345
2005-11-01,3.83698419
2005-12-01,3.85300566
2006-01-01,3.88190713
2006-02-01,3.89038908
2006-03-01,3.90107006
2006-04-01,3.95321836
2006-05-01,4.02735692
2006-06-01,4.04086521
2006-07-01,4.07510717
2006-08-01,4.05720082
2006-09-01,4.10934913
2006-10-01,4.16149743
2006-11-01,4.21521647
2006-12-01,4.22495501
2007-01-01,4.26736477
2007-02-01,4.28558526
2007-03-01,4.32485356
2007-04-01,4.37700187
2007-05-01,4.39899211
2007-06-01,4.38831114
2007-07-01,4.3562682
2007-08-01,4.35721064
2007-09-01,4.40213358
2007-10-01,4.48192676
2007-11-01,4.56925947
2007-12-01,4.57931215
2008-01-01,4.61606728
2008-02-01,4.6757551
2008-03-01,4.72067803
2008-04-01,4.79984293
2008-05-01,4.87146831
2008-06-01,4.85387611
2008-07-01,4.88183514
2008-08-01,4.86989758
2008-09-01,4.89188782
2008-10-01,5.01911712
2008-11-01,5.06089859
2008-12-01,5.04016493
2009-01-01,5.05461566
2009-02-01,5.03733761
2009-03-01,5.09294152
2009-04-01,5.09388396
2009-05-01,5.12655519
2009-06-01,5.13220982
2009-07-01,5.14508983
2009-08-01,5.12969665
2009-09-01,5.14980202
2009-10-01,5.27388985
2009-11-01,5.34080304
2009-12-01,5.36907621
2010-01-01,5.46834648
2010-02-01,5.54751137
2010-03-01,5.57986845
2010-04-01,5.61316797
2010-05-01,5.5930626
2010-06-01,5.56164796
2010-07-01,5.53494552
2010-08-01,5.55724991
2010-09-01,5.62541968
2010-10-01,5.7284597
2010-11-01,5.73003043
2010-12-01,5.71275238
2011-01-01,5.73631336
2011-02-01,5.77809483
2011-03-01,5.80228411
2011-04-01,5.85254753
2011-05-01,5.99422756
2011-06-01,5.90846559
2011-07-01,5.88427632
2011-08-01,5.92700023
2011-09-01,5.97160902
2011-10-01,6.16700808
2011-11-01,6.27350371
2011-12-01,6.30963055
2012-01-01,6.34512909
2012-02-01,6.38094178
2012-03-01,6.40733008
2012-04-01,6.50440132
2012-05-01,6.49057888
2012-06-01,6.4324618
2012-07-01,6.41769691
2012-08-01,6.4535096
2012-09-01,6.52010864
2012-10-01,6.64796623
2012-11-01,6.67309794
2012-12-01,6.6985438
2013-01-01,6.80880919
2013-02-01,6.82922871
2013-03-01,6.87446579
2013-04-01,6.90336726
2013-05-01,6.91341994
2013-06-01,6.96619654
2013-07-01,6.98787264
2013-08-01,6.98064727
2013-09-01,7.03405216
2013-10-01,7.16065316
2013-11-01,7.16128146
2013-12-01,7.19426683
2014-01-01,7.33657515
2014-02-01,7.36798979
2014-03-01,7.45092444
2014-04-01,7.55113714
2014-05-01,7.58098105
2014-06-01,7.60454203
2014-07-01,7.63909814
2014-08-01,7.64632351
2014-09-01,7.65700448
2014-10-01,7.80245427
2014-11-01,7.81659086
2014-12-01,7.78203475
2015-01-01,7.86779672
2015-02-01,7.92402893
2015-03-01,8.0179587
2015-04-01,8.14864361
2015-05-01,8.19450898
2015-06-01,8.15241336
2015-07-01,8.15963873
2015-08-01,8.19230996
2015-09-01,8.26550607
2015-10-01,8.39399195
2015-11-01,8.44991001
2015-12-01,8.46750221
2016-01-01,8.62143395
2016-02-01,8.61954907
2016-03-01,8.61609346
2016-04-01,8.68363494
2016-05-01,8.73389836
2016-06-01,8.77505154
2016-07-01,8.87714912
2016-08-01,8.85138912
2016-09-01,8.86741058
2016-10-01,8.99495402
2016-11-01,9.04144769
2016-12-01,9.19003894
2017-01-01,9.41622435
2017-02-01,9.49256193
2017-03-01,9.58900488
2017-04-01,9.71434929
2017-05-01,9.7577015
2017-06-01,9.73162734
2017-07-01,9.74607808
2017-08-01,9.79665565
2017-09-01,9.86042737
2017-10-01,10.06525083
2017-11-01,10.21541281
2017-12-01,10.28546746
2018-01-01,10.39039236
2018-02-01,10.46641579
2018-03-01,10.57039825
2018-04-01,10.76831048
2018-05-01,10.94297588
2018-06-01,11.22884911
2018-07-01,11.29073595
2018-08-01,11.54990674
2018-09-01,12.27809811
2018-10-01,12.60575281
2018-11-01,12.42386204
2018-12-01,12.37359861
2019-01-01,12.50522596
2019-02-01,12.52533133
2019-03-01,12.65413135
2019-04-01,12.8683792
2019-05-01,12.99058215
2019-06-01,12.99403776
2019-07-01,13.1702739
