dt,FG.A01
1987-01-01,88.5
1987-02-01,88.9
1987-03-01,89.9
1987-04-01,90.1
1987-05-01,92.9
1987-06-01,93.8
1987-07-01,94.9
1987-08-01,98.2
1987-09-01,99.9
1987-10-01,104.7
1987-11-01,111.3
1987-12-01,119.8
1988-01-01,139.2
1988-02-01,144.4
1988-03-01,152.4
1988-04-01,161.9
1988-05-01,167.5
1988-06-01,169.0
1988-07-01,171.7
1988-08-01,175.8
1988-09-01,186.2
1988-10-01,196.6
1988-11-01,207.1
1988-12-01,212.2
1989-01-01,226.2
1989-02-01,237.0
1989-03-01,244.2
1989-04-01,259.4
1989-05-01,267.3
1989-06-01,272.9
1989-07-01,281.2
1989-08-01,291.1
1989-09-01,307.5
1989-10-01,326.5
1989-11-01,340.7
1989-12-01,348.6
1990-01-01,362.0
1990-02-01,378.0
1990-03-01,397.6
1990-04-01,424.0
1990-05-01,437.3
1990-06-01,443.6
1990-07-01,439.5
1990-08-01,450.7
1990-09-01,489.9
1990-10-01,523.4
1990-11-01,549.6
1990-12-01,559.2
1991-01-01,586.4
1991-02-01,618.2
1991-03-01,645.2
1991-04-01,687.5
1991-05-01,710.4
1991-06-01,731.4
1991-07-01,741.0
1991-08-01,770.5
1991-09-01,817.4
1991-10-01,871.3
1991-11-01,917.0
1991-12-01,957.0
1992-01-01,1046.7
1992-02-01,1099.4
1992-03-01,1152.9
1992-04-01,1196.2
1992-05-01,1206.7
1992-06-01,1212.6
1992-07-01,1228.6
1992-08-01,1275.5
1992-09-01,1370.5
1992-10-01,1474.1
1992-11-01,1546.0
1992-12-01,1588.3
1993-01-01,1672.3
1993-02-01,1738.8
1993-03-01,1821.7
1993-04-01,1901.6
1993-05-01,1991.4
1993-06-01,2027.9
1993-07-01,2126.9
1993-08-01,2183.7
1993-09-01,2305.8
1993-10-01,2464.7
1993-11-01,2622.3
1993-12-01,2717.2
1994-01-01,2837.0
1994-02-01,3007.5
1994-03-01,3163.3
1994-04-01,3944.8
1994-05-01,4337.4
1994-06-01,4377.0
1994-07-01,4452.6
1994-08-01,4543.1
1994-09-01,4868.3
1994-10-01,5330.4
1994-11-01,5761.9
1994-12-01,6127.0
1995-01-01,6542.1
1995-02-01,6918.1
1995-03-01,7201.8
1995-04-01,7665.5
1995-05-01,7911.2
1995-06-01,8069.9
1995-07-01,8304.7
1995-08-01,8625.3
1995-09-01,9311.4
1995-10-01,10036.1
1995-11-01,10592.0
1995-12-01,10962.3
1996-01-01,11810.9
1996-02-01,12272.5
1996-03-01,12879.7
1996-04-01,13770.1
1996-05-01,14423.8
1996-06-01,14721.8
1996-07-01,14926.8
1996-08-01,15630.0
1996-09-01,16643.2
1996-10-01,17925.5
1996-11-01,18897.5
1996-12-01,19344.8
1997-01-01,20404.1
1997-02-01,21603.2
1997-03-01,22818.4
1997-04-01,24586.0
1997-05-01,25614.0
1997-06-01,26192.9
1997-07-01,27535.3
1997-08-01,29129.3
1997-09-01,31381.8
1997-10-01,34491.9
1997-11-01,36779.3
1997-12-01,38535.8
1998-01-01,41133.9
1998-02-01,43077.2
1998-03-01,44789.1
1998-04-01,47183.5
1998-05-01,48689.8
1998-06-01,49291.2
1998-07-01,50882.1
1998-08-01,52818.5
1998-09-01,56558.4
1998-10-01,60194.7
1998-11-01,62888.9
1998-12-01,64913.5
1999-01-01,67753.9
1999-02-01,69744.5
1999-03-01,72406.9
1999-04-01,76128.3
1999-05-01,78455.0
1999-06-01,80910.5
1999-07-01,83673.5
1999-08-01,87090.3
1999-09-01,92372.7
1999-10-01,98284.7
1999-11-01,102385.8
1999-12-01,108380.8
2000-01-01,113290.6
2000-02-01,117305.7
2000-03-01,120571.3
2000-04-01,123662.1
2000-05-01,126626.7
2000-06-01,127433.4
2000-07-01,130248.1
2000-08-01,133054.8
2000-09-01,137246.8
2000-10-01,141834.6
2000-11-01,147340.4
2000-12-01,151026.2
2001-01-01,154183.8
2001-02-01,156768.9
2001-03-01,165677.8
2001-04-01,182841.5
2001-05-01,192391.7
2001-06-01,198219.5
2001-07-01,202510.3
2001-08-01,208229.1
2001-09-01,220973.2
2001-10-01,235003.6
2001-11-01,245762.3
2001-12-01,253617.5
2002-01-01,266019.5
2002-02-01,270352.2
2002-03-01,273200.8
2002-04-01,279490.8
2002-05-01,281274.6
2002-06-01,282867.6
2002-07-01,285923.1
2002-08-01,291854.0
2002-09-01,302564.0
2002-10-01,313689.1
2002-11-01,323250.6
2002-12-01,328469.1
2003-01-01,335586.2
2003-02-01,342404.7
2003-03-01,352737.7
2003-04-01,361073.0
2003-05-01,367551.8
2003-06-01,367020.7
2003-07-01,365038.5
2003-08-01,365419.8
2003-09-01,372924.5
2003-10-01,378839.3
2003-11-01,385185.8
2003-12-01,388495.5
2004-01-01,390176.8
2004-02-01,391833.0
2004-03-01,394760.6
2004-04-01,397411.6
2004-05-01,399122.2
2004-06-01,398460.0
2004-07-01,398696.1
2004-08-01,400825.2
2004-09-01,404769.0
2004-10-01,413882.0
2004-11-01,420107.0
2004-12-01,422178.9
