dt,FG.T01
1994-01-01,64.5
1994-02-01,68.7
1994-03-01,72.7
1994-04-01,89.7
1994-05-01,97.1
1994-06-01,99.1
1994-07-01,102.2
1994-08-01,105.1
1994-09-01,111.6
1994-10-01,119.7
1994-11-01,127.2
1994-12-01,136.1
1995-01-01,145.7
1995-02-01,152.8
1995-03-01,159.7
1995-04-01,169.0
1995-05-01,174.6
1995-06-01,179.1
1995-07-01,184.6
1995-08-01,192.6
1995-09-01,207.4
1995-10-01,220.5
1995-11-01,230.9
1995-12-01,239.6
1996-01-01,259.5
1996-02-01,271.2
1996-03-01,286.4
1996-04-01,305.6
1996-05-01,319.4
1996-06-01,327.5
1996-07-01,334.5
1996-08-01,350.4
1996-09-01,371.9
1996-10-01,396.0
1996-11-01,416.5
1996-12-01,430.7
1997-01-01,456.0
1997-02-01,481.8
1997-03-01,507.8
1997-04-01,541.4
1997-05-01,566.8
1997-06-01,583.1
1997-07-01,619.6
1997-08-01,658.0
1997-09-01,706.1
1997-10-01,764.9
1997-11-01,815.6
1997-12-01,857.5
1998-01-01,919.4
1998-02-01,960.0
1998-03-01,1001.3
1998-04-01,1048.0
1998-05-01,1084.7
1998-06-01,1111.1
1998-07-01,1148.4
1998-08-01,1193.8
1998-09-01,1274.0
1998-10-01,1351.1
1998-11-01,1409.1
1998-12-01,1455.4
1999-01-01,1525.3
1999-02-01,1573.7
1999-03-01,1637.5
1999-04-01,1717.2
1999-05-01,1767.7
1999-06-01,1825.2
1999-07-01,1894.9
1999-08-01,1974.6
1999-09-01,2092.8
1999-10-01,2225.2
1999-11-01,2318.7
1999-12-01,2456.6
2000-01-01,2575.9
2000-02-01,2671.3
2000-03-01,2749.3
2000-04-01,2813.2
2000-05-01,2875.6
2000-06-01,2895.1
2000-07-01,2960.1
2000-08-01,3024.4
2000-09-01,3117.4
2000-10-01,3214.0
2000-11-01,3333.3
2000-12-01,3415.5
2001-01-01,3501.1
2001-02-01,3564.1
2001-03-01,3780.5
2001-04-01,4171.2
2001-05-01,4382.0
2001-06-01,4519.3
2001-07-01,4627.5
2001-08-01,4763.5
2001-09-01,5044.0
2001-10-01,5350.3
2001-11-01,5576.4
2001-12-01,5756.2
2002-01-01,6062.4
2002-02-01,6168.7
2002-03-01,6242.1
2002-04-01,6370.4
2002-05-01,6407.3
2002-06-01,6444.7
2002-07-01,6537.6
2002-08-01,6680.4
2002-09-01,6912.7
2002-10-01,7139.9
2002-11-01,7347.8
2002-12-01,7468.6
2003-01-01,7661.9
2003-02-01,7834.9
2003-03-01,8077.8
2003-04-01,8246.5
2003-05-01,8377.0
2003-06-01,8362.6
2003-07-01,8331.4
2003-08-01,8344.3
2003-09-01,8502.6
2003-10-01,8623.6
2003-11-01,8762.6
2003-12-01,8839.5
2004-01-01,8904.7
2004-02-01,8953.9
2004-03-01,9033.3
2004-04-01,9086.2
2004-05-01,9120.9
2004-06-01,9109.4
2004-07-01,9129.0
2004-08-01,9181.8
2004-09-01,9268.2
2004-10-01,9474.2
2004-11-01,9620.3
2004-12-01,9663.3
