dt,eskiTL
1950-01-02,2.8
1950-01-03,2.8
1950-01-04,2.8
1950-01-05,2.8
1950-01-06,2.8
1950-01-09,2.8
1950-01-10,2.8
1950-01-11,2.8
1950-01-12,2.8
1950-01-13,2.8
1950-01-16,2.8
1950-01-17,2.8
1950-01-18,2.8
1950-01-19,2.8
1950-01-20,2.8
1950-01-23,2.8
1950-01-24,2.8
1950-01-25,2.8
1950-01-26,2.8
1950-01-27,2.8
1950-01-30,2.8
1950-01-31,2.8
1950-02-01,2.8
1950-02-02,2.8
1950-02-03,2.8
1950-02-06,2.8
1950-02-07,2.8
1950-02-08,2.8
1950-02-09,2.8
1950-02-10,2.8
1950-02-13,2.8
1950-02-14,2.8
1950-02-15,2.8
1950-02-16,2.8
1950-02-17,2.8
1950-02-20,2.8
1950-02-21,2.8
1950-02-22,2.8
1950-02-23,2.8
1950-02-24,2.8
1950-02-27,2.8
1950-02-28,2.8
1950-03-01,2.8
1950-03-02,2.8
1950-03-03,2.8
1950-03-06,2.8
1950-03-07,2.8
1950-03-08,2.8
1950-03-09,2.8
1950-03-10,2.8
1950-03-13,2.8
1950-03-14,2.8
1950-03-15,2.8
1950-03-16,2.8
1950-03-17,2.8
1950-03-20,2.8
1950-03-21,2.8
1950-03-22,2.8
1950-03-23,2.8
1950-03-24,2.8
1950-03-27,2.8
1950-03-28,2.8
1950-03-29,2.8
1950-03-30,2.8
1950-03-31,2.8
1950-04-03,2.8
1950-04-04,2.8
1950-04-05,2.8
1950-04-06,2.8
1950-04-07,2.8
1950-04-10,2.8
1950-04-11,2.8
1950-04-12,2.8
1950-04-13,2.8
1950-04-14,2.8
1950-04-17,2.8
1950-04-18,2.8
1950-04-19,2.8
1950-04-20,2.8
1950-04-21,2.8
1950-04-24,2.8
1950-04-25,2.8
1950-04-26,2.8
1950-04-27,2.8
1950-04-28,2.8
1950-05-01,2.8
1950-05-02,2.8
1950-05-03,2.8
1950-05-04,2.8
1950-05-05,2.8
1950-05-08,2.8
1950-05-09,2.8
1950-05-10,2.8
1950-05-11,2.8
1950-05-12,2.8
1950-05-15,2.8
1950-05-16,2.8
1950-05-17,2.8
1950-05-18,2.8
1950-05-22,2.8
1950-05-23,2.8
1950-05-24,2.8
1950-05-25,2.8
1950-05-26,2.8
1950-05-29,2.8
1950-05-30,2.8
1950-05-31,2.8
1950-06-01,2.8
1950-06-02,2.8
1950-06-05,2.8
1950-06-06,2.8
1950-06-07,2.8
1950-06-08,2.8
1950-06-09,2.8
1950-06-12,2.8
1950-06-13,2.8
1950-06-14,2.8
1950-06-15,2.8
1950-06-16,2.8
1950-06-19,2.8
1950-06-20,2.8
1950-06-21,2.8
1950-06-22,2.8
1950-06-23,2.8
1950-06-26,2.8
1950-06-27,2.8
1950-06-28,2.8
1950-06-29,2.8
1950-06-30,2.8
1950-07-03,2.8
1950-07-04,2.8
1950-07-05,2.8
1950-07-06,2.8
1950-07-07,2.8
1950-07-10,2.8
1950-07-11,2.8
1950-07-12,2.8
1950-07-13,2.8
1950-07-14,2.8
1950-07-19,2.8
1950-07-20,2.8
1950-07-21,2.8
1950-07-24,2.8
1950-07-25,2.8
1950-07-26,2.8
1950-07-27,2.8
1950-07-28,2.8
1950-07-31,2.8
1950-08-01,2.8
1950-08-02,2.8
1950-08-03,2.8
1950-08-04,2.8
1950-08-07,2.8
1950-08-08,2.8
1950-08-09,2.8
1950-08-10,2.8
1950-08-11,2.8
1950-08-14,2.8
1950-08-15,2.8
1950-08-16,2.8
1950-08-17,2.8
1950-08-18,2.8
1950-08-21,2.8
1950-08-22,2.8
1950-08-23,2.8
1950-08-24,2.8
1950-08-25,2.8
1950-08-28,2.8
1950-08-29,2.8
1950-08-31,2.8
1950-09-01,2.8
1950-09-04,2.8
1950-09-05,2.8
1950-09-06,2.8
1950-09-07,2.8
1950-09-08,2.8
1950-09-11,2.8
1950-09-12,2.8
1950-09-13,2.8
1950-09-14,2.8
1950-09-15,2.8
1950-09-18,2.8
1950-09-19,2.8
1950-09-20,2.8
1950-09-21,2.8
1950-09-22,2.8
1950-09-27,2.8
1950-09-28,2.8
1950-09-29,2.8
1950-10-02,2.8
1950-10-03,2.8
1950-10-04,2.8
1950-10-05,2.8
1950-10-06,2.8
1950-10-09,2.8
1950-10-10,2.8
1950-10-11,2.8
1950-10-12,2.8
1950-10-13,2.8
1950-10-16,2.8
1950-10-17,2.8
1950-10-18,2.8
1950-10-19,2.8
1950-10-20,2.8
1950-10-23,2.8
1950-10-24,2.8
1950-10-25,2.8
1950-10-26,2.8
1950-10-27,2.8
1950-10-30,2.8
1950-10-31,2.8
1950-11-01,2.8
1950-11-02,2.8
1950-11-03,2.8
1950-11-06,2.8
1950-11-07,2.8
1950-11-08,2.8
1950-11-09,2.8
