dt,AB_A01,AB_A02,AB_A03,AB_A05,AB_A06,AB_A15,AB_A16,AB_A17,UNIXTIME
1980-12-01,,,,,,,,,"{""numberLong"":""344473200""}"
1980-12-02,,,,,,,,,"{""numberLong"":""344559600""}"
1980-12-03,,,,,,,,,"{""numberLong"":""344646000""}"
1980-12-04,,,,,,,,,"{""numberLong"":""344732400""}"
1980-12-05,,,,,,,,,"{""numberLong"":""344818800""}"
1980-12-08,,,,,,,,,"{""numberLong"":""345078000""}"
1980-12-09,,,,,,,,,"{""numberLong"":""345164400""}"
1980-12-10,,,,,,,,,"{""numberLong"":""345250800""}"
1980-12-11,,,,,,,,,"{""numberLong"":""345337200""}"
1980-12-12,,,,,,,,,"{""numberLong"":""345423600""}"
1980-12-15,,,,,,,,,"{""numberLong"":""345682800""}"
1980-12-16,,,,,,,,,"{""numberLong"":""345769200""}"
1980-12-17,,,,,,,,,"{""numberLong"":""345855600""}"
1980-12-18,,,,,,,,,"{""numberLong"":""345942000""}"
1980-12-19,,,,,,,,,"{""numberLong"":""346028400""}"
1980-12-22,,,,,,,,,"{""numberLong"":""346287600""}"
1980-12-23,,,,,,,,,"{""numberLong"":""346374000""}"
1980-12-24,,,,,,,,,"{""numberLong"":""346460400""}"
1980-12-25,,,,,,,,,"{""numberLong"":""346546800""}"
1980-12-26,1504.7,184.1,1320.6,617.3,281.3,564.2,506.2,265.6,"{""numberLong"":""346633200""}"
1980-12-29,,,,,,,,,"{""numberLong"":""346892400""}"
1980-12-30,,,,,,,,,"{""numberLong"":""346978800""}"
1980-12-31,,,,,,,,,"{""numberLong"":""347065200""}"
1981-01-01,,,,,,,,,"{""numberLong"":""347151600""}"
1981-01-02,,,,,,,,,"{""numberLong"":""347238000""}"
1981-01-05,,,,,,,,,"{""numberLong"":""347497200""}"
1981-01-06,,,,,,,,,"{""numberLong"":""347583600""}"
1981-01-07,,,,,,,,,"{""numberLong"":""347670000""}"
1981-01-08,,,,,,,,,"{""numberLong"":""347756400""}"
1981-01-09,,,,,,,,,"{""numberLong"":""347842800""}"
1981-01-12,,,,,,,,,"{""numberLong"":""348102000""}"
1981-01-13,,,,,,,,,"{""numberLong"":""348188400""}"
1981-01-14,,,,,,,,,"{""numberLong"":""348274800""}"
1981-01-15,,,,,,,,,"{""numberLong"":""348361200""}"
1981-01-16,,,,,,,,,"{""numberLong"":""348447600""}"
1981-01-19,,,,,,,,,"{""numberLong"":""348706800""}"
1981-01-20,,,,,,,,,"{""numberLong"":""348793200""}"
1981-01-21,,,,,,,,,"{""numberLong"":""348879600""}"
1981-01-22,,,,,,,,,"{""numberLong"":""348966000""}"
1981-01-23,,,,,,,,,"{""numberLong"":""349052400""}"
1981-01-26,,,,,,,,,"{""numberLong"":""349311600""}"
1981-01-27,,,,,,,,,"{""numberLong"":""349398000""}"
1981-01-28,,,,,,,,,"{""numberLong"":""349484400""}"
1981-01-29,,,,,,,,,"{""numberLong"":""349570800""}"
1981-01-30,,,,,,,,,"{""numberLong"":""349657200""}"
1981-02-02,,,,,,,,,"{""numberLong"":""349916400""}"
1981-02-03,,,,,,,,,"{""numberLong"":""350002800""}"
1981-02-04,,,,,,,,,"{""numberLong"":""350089200""}"
1981-02-05,,,,,,,,,"{""numberLong"":""350175600""}"
1981-02-06,,,,,,,,,"{""numberLong"":""350262000""}"
1981-02-09,,,,,,,,,"{""numberLong"":""350521200""}"
1981-02-10,,,,,,,,,"{""numberLong"":""350607600""}"
1981-02-11,,,,,,,,,"{""numberLong"":""350694000""}"
1981-02-12,,,,,,,,,"{""numberLong"":""350780400""}"
1981-02-13,,,,,,,,,"{""numberLong"":""350866800""}"
1981-02-16,,,,,,,,,"{""numberLong"":""351126000""}"
1981-02-17,,,,,,,,,"{""numberLong"":""351212400""}"
1981-02-18,,,,,,,,,"{""numberLong"":""351298800""}"
1981-02-19,,,,,,,,,"{""numberLong"":""351385200""}"
1981-02-20,,,,,,,,,"{""numberLong"":""351471600""}"
1981-02-23,,,,,,,,,"{""numberLong"":""351730800""}"
1981-02-24,,,,,,,,,"{""numberLong"":""351817200""}"
1981-02-25,,,,,,,,,"{""numberLong"":""351903600""}"
1981-02-26,,,,,,,,,"{""numberLong"":""351990000""}"
1981-02-27,,,,,,,,,"{""numberLong"":""352076400""}"
1981-03-02,,,,,,,,,"{""numberLong"":""352335600""}"
1981-03-03,,,,,,,,,"{""numberLong"":""352422000""}"
1981-03-04,,,,,,,,,"{""numberLong"":""352508400""}"
1981-03-05,,,,,,,,,"{""numberLong"":""352594800""}"
1981-03-06,,,,,,,,,"{""numberLong"":""352681200""}"
1981-03-09,,,,,,,,,"{""numberLong"":""352940400""}"
1981-03-10,,,,,,,,,"{""numberLong"":""353026800""}"
1981-03-11,,,,,,,,,"{""numberLong"":""353113200""}"
1981-03-12,,,,,,,,,"{""numberLong"":""353199600""}"
1981-03-13,,,,,,,,,"{""numberLong"":""353286000""}"
1981-03-16,,,,,,,,,"{""numberLong"":""353545200""}"
1981-03-17,,,,,,,,,"{""numberLong"":""353631600""}"
1981-03-18,,,,,,,,,"{""numberLong"":""353718000""}"
1981-03-19,,,,,,,,,"{""numberLong"":""353804400""}"
1981-03-20,,,,,,,,,"{""numberLong"":""353890800""}"
1981-03-23,,,,,,,,,"{""numberLong"":""354150000""}"
1981-03-24,,,,,,,,,"{""numberLong"":""354236400""}"
1981-03-25,,,,,,,,,"{""numberLong"":""354322800""}"
1981-03-26,,,,,,,,,"{""numberLong"":""354409200""}"
1981-03-27,,,,,,,,,"{""numberLong"":""354495600""}"
1981-03-30,,,,,,,,,"{""numberLong"":""354751200""}"
1981-03-31,,,,,,,,,"{""numberLong"":""354837600""}"
1981-04-01,,,,,,,,,"{""numberLong"":""354924000""}"
1981-04-02,,,,,,,,,"{""numberLong"":""355010400""}"
1981-04-03,,,,,,,,,"{""numberLong"":""355096800""}"
1981-04-06,,,,,,,,,"{""numberLong"":""355356000""}"
1981-04-07,,,,,,,,,"{""numberLong"":""355442400""}"
1981-04-08,,,,,,,,,"{""numberLong"":""355528800""}"
1981-04-09,,,,,,,,,"{""numberLong"":""355615200""}"
1981-04-10,,,,,,,,,"{""numberLong"":""355701600""}"
1981-04-13,,,,,,,,,"{""numberLong"":""355960800""}"
1981-04-14,,,,,,,,,"{""numberLong"":""356047200""}"
1981-04-15,,,,,,,,,"{""numberLong"":""356133600""}"
1981-04-16,,,,,,,,,"{""numberLong"":""356220000""}"
1981-04-17,,,,,,,,,"{""numberLong"":""356306400""}"
1981-04-20,,,,,,,,,"{""numberLong"":""356565600""}"
1981-04-21,,,,,,,,,"{""numberLong"":""356652000""}"
1981-04-22,,,,,,,,,"{""numberLong"":""356738400""}"
1981-04-23,,,,,,,,,"{""numberLong"":""356824800""}"
1981-04-24,,,,,,,,,"{""numberLong"":""356911200""}"
1981-04-27,,,,,,,,,"{""numberLong"":""357170400""}"
1981-04-28,,,,,,,,,"{""numberLong"":""357256800""}"
1981-04-29,,,,,,,,,"{""numberLong"":""357343200""}"
1981-04-30,,,,,,,,,"{""numberLong"":""357429600""}"
1981-05-01,,,,,,,,,"{""numberLong"":""357516000""}"
1981-05-04,,,,,,,,,"{""numberLong"":""357775200""}"
1981-05-05,,,,,,,,,"{""numberLong"":""357861600""}"
1981-05-06,,,,,,,,,"{""numberLong"":""357948000""}"
1981-05-07,,,,,,,,,"{""numberLong"":""358034400""}"
1981-05-08,,,,,,,,,"{""numberLong"":""358120800""}"
1981-05-11,,,,,,,,,"{""numberLong"":""358380000""}"
1981-05-12,,,,,,,,,"{""numberLong"":""358466400""}"
1981-05-13,,,,,,,,,"{""numberLong"":""358552800""}"
1981-05-14,,,,,,,,,"{""numberLong"":""358639200""}"
1981-05-15,,,,,,,,,"{""numberLong"":""358725600""}"
1981-05-18,,,,,,,,,"{""numberLong"":""358984800""}"
1981-05-19,,,,,,,,,"{""numberLong"":""359071200""}"
1981-05-20,,,,,,,,,"{""numberLong"":""359157600""}"
1981-05-21,,,,,,,,,"{""numberLong"":""359244000""}"
1981-05-22,,,,,,,,,"{""numberLong"":""359330400""}"
1981-05-25,,,,,,,,,"{""numberLong"":""359589600""}"
1981-05-26,,,,,,,,,"{""numberLong"":""359676000""}"
1981-05-27,,,,,,,,,"{""numberLong"":""359762400""}"
1981-05-28,,,,,,,,,"{""numberLong"":""359848800""}"
1981-05-29,,,,,,,,,"{""numberLong"":""359935200""}"
1981-06-01,,,,,,,,,"{""numberLong"":""360194400""}"
1981-06-02,,,,,,,,,"{""numberLong"":""360280800""}"
1981-06-03,,,,,,,,,"{""numberLong"":""360367200""}"
1981-06-04,,,,,,,,,"{""numberLong"":""360453600""}"
1981-06-05,,,,,,,,,"{""numberLong"":""360540000""}"
1981-06-08,,,,,,,,,"{""numberLong"":""360799200""}"
1981-06-09,,,,,,,,,"{""numberLong"":""360885600""}"
1981-06-10,,,,,,,,,"{""numberLong"":""360972000""}"
1981-06-11,,,,,,,,,"{""numberLong"":""361058400""}"
1981-06-12,,,,,,,,,"{""numberLong"":""361144800""}"
1981-06-15,,,,,,,,,"{""numberLong"":""361404000""}"
1981-06-16,,,,,,,,,"{""numberLong"":""361490400""}"
1981-06-17,,,,,,,,,"{""numberLong"":""361576800""}"
1981-06-18,,,,,,,,,"{""numberLong"":""361663200""}"
1981-06-19,,,,,,,,,"{""numberLong"":""361749600""}"
1981-06-22,,,,,,,,,"{""numberLong"":""362008800""}"
1981-06-23,,,,,,,,,"{""numberLong"":""362095200""}"
1981-06-24,,,,,,,,,"{""numberLong"":""362181600""}"
1981-06-25,,,,,,,,,"{""numberLong"":""362268000""}"
1981-06-26,,,,,,,,,"{""numberLong"":""362354400""}"
1981-06-29,,,,,,,,,"{""numberLong"":""362613600""}"
1981-06-30,,,,,,,,,"{""numberLong"":""362700000""}"
1981-07-01,,,,,,,,,"{""numberLong"":""362786400""}"
1981-07-02,,,,,,,,,"{""numberLong"":""362872800""}"
1981-07-03,,,,,,,,,"{""numberLong"":""362959200""}"
1981-07-06,,,,,,,,,"{""numberLong"":""363218400""}"
1981-07-07,,,,,,,,,"{""numberLong"":""363304800""}"
1981-07-08,,,,,,,,,"{""numberLong"":""363391200""}"
1981-07-09,,,,,,,,,"{""numberLong"":""363477600""}"
1981-07-10,,,,,,,,,"{""numberLong"":""363564000""}"
1981-07-13,,,,,,,,,"{""numberLong"":""363823200""}"
1981-07-14,,,,,,,,,"{""numberLong"":""363909600""}"
1981-07-15,,,,,,,,,"{""numberLong"":""363996000""}"
1981-07-16,,,,,,,,,"{""numberLong"":""364082400""}"
1981-07-17,,,,,,,,,"{""numberLong"":""364168800""}"
1981-07-20,,,,,,,,,"{""numberLong"":""364428000""}"
1981-07-21,,,,,,,,,"{""numberLong"":""364514400""}"
1981-07-22,,,,,,,,,"{""numberLong"":""364600800""}"
1981-07-23,,,,,,,,,"{""numberLong"":""364687200""}"
1981-07-24,,,,,,,,,"{""numberLong"":""364773600""}"
1981-07-27,,,,,,,,,"{""numberLong"":""365032800""}"
1981-07-28,,,,,,,,,"{""numberLong"":""365119200""}"
1981-07-29,,,,,,,,,"{""numberLong"":""365205600""}"
1981-07-30,,,,,,,,,"{""numberLong"":""365292000""}"
1981-07-31,,,,,,,,,"{""numberLong"":""365378400""}"
1981-08-03,,,,,,,,,"{""numberLong"":""365637600""}"
1981-08-04,,,,,,,,,"{""numberLong"":""365724000""}"
1981-08-05,,,,,,,,,"{""numberLong"":""365810400""}"
1981-08-06,,,,,,,,,"{""numberLong"":""365896800""}"
1981-08-07,,,,,,,,,"{""numberLong"":""365983200""}"
1981-08-10,,,,,,,,,"{""numberLong"":""366242400""}"
1981-08-11,,,,,,,,,"{""numberLong"":""366328800""}"
1981-08-12,,,,,,,,,"{""numberLong"":""366415200""}"
