dt,KB_A01,KB_A05,KB_A08,KB_A09,UNIXTIME
1979-12-01,96.8,9.1,92.2,321.4,"{""numberLong"":""312850800""}"
1980-01-01,,,,,"{""numberLong"":""315529200""}"
1980-02-01,,,,,"{""numberLong"":""318207600""}"
1980-03-01,,,,,"{""numberLong"":""320713200""}"
1980-04-01,,,,,"{""numberLong"":""323388000""}"
1980-05-01,,,,,"{""numberLong"":""325980000""}"
1980-06-01,,,,,"{""numberLong"":""328658400""}"
1980-07-01,,,,,"{""numberLong"":""331250400""}"
1980-08-01,,,,,"{""numberLong"":""333928800""}"
1980-09-01,,,,,"{""numberLong"":""336607200""}"
1980-10-01,,,,,"{""numberLong"":""339202800""}"
1980-11-01,,,,,"{""numberLong"":""341881200""}"
1980-12-01,141.1,48.7,195.4,721.2,"{""numberLong"":""344473200""}"
1981-01-01,,,,,"{""numberLong"":""347151600""}"
1981-02-01,,,,,"{""numberLong"":""349830000""}"
1981-03-01,,,,,"{""numberLong"":""352249200""}"
1981-04-01,,,,,"{""numberLong"":""354924000""}"
1981-05-01,,,,,"{""numberLong"":""357516000""}"
1981-06-01,,,,,"{""numberLong"":""360194400""}"
1981-07-01,,,,,"{""numberLong"":""362786400""}"
1981-08-01,,,,,"{""numberLong"":""365464800""}"
1981-09-01,,,,,"{""numberLong"":""368143200""}"
1981-10-01,,,,,"{""numberLong"":""370738800""}"
1981-11-01,,,,,"{""numberLong"":""373417200""}"
1981-12-01,159.9,88.0,234.0,990.9,"{""numberLong"":""376009200""}"
1982-01-01,,,,,"{""numberLong"":""378687600""}"
1982-02-01,,,,,"{""numberLong"":""381366000""}"
1982-03-01,,,,,"{""numberLong"":""383785200""}"
1982-04-01,,,,,"{""numberLong"":""386460000""}"
1982-05-01,,,,,"{""numberLong"":""389052000""}"
1982-06-01,,,,,"{""numberLong"":""391730400""}"
1982-07-01,,,,,"{""numberLong"":""394322400""}"
1982-08-01,,,,,"{""numberLong"":""397000800""}"
1982-09-01,,,,,"{""numberLong"":""399679200""}"
1982-10-01,,,,,"{""numberLong"":""402274800""}"
1982-11-01,,,,,"{""numberLong"":""404953200""}"
1982-12-01,185.9,152.5,266.3,1340.8,"{""numberLong"":""407545200""}"
1983-01-01,,,,,"{""numberLong"":""410223600""}"
1983-02-01,,,,,"{""numberLong"":""412902000""}"
1983-03-01,,,,,"{""numberLong"":""415321200""}"
1983-04-01,,,,,"{""numberLong"":""417996000""}"
1983-05-01,,,,,"{""numberLong"":""420588000""}"
1983-06-01,,,,,"{""numberLong"":""423266400""}"
1983-07-01,,,,,"{""numberLong"":""425858400""}"
1983-08-01,,,,,"{""numberLong"":""428536800""}"
1983-09-01,,,,,"{""numberLong"":""431215200""}"
1983-10-01,,,,,"{""numberLong"":""433810800""}"
1983-11-01,,,,,"{""numberLong"":""436489200""}"
1983-12-01,360.2,56.2,338.5,3172.6,"{""numberLong"":""439081200""}"
1984-01-01,,,,,"{""numberLong"":""441759600""}"
1984-02-01,,,,,"{""numberLong"":""444438000""}"
1984-03-01,,,,,"{""numberLong"":""446943600""}"
1984-04-01,,,,,"{""numberLong"":""449618400""}"
1984-05-01,,,,,"{""numberLong"":""452210400""}"
1984-06-01,,,,,"{""numberLong"":""454888800""}"
1984-07-01,,,,,"{""numberLong"":""457480800""}"
1984-08-01,,,,,"{""numberLong"":""460159200""}"
1984-09-01,,,,,"{""numberLong"":""462837600""}"
1984-10-01,,,,,"{""numberLong"":""465433200""}"
1984-11-01,,,,,"{""numberLong"":""468111600""}"
1984-12-01,530.8,339.9,528.3,4634.4,"{""numberLong"":""470703600""}"
1985-01-01,,,,,"{""numberLong"":""473382000""}"
1985-02-01,,,,,"{""numberLong"":""476060400""}"
1985-03-01,,,,,"{""numberLong"":""478479600""}"
1985-04-01,,,,,"{""numberLong"":""481154400""}"
1985-05-01,,,,,"{""numberLong"":""483746400""}"
1985-06-01,,,,,"{""numberLong"":""486424800""}"
1985-07-01,,,,,"{""numberLong"":""489016800""}"
1985-08-01,,,,,"{""numberLong"":""491695200""}"
1985-09-01,,,,,"{""numberLong"":""494373600""}"
1985-10-01,,,,,"{""numberLong"":""496969200""}"
1985-11-01,,,,,"{""numberLong"":""499647600""}"
1985-12-01,1031.8,490.3,794.5,6972.6,"{""numberLong"":""502239600""}"
1986-01-01,,,,,"{""numberLong"":""504918000""}"
1986-02-01,,,,,"{""numberLong"":""507596400""}"
1986-03-01,,,,,"{""numberLong"":""510015600""}"
1986-04-01,,,,,"{""numberLong"":""512690400""}"
1986-05-01,,,,,"{""numberLong"":""515282400""}"
1986-06-01,,,,,"{""numberLong"":""517960800""}"
1986-07-01,,,,,"{""numberLong"":""520552800""}"
1986-08-01,,,,,"{""numberLong"":""523231200""}"
1986-09-01,,,,,"{""numberLong"":""525909600""}"
1986-10-01,,,,,"{""numberLong"":""528505200""}"
1986-11-01,,,,,"{""numberLong"":""531183600""}"
1986-12-01,1511.3,822.5,1051.5,10514.5,"{""numberLong"":""533775600""}"
1987-01-01,,,,,"{""numberLong"":""536454000""}"
1987-02-01,,,,,"{""numberLong"":""539132400""}"
1987-03-01,,,,,"{""numberLong"":""541551600""}"
1987-04-01,,,,,"{""numberLong"":""544226400""}"
1987-05-01,,,,,"{""numberLong"":""546818400""}"
1987-06-01,,,,,"{""numberLong"":""549496800""}"
1987-07-01,,,,,"{""numberLong"":""552088800""}"
1987-08-01,,,,,"{""numberLong"":""554767200""}"
1987-09-01,,,,,"{""numberLong"":""557445600""}"
1987-10-01,,,,,"{""numberLong"":""560041200""}"
1987-11-01,,,,,"{""numberLong"":""562719600""}"
1987-12-01,2407.2,1923.3,1406.6,17218.5,"{""numberLong"":""565311600""}"
1988-01-01,,,,,"{""numberLong"":""567990000""}"
1988-02-01,,,,,"{""numberLong"":""570668400""}"
1988-03-01,,,,,"{""numberLong"":""573174000""}"
1988-04-01,,,,,"{""numberLong"":""575848800""}"
1988-05-01,,,,,"{""numberLong"":""578440800""}"
1988-06-01,,,,,"{""numberLong"":""581119200""}"
1988-07-01,,,,,"{""numberLong"":""583711200""}"
1988-08-01,,,,,"{""numberLong"":""586389600""}"
1988-09-01,,,,,"{""numberLong"":""589068000""}"
1988-10-01,,,,,"{""numberLong"":""591663600""}"
1988-11-01,,,,,"{""numberLong"":""594342000""}"
1988-12-01,4880.3,2541.9,2081.9,28458.1,"{""numberLong"":""596934000""}"
1989-01-01,5039.8,2868.4,2163.8,29233.9,"{""numberLong"":""599612400""}"
1989-02-01,5319.8,2855.3,2333.4,29670.4,"{""numberLong"":""602290800""}"
1989-03-01,5611.7,2931.0,2172.7,29877.3,"{""numberLong"":""604710000""}"
1989-04-01,6621.9,2736.7,2154.1,30864.6,"{""numberLong"":""607384800""}"
1989-05-01,7201.9,2764.2,2240.6,32242.8,"{""numberLong"":""609976800""}"
1989-06-01,7359.2,2681.7,2749.3,32826.3,"{""numberLong"":""612655200""}"
1989-07-01,7389.6,2720.5,2916.1,33062.3,"{""numberLong"":""615247200""}"
1989-08-01,7674.6,3579.6,2750.0,34040.3,"{""numberLong"":""617925600""}"
1989-09-01,8078.6,4024.9,3091.1,35230.7,"{""numberLong"":""620604000""}"
1989-10-01,9106.0,4212.7,2494.2,35849.0,"{""numberLong"":""623199600""}"
1989-11-01,10633.6,3745.4,2121.9,36537.0,"{""numberLong"":""625878000""}"
1989-12-01,10863.0,3537.3,2538.9,41934.1,"{""numberLong"":""628470000""}"
1990-01-01,13323.2,3852.9,2019.1,44190.1,"{""numberLong"":""631148400""}"
1990-02-01,14216.6,3871.1,1525.3,44607.9,"{""numberLong"":""633826800""}"
1990-03-01,15601.9,3380.2,2051.6,46028.6,"{""numberLong"":""636246000""}"
1990-04-01,16137.0,3164.5,3095.6,47392.0,"{""numberLong"":""638920800""}"
1990-05-01,16600.9,3034.2,2845.0,47475.0,"{""numberLong"":""641512800""}"
1990-06-01,17709.8,3070.9,3156.9,48932.5,"{""numberLong"":""644191200""}"
1990-07-01,18406.5,2968.0,3109.7,47366.7,"{""numberLong"":""646783200""}"
1990-08-01,18318.7,3467.4,3176.7,49467.9,"{""numberLong"":""649461600""}"
1990-09-01,18057.0,3968.6,2910.9,50158.7,"{""numberLong"":""652140000""}"
1990-10-01,17719.4,4213.3,3027.8,50182.7,"{""numberLong"":""654735600""}"
1990-11-01,17818.3,4943.2,2630.4,50614.1,"{""numberLong"":""657414000""}"
1990-12-01,18801.2,5468.6,2870.2,57180.0,"{""numberLong"":""660006000""}"
1991-01-01,18754.7,5569.5,3128.0,58792.2,"{""numberLong"":""662684400""}"
1991-02-01,18875.4,5724.7,2778.8,59718.9,"{""numberLong"":""665362800""}"
1991-03-01,19588.8,7045.2,5079.8,65053.8,"{""numberLong"":""667782000""}"
1991-04-01,21904.4,7832.1,5366.7,66143.2,"{""numberLong"":""670456800""}"
1991-05-01,21850.9,9013.4,3972.0,65876.3,"{""numberLong"":""673048800""}"
1991-06-01,22285.2,9037.7,5504.5,67867.4,"{""numberLong"":""675727200""}"
1991-07-01,22765.7,11228.6,4815.0,70156.8,"{""numberLong"":""678319200""}"
1991-08-01,21428.0,14581.3,4455.9,71505.2,"{""numberLong"":""680997600""}"
1991-09-01,21711.1,16303.2,6968.1,76022.4,"{""numberLong"":""683676000""}"
1991-10-01,22587.9,15776.3,11426.8,80831.0,"{""numberLong"":""686271600""}"
1991-11-01,23404.2,16682.7,10908.4,81499.2,"{""numberLong"":""688950000""}"
1991-12-01,24678.4,18258.0,13589.4,97647.8,"{""numberLong"":""691542000""}"
1992-01-01,25818.1,20957.5,13190.4,96880.0,"{""numberLong"":""694220400""}"
