dt,MK_F_BILESIK,UNIXTIME
1986-01-01,,"{""numberLong"":""504918000""}"
1986-01-02,,"{""numberLong"":""505004400""}"
1986-01-03,,"{""numberLong"":""505090800""}"
1986-01-06,,"{""numberLong"":""505350000""}"
1986-01-07,,"{""numberLong"":""505436400""}"
1986-01-08,,"{""numberLong"":""505522800""}"
1986-01-09,,"{""numberLong"":""505609200""}"
1986-01-10,,"{""numberLong"":""505695600""}"
1986-01-13,,"{""numberLong"":""505954800""}"
1986-01-14,,"{""numberLong"":""506041200""}"
1986-01-15,,"{""numberLong"":""506127600""}"
1986-01-16,,"{""numberLong"":""506214000""}"
1986-01-17,,"{""numberLong"":""506300400""}"
1986-01-20,,"{""numberLong"":""506559600""}"
1986-01-21,,"{""numberLong"":""506646000""}"
1986-01-22,,"{""numberLong"":""506732400""}"
1986-01-23,,"{""numberLong"":""506818800""}"
1986-01-24,,"{""numberLong"":""506905200""}"
1986-01-27,,"{""numberLong"":""507164400""}"
1986-01-28,,"{""numberLong"":""507250800""}"
1986-01-29,,"{""numberLong"":""507337200""}"
1986-01-30,,"{""numberLong"":""507423600""}"
1986-01-31,,"{""numberLong"":""507510000""}"
1986-02-03,,"{""numberLong"":""507769200""}"
1986-02-04,,"{""numberLong"":""507855600""}"
1986-02-05,,"{""numberLong"":""507942000""}"
1986-02-06,,"{""numberLong"":""508028400""}"
1986-02-07,0.0115,"{""numberLong"":""508114800""}"
1986-02-10,,"{""numberLong"":""508374000""}"
1986-02-11,,"{""numberLong"":""508460400""}"
1986-02-12,,"{""numberLong"":""508546800""}"
1986-02-13,,"{""numberLong"":""508633200""}"
1986-02-14,0.0121,"{""numberLong"":""508719600""}"
1986-02-17,,"{""numberLong"":""508978800""}"
1986-02-18,,"{""numberLong"":""509065200""}"
1986-02-19,,"{""numberLong"":""509151600""}"
1986-02-20,,"{""numberLong"":""509238000""}"
1986-02-21,0.0122,"{""numberLong"":""509324400""}"
1986-02-24,,"{""numberLong"":""509583600""}"
1986-02-25,,"{""numberLong"":""509670000""}"
1986-02-26,,"{""numberLong"":""509756400""}"
1986-02-27,,"{""numberLong"":""509842800""}"
1986-02-28,0.012,"{""numberLong"":""509929200""}"
1986-03-03,,"{""numberLong"":""510188400""}"
1986-03-04,,"{""numberLong"":""510274800""}"
1986-03-05,,"{""numberLong"":""510361200""}"
1986-03-06,,"{""numberLong"":""510447600""}"
1986-03-07,0.0119,"{""numberLong"":""510534000""}"
1986-03-10,,"{""numberLong"":""510793200""}"
1986-03-11,,"{""numberLong"":""510879600""}"
1986-03-12,,"{""numberLong"":""510966000""}"
1986-03-13,,"{""numberLong"":""511052400""}"
1986-03-14,0.0119,"{""numberLong"":""511138800""}"
1986-03-17,,"{""numberLong"":""511398000""}"
1986-03-18,,"{""numberLong"":""511484400""}"
1986-03-19,,"{""numberLong"":""511570800""}"
1986-03-20,,"{""numberLong"":""511657200""}"
1986-03-21,0.0118,"{""numberLong"":""511743600""}"
1986-03-24,,"{""numberLong"":""512002800""}"
1986-03-25,,"{""numberLong"":""512089200""}"
1986-03-26,,"{""numberLong"":""512175600""}"
1986-03-27,,"{""numberLong"":""512262000""}"
1986-03-28,0.0116,"{""numberLong"":""512348400""}"
1986-03-31,,"{""numberLong"":""512604000""}"
1986-04-01,,"{""numberLong"":""512690400""}"
1986-04-02,,"{""numberLong"":""512776800""}"
1986-04-03,,"{""numberLong"":""512863200""}"
1986-04-04,0.0114,"{""numberLong"":""512949600""}"
1986-04-07,,"{""numberLong"":""513208800""}"
1986-04-08,,"{""numberLong"":""513295200""}"
1986-04-09,,"{""numberLong"":""513381600""}"
1986-04-10,,"{""numberLong"":""513468000""}"
1986-04-11,0.0114,"{""numberLong"":""513554400""}"
1986-04-14,,"{""numberLong"":""513813600""}"
1986-04-15,,"{""numberLong"":""513900000""}"
1986-04-16,,"{""numberLong"":""513986400""}"
