dt,PY_P06_ON,PY_P03_ON,PY_P04_ON,PY_P05_ON,UNIXTIME
1990-01-01,,,,,"{""numberLong"":""631148400""}"
1990-01-02,25.11,2499.4,25.0,25.25,"{""numberLong"":""631234800""}"
1990-01-03,20.1,2135.6,20.0,20.25,"{""numberLong"":""631321200""}"
1990-01-04,25.2,2236.6,22.0,225.0,"{""numberLong"":""631407600""}"
1990-01-05,47.72,1993.4,22.0,225.0,"{""numberLong"":""631494000""}"
1990-01-08,28.29,1590.4,22.25,32.0,"{""numberLong"":""631753200""}"
1990-01-09,31.2,1526.8,30.0,34.5,"{""numberLong"":""631839600""}"
1990-01-10,33.9,1920.8,33.0,35.0,"{""numberLong"":""631926000""}"
1990-01-11,37.78,1852.0,37.75,38.0,"{""numberLong"":""632012400""}"
1990-01-12,39.92,2194.4,30.0,40.0,"{""numberLong"":""632098800""}"
1990-01-15,44.92,2393.8,44.75,45.0,"{""numberLong"":""632358000""}"
1990-01-16,47.9,2330.0,47.75,48.0,"{""numberLong"":""632444400""}"
1990-01-17,50.87,2047.8,50.75,51.0,"{""numberLong"":""632530800""}"
1990-01-18,48.81,1750.0,48.75,49.0,"{""numberLong"":""632617200""}"
1990-01-19,43.29,1680.6,34.0,44.0,"{""numberLong"":""632703600""}"
1990-01-22,37.44,1685.0,36.0,38.75,"{""numberLong"":""632962800""}"
1990-01-23,34.5,1943.2,34.0,35.0,"{""numberLong"":""633049200""}"
1990-01-24,25.39,2399.2,23.0,32.75,"{""numberLong"":""633135600""}"
1990-01-25,21.21,2265.2,21.0,21.25,"{""numberLong"":""633222000""}"
1990-01-26,20.2,2531.0,20.0,20.25,"{""numberLong"":""633308400""}"
1990-01-29,20.25,2400.6,20.25,20.25,"{""numberLong"":""633567600""}"
1990-01-30,21.61,2059.8,20.25,24.0,"{""numberLong"":""633654000""}"
1990-01-31,25.29,2014.4,25.0,29.0,"{""numberLong"":""633740400""}"
1990-02-01,33.24,1834.8,32.0,35.0,"{""numberLong"":""633826800""}"
1990-02-02,38.88,1874.4,38.75,39.0,"{""numberLong"":""633913200""}"
1990-02-05,43.87,1736.6,43.75,44.0,"{""numberLong"":""634172400""}"
1990-02-06,48.86,1793.8,48.75,49.0,"{""numberLong"":""634258800""}"
