dt,FG_B01_68,UNIXTIME
1978-01-01,491.9,"{""numberLong"":""252457200""}"
1978-02-01,516.1,"{""numberLong"":""255135600""}"
1978-03-01,537.4,"{""numberLong"":""257554800""}"
1978-04-01,588.3,"{""numberLong"":""260233200""}"
1978-05-01,631.6,"{""numberLong"":""262821600""}"
1978-06-01,680.6,"{""numberLong"":""265500000""}"
1978-07-01,701.0,"{""numberLong"":""268092000""}"
1978-08-01,698.7,"{""numberLong"":""270770400""}"
1978-09-01,746.2,"{""numberLong"":""273448800""}"
1978-10-01,775.2,"{""numberLong"":""276044400""}"
1978-11-01,791.8,"{""numberLong"":""278722800""}"
1978-12-01,837.1,"{""numberLong"":""281314800""}"
1979-01-01,867.6,"{""numberLong"":""283993200""}"
1979-02-01,886.3,"{""numberLong"":""286671600""}"
1979-03-01,952.9,"{""numberLong"":""289090800""}"
1979-04-01,1003.7,"{""numberLong"":""291769200""}"
1979-05-01,1072.0,"{""numberLong"":""294357600""}"
1979-06-01,1155.2,"{""numberLong"":""297036000""}"
1979-07-01,1204.1,"{""numberLong"":""299628000""}"
1979-08-01,1296.5,"{""numberLong"":""302306400""}"
1979-09-01,1341.2,"{""numberLong"":""304984800""}"
1979-10-01,1420.6,"{""numberLong"":""307580400""}"
1979-11-01,1444.2,"{""numberLong"":""310258800""}"
1979-12-01,1504.1,"{""numberLong"":""312850800""}"
1980-01-01,1623.2,"{""numberLong"":""315529200""}"
1980-02-01,1813.2,"{""numberLong"":""318207600""}"
1980-03-01,1909.0,"{""numberLong"":""320713200""}"
1980-04-01,1971.4,"{""numberLong"":""323388000""}"
1980-05-01,2011.0,"{""numberLong"":""325980000""}"
1980-06-01,2067.2,"{""numberLong"":""328658400""}"
1980-07-01,2092.7,"{""numberLong"":""331250400""}"
1980-08-01,2114.6,"{""numberLong"":""333928800""}"
1980-09-01,2187.8,"{""numberLong"":""336607200""}"
1980-10-01,2309.3,"{""numberLong"":""339202800""}"
1980-11-01,2371.2,"{""numberLong"":""341881200""}"
1980-12-01,2408.9,"{""numberLong"":""344473200""}"
1981-01-01,2486.2,"{""numberLong"":""347151600""}"
1981-02-01,2512.3,"{""numberLong"":""349830000""}"
1981-03-01,2532.9,"{""numberLong"":""352249200""}"
1981-04-01,2562.1,"{""numberLong"":""354924000""}"
1981-05-01,2644.3,"{""numberLong"":""357516000""}"
1981-06-01,2759.0,"{""numberLong"":""360194400""}"
1981-07-01,2805.5,"{""numberLong"":""362786400""}"
1981-08-01,2860.7,"{""numberLong"":""365464800""}"
1981-09-01,3013.6,"{""numberLong"":""368143200""}"
1981-10-01,3100.1,"{""numberLong"":""370738800""}"
1981-11-01,3160.3,"{""numberLong"":""373417200""}"
1981-12-01,3220.2,"{""numberLong"":""376009200""}"
1982-01-01,3329.1,"{""numberLong"":""378687600""}"
1982-02-01,3483.7,"{""numberLong"":""381366000""}"
1982-03-01,3583.0,"{""numberLong"":""383785200""}"
1982-04-01,3691.0,"{""numberLong"":""386460000""}"
1982-05-01,3713.9,"{""numberLong"":""389052000""}"
1982-06-01,3775.8,"{""numberLong"":""391730400""}"
1982-07-01,3797.5,"{""numberLong"":""394322400""}"
1982-08-01,3746.8,"{""numberLong"":""397000800""}"
1982-09-01,3865.7,"{""numberLong"":""399679200""}"
1982-10-01,3996.7,"{""numberLong"":""402274800""}"
1982-11-01,4128.2,"{""numberLong"":""404953200""}"
1982-12-01,4214.5,"{""numberLong"":""407545200""}"
1983-01-01,4401.9,"{""numberLong"":""410223600""}"
1983-02-01,4435.2,"{""numberLong"":""412902000""}"
1983-03-01,4507.7,"{""numberLong"":""415321200""}"
1983-04-01,4562.4,"{""numberLong"":""417996000""}"
1983-05-01,4675.8,"{""numberLong"":""420588000""}"
1983-06-01,4763.7,"{""numberLong"":""423266400""}"
1983-07-01,4784.6,"{""numberLong"":""425858400""}"
1983-08-01,4820.6,"{""numberLong"":""428536800""}"
1983-09-01,5010.2,"{""numberLong"":""431215200""}"
1983-10-01,5188.3,"{""numberLong"":""433810800""}"
1983-11-01,5328.6,"{""numberLong"":""436489200""}"
1983-12-01,5534.2,"{""numberLong"":""439081200""}"
1984-01-01,5692.7,"{""numberLong"":""441759600""}"
1984-02-01,5845.0,"{""numberLong"":""444438000""}"
1984-03-01,5987.0,"{""numberLong"":""446943600""}"
1984-04-01,6484.3,"{""numberLong"":""449618400""}"
1984-05-01,6834.5,"{""numberLong"":""452210400""}"
1984-06-01,7137.6,"{""numberLong"":""454888800""}"
1984-07-01,7317.7,"{""numberLong"":""457480800""}"
1984-08-01,7356.3,"{""numberLong"":""460159200""}"
1984-09-01,7467.6,"{""numberLong"":""462837600""}"
1984-10-01,7616.1,"{""numberLong"":""465433200""}"
1984-11-01,7745.5,"{""numberLong"":""468111600""}"
1984-12-01,7860.0,"{""numberLong"":""470703600""}"
1985-01-01,8524.5,"{""numberLong"":""473382000""}"
1985-02-01,8855.4,"{""numberLong"":""476060400""}"
1985-03-01,9110.7,"{""numberLong"":""478479600""}"
1985-04-01,9360.4,"{""numberLong"":""481154400""}"
1985-05-01,9571.9,"{""numberLong"":""483746400""}"
