dt,FG_C01,UNIXTIME
1968-01-01,98.0,"{""numberLong"":""-63162000""}"
1968-02-01,97.8,"{""numberLong"":""-60483600""}"
1968-03-01,97.7,"{""numberLong"":""-57978000""}"
1968-04-01,98.5,"{""numberLong"":""-55299600""}"
1968-05-01,98.1,"{""numberLong"":""-52707600""}"
1968-06-01,99.4,"{""numberLong"":""-50029200""}"
1968-07-01,99.5,"{""numberLong"":""-47437200""}"
1968-08-01,100.0,"{""numberLong"":""-44758800""}"
1968-09-01,100.5,"{""numberLong"":""-42080400""}"
1968-10-01,101.1,"{""numberLong"":""-39488400""}"
1968-11-01,102.6,"{""numberLong"":""-36810000""}"
1968-12-01,102.9,"{""numberLong"":""-34218000""}"
1969-01-01,103.9,"{""numberLong"":""-31539600""}"
1969-02-01,104.9,"{""numberLong"":""-28861200""}"
1969-03-01,106.4,"{""numberLong"":""-26442000""}"
1969-04-01,107.8,"{""numberLong"":""-23763600""}"
1969-05-01,108.9,"{""numberLong"":""-21171600""}"
1969-06-01,108.5,"{""numberLong"":""-18493200""}"
1969-07-01,108.1,"{""numberLong"":""-15901200""}"
1969-08-01,108.6,"{""numberLong"":""-13222800""}"
1969-09-01,107.9,"{""numberLong"":""-10544400""}"
1969-10-01,109.0,"{""numberLong"":""-7952400""}"
1969-11-01,111.0,"{""numberLong"":""-5274000""}"
1969-12-01,111.7,"{""numberLong"":""-2682000""}"
1970-01-01,112.0,"{""numberLong"":""-3600""}"
1970-02-01,113.7,"{""numberLong"":""2674800""}"
1970-03-01,114.0,"{""numberLong"":""5094000""}"
1970-04-01,114.4,"{""numberLong"":""7772400""}"
1970-05-01,114.0,"{""numberLong"":""10364400""}"
1970-06-01,114.4,"{""numberLong"":""13042800""}"
1970-07-01,113.2,"{""numberLong"":""15634800""}"
1970-08-01,115.4,"{""numberLong"":""18313200""}"
1970-09-01,119.8,"{""numberLong"":""20991600""}"
1970-10-01,121.4,"{""numberLong"":""23583600""}"
1970-11-01,122.3,"{""numberLong"":""26262000""}"
1970-12-01,123.6,"{""numberLong"":""28854000""}"
1971-01-01,125.2,"{""numberLong"":""31532400""}"
1971-02-01,128.0,"{""numberLong"":""34210800""}"
1971-03-01,128.4,"{""numberLong"":""36630000""}"
1971-04-01,130.4,"{""numberLong"":""39308400""}"
1971-05-01,131.2,"{""numberLong"":""41900400""}"
1971-06-01,131.7,"{""numberLong"":""44578800""}"
1971-07-01,137.2,"{""numberLong"":""47170800""}"
1971-08-01,140.6,"{""numberLong"":""49849200""}"
1971-09-01,142.8,"{""numberLong"":""52527600""}"
1971-10-01,144.9,"{""numberLong"":""55119600""}"
1971-11-01,147.4,"{""numberLong"":""57798000""}"
1971-12-01,148.2,"{""numberLong"":""60390000""}"
1972-01-01,151.0,"{""numberLong"":""63068400""}"
1972-02-01,152.3,"{""numberLong"":""65746800""}"
1972-03-01,153.7,"{""numberLong"":""68252400""}"
1972-04-01,155.6,"{""numberLong"":""70930800""}"
1972-05-01,156.2,"{""numberLong"":""73522800""}"
1972-06-01,156.9,"{""numberLong"":""76201200""}"
1972-07-01,160.1,"{""numberLong"":""78793200""}"
1972-08-01,161.5,"{""numberLong"":""81471600""}"
1972-09-01,160.5,"{""numberLong"":""84150000""}"
1972-10-01,162.6,"{""numberLong"":""86742000""}"
1972-11-01,163.0,"{""numberLong"":""89420400""}"
1972-12-01,164.6,"{""numberLong"":""92012400""}"
1973-01-01,167.9,"{""numberLong"":""94690800""}"
1973-02-01,169.4,"{""numberLong"":""97369200""}"
1973-03-01,172.0,"{""numberLong"":""99788400""}"
1973-04-01,175.6,"{""numberLong"":""102466800""}"
1973-05-01,179.3,"{""numberLong"":""105058800""}"
1973-06-01,179.4,"{""numberLong"":""107737200""}"
1973-07-01,182.9,"{""numberLong"":""110329200""}"
1973-08-01,188.3,"{""numberLong"":""113007600""}"
1973-09-01,195.1,"{""numberLong"":""115686000""}"
1973-10-01,198.3,"{""numberLong"":""118278000""}"
1973-11-01,201.0,"{""numberLong"":""120956400""}"
1973-12-01,203.4,"{""numberLong"":""123548400""}"
1974-01-01,214.4,"{""numberLong"":""126226800""}"
1974-02-01,219.8,"{""numberLong"":""128905200""}"
1974-03-01,230.9,"{""numberLong"":""131324400""}"
1974-04-01,235.5,"{""numberLong"":""134002800""}"
1974-05-01,240.9,"{""numberLong"":""136594800""}"
1974-06-01,240.1,"{""numberLong"":""139273200""}"
1974-07-01,241.6,"{""numberLong"":""141865200""}"
1974-08-01,242.5,"{""numberLong"":""144543600""}"
1974-09-01,245.9,"{""numberLong"":""147222000""}"
1974-10-01,246.3,"{""numberLong"":""149814000""}"
1974-11-01,250.9,"{""numberLong"":""152492400""}"
1974-12-01,254.1,"{""numberLong"":""155084400""}"
1975-01-01,262.7,"{""numberLong"":""157762800""}"
1975-02-01,271.0,"{""numberLong"":""160441200""}"
1975-03-01,274.4,"{""numberLong"":""162860400""}"
1975-04-01,277.7,"{""numberLong"":""165538800""}"
1975-05-01,279.9,"{""numberLong"":""168127200""}"
1975-06-01,274.0,"{""numberLong"":""170805600""}"
1975-07-01,268.7,"{""numberLong"":""173397600""}"
1975-08-01,272.2,"{""numberLong"":""176076000""}"
1975-09-01,271.7,"{""numberLong"":""178754400""}"
1975-10-01,273.9,"{""numberLong"":""181346400""}"
1975-11-01,277.6,"{""numberLong"":""184024800""}"
1975-12-01,281.8,"{""numberLong"":""186620400""}"
1976-01-01,289.9,"{""numberLong"":""189298800""}"
1976-02-01,295.8,"{""numberLong"":""191977200""}"
1976-03-01,298.9,"{""numberLong"":""194482800""}"
1976-04-01,307.5,"{""numberLong"":""197161200""}"
1976-05-01,312.5,"{""numberLong"":""199749600""}"
1976-06-01,316.8,"{""numberLong"":""202428000""}"
1976-07-01,322.8,"{""numberLong"":""205020000""}"
1976-08-01,327.1,"{""numberLong"":""207698400""}"
1976-09-01,334.4,"{""numberLong"":""210376800""}"
1976-10-01,339.7,"{""numberLong"":""212968800""}"
1976-11-01,344.5,"{""numberLong"":""215650800""}"
1976-12-01,352.8,"{""numberLong"":""218242800""}"
1977-01-01,357.8,"{""numberLong"":""220921200""}"
