dt,DK_USD_A_YTL,DK_USD_S_YTL,UNIXTIME
1975-01-01,,,"{""numberLong"":""157762800""}"
1975-01-02,1.385e-05,1.413e-05,"{""numberLong"":""157849200""}"
1975-01-03,1.385e-05,1.413e-05,"{""numberLong"":""157935600""}"
1975-01-04,,,"{""numberLong"":""158022000""}"
1975-01-05,,,"{""numberLong"":""158108400""}"
1975-01-06,1.385e-05,1.413e-05,"{""numberLong"":""158194800""}"
1975-01-07,1.385e-05,1.413e-05,"{""numberLong"":""158281200""}"
1975-01-08,1.385e-05,1.413e-05,"{""numberLong"":""158367600""}"
1975-01-09,1.385e-05,1.413e-05,"{""numberLong"":""158454000""}"
1975-01-10,1.385e-05,1.413e-05,"{""numberLong"":""158540400""}"
1975-01-11,,,"{""numberLong"":""158626800""}"
1975-01-12,,,"{""numberLong"":""158713200""}"
1975-01-13,1.385e-05,1.413e-05,"{""numberLong"":""158799600""}"
1975-01-14,1.385e-05,1.413e-05,"{""numberLong"":""158886000""}"
1975-01-15,1.385e-05,1.413e-05,"{""numberLong"":""158972400""}"
1975-01-16,1.385e-05,1.413e-05,"{""numberLong"":""159058800""}"
1975-01-17,1.385e-05,1.413e-05,"{""numberLong"":""159145200""}"
1975-01-18,,,"{""numberLong"":""159231600""}"
1975-01-19,,,"{""numberLong"":""159318000""}"
1975-01-20,1.385e-05,1.413e-05,"{""numberLong"":""159404400""}"
1975-01-21,1.385e-05,1.413e-05,"{""numberLong"":""159490800""}"
1975-01-22,1.385e-05,1.413e-05,"{""numberLong"":""159577200""}"
1975-01-23,1.385e-05,1.413e-05,"{""numberLong"":""159663600""}"
1975-01-24,1.385e-05,1.413e-05,"{""numberLong"":""159750000""}"
1975-01-25,,,"{""numberLong"":""159836400""}"
1975-01-26,,,"{""numberLong"":""159922800""}"
1975-01-27,1.385e-05,1.413e-05,"{""numberLong"":""160009200""}"
1975-01-28,1.385e-05,1.413e-05,"{""numberLong"":""160095600""}"
1975-01-29,1.385e-05,1.413e-05,"{""numberLong"":""160182000""}"
1975-01-30,1.385e-05,1.413e-05,"{""numberLong"":""160268400""}"
1975-01-31,1.385e-05,1.413e-05,"{""numberLong"":""160354800""}"
1975-02-01,,,"{""numberLong"":""160441200""}"
1975-02-02,,,"{""numberLong"":""160527600""}"
1975-02-03,1.385e-05,1.413e-05,"{""numberLong"":""160614000""}"
1975-02-04,1.385e-05,1.413e-05,"{""numberLong"":""160700400""}"
1975-02-05,1.385e-05,1.413e-05,"{""numberLong"":""160786800""}"
1975-02-06,1.385e-05,1.413e-05,"{""numberLong"":""160873200""}"
1975-02-07,1.385e-05,1.413e-05,"{""numberLong"":""160959600""}"
1975-02-08,,,"{""numberLong"":""161046000""}"
1975-02-09,,,"{""numberLong"":""161132400""}"
1975-02-10,1.385e-05,1.413e-05,"{""numberLong"":""161218800""}"
1975-02-11,1.385e-05,1.413e-05,"{""numberLong"":""161305200""}"
1975-02-12,1.385e-05,1.413e-05,"{""numberLong"":""161391600""}"
1975-02-13,1.385e-05,1.413e-05,"{""numberLong"":""161478000""}"
1975-02-14,1.385e-05,1.413e-05,"{""numberLong"":""161564400""}"
1975-02-15,,,"{""numberLong"":""161650800""}"
