dt,KVDB19,KVDB04,KVDB07,KVDB12,UNIXTIME
1989-12-01,5745.0,734.0,3118.0,1828.0,"{""numberLong"":""628470000""}"
1990-01-01,,,,,"{""numberLong"":""631148400""}"
1990-02-01,,,,,"{""numberLong"":""633826800""}"
1990-03-01,6663.0,712.0,3758.0,2096.0,"{""numberLong"":""636246000""}"
1990-04-01,,,,,"{""numberLong"":""638920800""}"
1990-05-01,,,,,"{""numberLong"":""641512800""}"
1990-06-01,7387.0,703.0,4201.0,2358.0,"{""numberLong"":""644191200""}"
1990-07-01,,,,,"{""numberLong"":""646783200""}"
1990-08-01,,,,,"{""numberLong"":""649461600""}"
1990-09-01,8995.0,763.0,4980.0,3174.0,"{""numberLong"":""652140000""}"
1990-10-01,,,,,"{""numberLong"":""654735600""}"
1990-11-01,,,,,"{""numberLong"":""657414000""}"
1990-12-01,9500.0,780.0,5373.0,3272.0,"{""numberLong"":""660006000""}"
1991-01-01,,,,,"{""numberLong"":""662684400""}"
1991-02-01,,,,,"{""numberLong"":""665362800""}"
1991-03-01,9179.0,525.0,5469.0,3108.0,"{""numberLong"":""667782000""}"
1991-04-01,,,,,"{""numberLong"":""670456800""}"
1991-05-01,,,,,"{""numberLong"":""673048800""}"
1991-06-01,8822.0,501.0,5217.0,3090.0,"{""numberLong"":""675727200""}"
1991-07-01,,,,,"{""numberLong"":""678319200""}"
1991-08-01,,,,,"{""numberLong"":""680997600""}"
1991-09-01,8626.0,527.0,5027.0,3060.0,"{""numberLong"":""683676000""}"
1991-10-01,,,,,"{""numberLong"":""686271600""}"
1991-11-01,,,,,"{""numberLong"":""688950000""}"
1991-12-01,9117.0,554.0,5216.0,3344.0,"{""numberLong"":""691542000""}"
1992-01-01,,,,,"{""numberLong"":""694220400""}"
1992-02-01,,,,,"{""numberLong"":""696898800""}"
1992-03-01,9350.0,515.0,4536.0,4290.0,"{""numberLong"":""699404400""}"
1992-04-01,,,,,"{""numberLong"":""702079200""}"
1992-05-01,,,,,"{""numberLong"":""704671200""}"
1992-06-01,10648.0,561.0,5368.0,4710.0,"{""numberLong"":""707349600""}"
1992-07-01,,,,,"{""numberLong"":""709941600""}"
1992-08-01,,,,,"{""numberLong"":""712620000""}"
1992-09-01,12027.0,603.0,6205.0,5213.0,"{""numberLong"":""715298400""}"
1992-10-01,,,,,"{""numberLong"":""717894000""}"
1992-11-01,,,,,"{""numberLong"":""720572400""}"
1992-12-01,13156.0,570.0,7157.0,5427.0,"{""numberLong"":""723164400""}"
1993-01-01,,,,,"{""numberLong"":""725842800""}"
1993-02-01,,,,,"{""numberLong"":""728521200""}"
1993-03-01,12488.0,608.0,6874.0,4997.0,"{""numberLong"":""730940400""}"
1993-04-01,,,,,"{""numberLong"":""733615200""}"
1993-05-01,,,,,"{""numberLong"":""736207200""}"
1993-06-01,14610.0,621.0,8097.0,5880.0,"{""numberLong"":""738885600""}"
1993-07-01,,,,,"{""numberLong"":""741477600""}"
1993-08-01,,,,,"{""numberLong"":""744156000""}"
1993-09-01,15929.0,683.0,9651.0,5589.0,"{""numberLong"":""746834400""}"
1993-10-01,,,,,"{""numberLong"":""749430000""}"
1993-11-01,,,,,"{""numberLong"":""752108400""}"
1993-12-01,17639.0,666.0,11127.0,5845.0,"{""numberLong"":""754700400""}"
1994-01-01,,,,,"{""numberLong"":""757378800""}"
1994-02-01,,,,,"{""numberLong"":""760057200""}"
1994-03-01,14101.0,721.0,8877.0,4494.0,"{""numberLong"":""762476400""}"
1994-04-01,,,,,"{""numberLong"":""765151200""}"
1994-05-01,,,,,"{""numberLong"":""767743200""}"
1994-06-01,11722.0,771.0,6782.0,4161.0,"{""numberLong"":""770421600""}"
1994-07-01,,,,,"{""numberLong"":""773013600""}"
1994-08-01,,,,,"{""numberLong"":""775692000""}"
1994-09-01,11282.0,812.0,5988.0,4470.0,"{""numberLong"":""778370400""}"
1994-10-01,,,,,"{""numberLong"":""780966000""}"
1994-11-01,,,,,"{""numberLong"":""783644400""}"
1994-12-01,10743.0,823.0,4684.0,5231.0,"{""numberLong"":""786236400""}"
1995-01-01,,,,,"{""numberLong"":""788914800""}"
1995-02-01,,,,,"{""numberLong"":""791593200""}"
1995-03-01,11910.0,942.0,5809.0,5152.0,"{""numberLong"":""794012400""}"
1995-04-01,,,,,"{""numberLong"":""796687200""}"
1995-05-01,,,,,"{""numberLong"":""799279200""}"
1995-06-01,13176.0,966.0,6092.0,6106.0,"{""numberLong"":""801957600""}"
1995-07-01,,,,,"{""numberLong"":""804549600""}"
1995-08-01,,,,,"{""numberLong"":""807228000""}"
1995-09-01,14356.0,973.0,6770.0,6599.0,"{""numberLong"":""809906400""}"
