dt,KM_F01,KM_F19,KM_F35,KM_F16,UNIXTIME
1986-01-01,4002.3,1182.5,8911.5,726.6,"{""numberLong"":""504918000""}"
1986-02-01,4133.4,1321.2,9161.7,748.0,"{""numberLong"":""507596400""}"
1986-03-01,4528.1,1438.3,10303.1,774.3,"{""numberLong"":""510015600""}"
1986-04-01,4613.1,1603.2,10472.4,791.0,"{""numberLong"":""512690400""}"
1986-05-01,4736.4,1663.3,10774.1,794.5,"{""numberLong"":""515282400""}"
1986-06-01,4830.8,1901.8,11391.7,798.3,"{""numberLong"":""517960800""}"
1986-07-01,4886.4,1999.9,11472.0,763.3,"{""numberLong"":""520552800""}"
1986-08-01,4986.5,2053.6,11571.1,750.6,"{""numberLong"":""523231200""}"
1986-09-01,5082.4,2230.0,12089.4,748.8,"{""numberLong"":""525909600""}"
1986-10-01,5161.2,2295.5,12386.7,764.0,"{""numberLong"":""528505200""}"
1986-11-01,5280.0,2474.9,12765.7,766.0,"{""numberLong"":""531183600""}"
1986-12-01,5725.7,2719.7,15594.5,787.3,"{""numberLong"":""533775600""}"
1987-01-01,5537.5,2864.4,14180.2,774.9,"{""numberLong"":""536454000""}"
1987-02-01,5599.6,2857.8,14293.3,762.3,"{""numberLong"":""539132400""}"
1987-03-01,5706.9,2972.3,14854.8,759.3,"{""numberLong"":""541551600""}"
1987-04-01,5770.6,3074.1,15377.6,752.0,"{""numberLong"":""544226400""}"
1987-05-01,5875.5,3197.9,15151.9,754.5,"{""numberLong"":""546818400""}"
1987-06-01,5986.7,3379.8,16048.6,731.5,"{""numberLong"":""549496800""}"
1987-07-01,6029.8,3627.0,16406.0,873.2,"{""numberLong"":""552088800""}"
1987-08-01,6169.3,3926.0,17314.5,1004.4,"{""numberLong"":""554767200""}"
1987-09-01,6287.6,4216.1,18343.5,1155.2,"{""numberLong"":""557445600""}"
1987-10-01,6341.1,4474.8,18890.8,1212.5,"{""numberLong"":""560041200""}"
1987-11-01,6386.7,4881.9,19624.8,1247.9,"{""numberLong"":""562719600""}"
1987-12-01,6891.4,5550.4,23897.6,1367.3,"{""numberLong"":""565311600""}"
1988-01-01,6650.6,5815.2,22036.9,1428.0,"{""numberLong"":""567990000""}"
1988-02-01,7087.7,5923.2,22428.5,1352.0,"{""numberLong"":""570668400""}"
1988-03-01,7476.5,6065.2,23105.7,1227.0,"{""numberLong"":""573174000""}"
1988-04-01,7792.9,6213.2,23597.6,1107.8,"{""numberLong"":""575848800""}"
1988-05-01,8176.5,6353.4,24125.7,1073.1,"{""numberLong"":""578440800""}"
1988-06-01,8419.9,6348.3,24390.3,1044.5,"{""numberLong"":""581119200""}"
1988-07-01,8768.1,6643.9,25556.7,1001.3,"{""numberLong"":""583711200""}"
1988-08-01,9325.6,7404.8,27053.4,976.2,"{""numberLong"":""586389600""}"
1988-09-01,9706.7,8012.2,28502.5,968.7,"{""numberLong"":""589068000""}"
1988-10-01,10468.4,8434.1,30475.5,1042.0,"{""numberLong"":""591663600""}"
1988-11-01,11460.9,9102.9,32933.5,1155.4,"{""numberLong"":""594342000""}"
1988-12-01,12609.2,9411.7,38012.5,1251.0,"{""numberLong"":""596934000""}"
1989-01-01,13182.1,9437.2,36692.9,1387.5,"{""numberLong"":""599612400""}"
1989-02-01,14123.3,9795.8,38895.0,1509.2,"{""numberLong"":""602290800""}"
1989-03-01,14698.1,10185.4,39807.7,1604.7,"{""numberLong"":""604710000""}"
1989-04-01,15313.5,10451.7,41247.4,1681.2,"{""numberLong"":""607384800""}"
1989-05-01,15987.7,10218.2,41842.5,1718.2,"{""numberLong"":""609976800""}"
1989-06-01,16327.5,10606.9,43494.7,1697.6,"{""numberLong"":""612655200""}"
1989-07-01,16909.2,11059.3,44861.8,1651.6,"{""numberLong"":""615247200""}"
1989-08-01,18026.5,11387.2,46220.7,1606.0,"{""numberLong"":""617925600""}"
1989-09-01,19085.2,11914.1,48569.7,1597.2,"{""numberLong"":""620604000""}"
1989-10-01,20823.9,12651.9,53097.8,1687.6,"{""numberLong"":""623199600""}"
1989-11-01,21812.2,13052.8,54993.4,1834.4,"{""numberLong"":""625878000""}"
1989-12-01,22812.9,13928.3,61648.1,1978.7,"{""numberLong"":""628470000""}"
1990-01-01,23481.2,14234.5,61833.2,2108.4,"{""numberLong"":""631148400""}"
