dt,FA_F04,FA_F05,FA_F07,FA_F02,UNIXTIME
1984-04-01,0.0,0.0,45.0,5.0,"{""numberLong"":""449618400""}"
1984-05-01,0.0,0.0,45.0,5.0,"{""numberLong"":""452210400""}"
1984-06-01,0.0,0.0,45.0,5.0,"{""numberLong"":""454888800""}"
1984-07-01,0.0,0.0,45.0,5.0,"{""numberLong"":""457480800""}"
1984-08-01,0.0,0.0,45.0,5.0,"{""numberLong"":""460159200""}"
1984-09-01,0.0,0.0,45.0,5.0,"{""numberLong"":""462837600""}"
1984-10-01,0.0,0.0,45.0,5.0,"{""numberLong"":""465433200""}"
1984-11-01,0.0,0.0,45.0,5.0,"{""numberLong"":""468111600""}"
1984-12-01,0.0,0.0,45.0,5.0,"{""numberLong"":""470703600""}"
1985-01-01,35.0,45.0,55.0,5.0,"{""numberLong"":""473382000""}"
1985-02-01,35.0,45.0,55.0,5.0,"{""numberLong"":""476060400""}"
1985-03-01,35.0,45.0,55.0,5.0,"{""numberLong"":""478479600""}"
1985-04-01,35.0,45.0,55.0,5.0,"{""numberLong"":""481154400""}"
1985-05-01,35.0,45.0,55.0,5.0,"{""numberLong"":""483746400""}"
1985-06-01,35.0,45.0,55.0,5.0,"{""numberLong"":""486424800""}"
1985-07-01,35.0,45.0,55.0,5.0,"{""numberLong"":""489016800""}"
1985-08-01,35.0,45.0,55.0,5.0,"{""numberLong"":""491695200""}"
1985-09-01,35.0,45.0,55.0,5.0,"{""numberLong"":""494373600""}"
1985-10-01,35.0,45.0,55.0,5.0,"{""numberLong"":""496969200""}"
1985-11-01,35.0,45.0,55.0,5.0,"{""numberLong"":""499647600""}"
1985-12-01,35.0,45.0,55.0,5.0,"{""numberLong"":""502239600""}"
1986-01-01,29.0,36.0,48.0,10.0,"{""numberLong"":""504918000""}"
1986-02-01,29.0,36.0,48.0,10.0,"{""numberLong"":""507596400""}"
1986-03-01,29.0,36.0,48.0,10.0,"{""numberLong"":""510015600""}"
1986-04-01,29.0,36.0,48.0,10.0,"{""numberLong"":""512690400""}"
1986-05-01,29.0,36.0,48.0,10.0,"{""numberLong"":""515282400""}"
1986-06-01,29.0,36.0,48.0,10.0,"{""numberLong"":""517960800""}"
1986-07-01,29.0,36.0,48.0,10.0,"{""numberLong"":""520552800""}"
1986-08-01,29.0,36.0,48.0,10.0,"{""numberLong"":""523231200""}"
1986-09-01,29.0,36.0,48.0,10.0,"{""numberLong"":""525909600""}"
1986-10-01,29.0,36.0,48.0,10.0,"{""numberLong"":""528505200""}"
1986-11-01,29.0,36.0,48.0,10.0,"{""numberLong"":""531183600""}"
1986-12-01,29.0,36.0,48.0,10.0,"{""numberLong"":""533775600""}"
1987-01-01,28.0,35.0,52.0,10.0,"{""numberLong"":""536454000""}"
1987-02-01,28.0,35.0,52.0,10.0,"{""numberLong"":""539132400""}"
1987-03-01,28.0,35.0,52.0,10.0,"{""numberLong"":""541551600""}"
1987-04-01,28.0,35.0,52.0,10.0,"{""numberLong"":""544226400""}"
1987-05-01,28.0,35.0,52.0,10.0,"{""numberLong"":""546818400""}"
1987-06-01,28.0,35.0,52.0,10.0,"{""numberLong"":""549496800""}"
1987-07-01,28.0,35.0,52.0,10.0,"{""numberLong"":""552088800""}"
1987-08-01,28.0,35.0,52.0,10.0,"{""numberLong"":""554767200""}"
1987-09-01,28.0,35.0,52.0,10.0,"{""numberLong"":""557445600""}"
1987-10-01,28.0,35.0,52.0,10.0,"{""numberLong"":""560041200""}"
1987-11-01,28.0,35.0,52.0,10.0,"{""numberLong"":""562719600""}"
1987-12-01,28.0,35.0,52.0,10.0,"{""numberLong"":""565311600""}"
1988-01-01,28.0,35.0,52.0,10.0,"{""numberLong"":""567990000""}"
1988-02-01,40.0,45.0,65.0,36.0,"{""numberLong"":""570668400""}"
1988-03-01,40.0,45.0,65.0,36.0,"{""numberLong"":""573174000""}"
1988-04-01,40.0,45.0,65.0,36.0,"{""numberLong"":""575848800""}"
1988-05-01,40.0,45.0,65.0,36.0,"{""numberLong"":""578440800""}"
1988-06-01,40.0,45.0,65.0,36.0,"{""numberLong"":""581119200""}"
1988-07-01,40.0,45.0,65.0,30.0,"{""numberLong"":""583711200""}"
1988-08-01,35.0,42.0,64.0,25.0,"{""numberLong"":""586389600""}"
1988-09-01,35.0,42.0,64.0,10.0,"{""numberLong"":""589068000""}"
1988-10-01,59.6,67.1,85.0,25.6,"{""numberLong"":""591663600""}"
1988-11-01,60.9,66.8,85.0,28.0,"{""numberLong"":""594342000""}"
1988-12-01,60.1,66.1,83.9,27.9,"{""numberLong"":""596934000""}"
1989-01-01,56.72,62.78,78.3,19.83,"{""numberLong"":""599612400""}"
1989-02-01,55.2,61.17,75.87,16.03,"{""numberLong"":""602290800""}"
1989-03-01,50.66,57.37,70.49,14.25,"{""numberLong"":""604710000""}"
1989-04-01,48.34,55.12,68.24,13.98,"{""numberLong"":""607384800""}"
1989-05-01,45.54,52.49,65.53,11.83,"{""numberLong"":""609976800""}"
1989-06-01,41.65,50.51,63.42,11.78,"{""numberLong"":""612655200""}"
1989-07-01,41.62,51.21,64.37,11.82,"{""numberLong"":""615247200""}"
1989-08-01,42.25,51.64,64.46,11.88,"{""numberLong"":""617925600""}"
1989-09-01,42.21,51.61,63.88,11.87,"{""numberLong"":""620604000""}"
1989-10-01,41.83,51.53,61.87,11.95,"{""numberLong"":""623199600""}"
1989-11-01,41.49,50.97,60.21,11.99,"{""numberLong"":""625878000""}"
1989-12-01,39.23,49.08,58.83,12.0,"{""numberLong"":""628470000""}"
1990-01-01,37.26,47.5,57.63,12.15,"{""numberLong"":""631148400""}"
1990-02-01,36.25,46.73,56.73,12.17,"{""numberLong"":""633826800""}"
1990-03-01,35.96,46.67,56.66,12.13,"{""numberLong"":""636246000""}"
1990-04-01,35.99,46.71,56.68,12.09,"{""numberLong"":""638920800""}"
1990-05-01,36.02,46.85,56.69,12.1,"{""numberLong"":""641512800""}"
1990-06-01,36.21,46.89,56.83,12.03,"{""numberLong"":""644191200""}"
1990-07-01,36.24,46.96,56.9,12.1,"{""numberLong"":""646783200""}"
1990-08-01,36.27,47.01,56.89,12.1,"{""numberLong"":""649461600""}"
1990-09-01,36.37,47.11,56.94,12.12,"{""numberLong"":""652140000""}"
1990-10-01,36.93,47.76,57.59,12.23,"{""numberLong"":""654735600""}"
1990-11-01,37.77,48.96,58.48,12.21,"{""numberLong"":""657414000""}"
1990-12-01,38.69,50.65,59.35,12.08,"{""numberLong"":""660006000""}"
1991-01-01,40.01,51.92,59.84,11.96,"{""numberLong"":""662684400""}"
1991-02-01,42.26,53.36,61.2,12.51,"{""numberLong"":""665362800""}"
1991-03-01,45.97,59.31,64.39,13.13,"{""numberLong"":""667782000""}"
1991-04-01,48.35,60.81,64.46,12.81,"{""numberLong"":""670456800""}"
1991-05-01,51.96,61.96,66.04,12.1,"{""numberLong"":""673048800""}"
1991-06-01,52.13,61.4,61.91,12.12,"{""numberLong"":""675727200""}"
1991-07-01,52.75,62.1,62.46,12.27,"{""numberLong"":""678319200""}"
1991-08-01,53.82,63.79,64.2,12.26,"{""numberLong"":""680997600""}"
1991-09-01,57.47,68.5,71.09,12.34,"{""numberLong"":""683676000""}"
1991-10-01,57.9,69.62,72.46,12.47,"{""numberLong"":""686271600""}"
1991-11-01,58.14,69.79,72.84,12.06,"{""numberLong"":""688950000""}"
1991-12-01,58.02,69.6,72.7,12.28,"{""numberLong"":""691542000""}"
1992-01-01,57.38,68.67,72.24,12.07,"{""numberLong"":""694220400""}"
1992-02-01,56.87,68.05,71.71,11.98,"{""numberLong"":""696898800""}"
1992-03-01,56.91,67.98,71.71,11.88,"{""numberLong"":""699404400""}"
1992-04-01,58.01,69.23,73.95,11.71,"{""numberLong"":""702079200""}"
1992-05-01,58.43,69.43,74.49,11.76,"{""numberLong"":""704671200""}"
1992-06-01,58.42,69.69,74.74,11.94,"{""numberLong"":""707349600""}"
1992-07-01,57.94,69.4,74.73,11.74,"{""numberLong"":""709941600""}"
1992-08-01,57.06,68.42,74.11,11.03,"{""numberLong"":""712620000""}"
1992-09-01,57.12,68.11,73.89,10.79,"{""numberLong"":""715298400""}"
1992-10-01,57.07,68.02,73.81,10.7,"{""numberLong"":""717894000""}"
1992-11-01,57.54,68.79,74.18,10.63,"{""numberLong"":""720572400""}"
1992-12-01,57.6,69.05,74.24,10.99,"{""numberLong"":""723164400""}"
1993-01-01,57.66,69.06,74.2,10.86,"{""numberLong"":""725842800""}"
1993-02-01,54.95,66.44,74.46,10.85,"{""numberLong"":""728521200""}"
1993-03-01,52.74,63.66,74.02,10.7,"{""numberLong"":""730940400""}"
1993-04-01,52.81,63.79,74.03,10.74,"{""numberLong"":""733615200""}"
1993-05-01,52.83,63.99,74.57,10.84,"{""numberLong"":""736207200""}"
1993-06-01,52.82,63.97,74.59,10.82,"{""numberLong"":""738885600""}"
1993-07-01,52.82,63.98,74.53,10.66,"{""numberLong"":""741477600""}"
1993-08-01,52.83,64.0,74.55,10.74,"{""numberLong"":""744156000""}"
1993-09-01,52.86,63.99,74.52,10.76,"{""numberLong"":""746834400""}"
1993-10-01,52.85,63.98,74.6,10.74,"{""numberLong"":""749430000""}"
1993-11-01,52.9,64.02,74.68,10.88,"{""numberLong"":""752108400""}"
1993-12-01,52.88,64.01,74.76,11.11,"{""numberLong"":""754700400""}"
1994-01-01,56.35,67.71,78.07,11.02,"{""numberLong"":""757378800""}"
1994-02-01,68.67,85.41,94.98,10.92,"{""numberLong"":""760057200""}"
1994-03-01,71.42,87.05,96.9,18.65,"{""numberLong"":""762476400""}"
1994-04-01,116.14,131.4,117.18,18.04,"{""numberLong"":""765151200""}"
1994-05-01,118.71,131.8,121.31,15.47,"{""numberLong"":""767743200""}"
1994-06-01,114.53,121.68,125.29,14.48,"{""numberLong"":""770421600""}"
1994-07-01,64.46,79.28,116.05,10.55,"{""numberLong"":""773013600""}"
1994-08-01,54.46,67.54,96.9,7.51,"{""numberLong"":""775692000""}"
1994-09-01,54.37,67.29,98.07,6.64,"{""numberLong"":""778370400""}"
1994-10-01,49.74,62.52,96.08,5.05,"{""numberLong"":""780966000""}"
1994-11-01,59.79,74.5,95.25,5.02,"{""numberLong"":""783644400""}"
1994-12-01,61.79,77.31,95.56,5.05,"{""numberLong"":""786236400""}"
1995-01-01,73.06,86.98,100.9,5.64,"{""numberLong"":""788914800""}"
1995-02-01,71.87,87.43,100.68,10.58,"{""numberLong"":""791593200""}"
1995-03-01,64.64,78.68,95.97,11.38,"{""numberLong"":""794012400""}"
1995-04-01,62.28,73.72,91.51,11.99,"{""numberLong"":""796687200""}"
1995-05-01,62.83,73.07,90.81,11.69,"{""numberLong"":""799279200""}"
1995-06-01,62.35,73.13,91.09,12.3,"{""numberLong"":""801957600""}"
1995-07-01,58.3,69.11,86.79,11.64,"{""numberLong"":""804549600""}"
1995-08-01,58.7,68.83,86.44,11.68,"{""numberLong"":""807228000""}"
1995-09-01,60.8,69.11,86.48,11.67,"{""numberLong"":""809906400""}"
1995-10-01,60.21,69.42,86.58,12.26,"{""numberLong"":""812502000""}"
1995-11-01,73.81,78.21,90.25,11.84,"{""numberLong"":""815180400""}"
1995-12-01,83.66,83.92,92.32,13.48,"{""numberLong"":""817772400""}"
1996-01-01,85.3,85.48,93.15,13.59,"{""numberLong"":""820450800""}"
1996-02-01,83.35,84.83,93.67,16.03,"{""numberLong"":""823129200""}"
1996-03-01,80.53,82.71,92.67,15.94,"{""numberLong"":""825634800""}"
1996-04-01,76.86,79.74,91.81,14.55,"{""numberLong"":""828309600""}"
1996-05-01,75.76,79.44,91.62,17.3,"{""numberLong"":""830901600""}"
1996-06-01,75.61,79.11,91.57,15.11,"{""numberLong"":""833580000""}"
1996-07-01,75.5,79.62,92.45,14.27,"{""numberLong"":""836172000""}"
1996-08-01,75.64,79.69,92.78,13.88,"{""numberLong"":""838850400""}"
1996-09-01,75.44,79.63,93.24,13.21,"{""numberLong"":""841528800""}"
1996-10-01,75.04,79.45,93.04,15.66,"{""numberLong"":""844120800""}"
1996-11-01,75.53,79.64,93.72,18.69,"{""numberLong"":""846802800""}"
1996-12-01,76.06,79.68,93.77,19.29,"{""numberLong"":""849394800""}"
