dt,DK_REER3,DK_REER4,UNIXTIME
1980-01-01,176.4,188.5,"{""numberLong"":""315529200""}"
1980-02-01,130.0,147.4,"{""numberLong"":""318207600""}"
1980-03-01,143.5,156.9,"{""numberLong"":""320713200""}"
1980-04-01,148.0,158.7,"{""numberLong"":""323388000""}"
1980-05-01,154.5,154.4,"{""numberLong"":""325980000""}"
1980-06-01,143.1,149.9,"{""numberLong"":""328658400""}"
1980-07-01,141.9,146.0,"{""numberLong"":""331250400""}"
1980-08-01,140.7,146.0,"{""numberLong"":""333928800""}"
1980-09-01,143.5,149.9,"{""numberLong"":""336607200""}"
1980-10-01,144.7,156.2,"{""numberLong"":""339202800""}"
1980-11-01,142.6,157.5,"{""numberLong"":""341881200""}"
1980-12-01,141.1,160.8,"{""numberLong"":""344473200""}"
1981-01-01,149.8,164.3,"{""numberLong"":""347151600""}"
1981-02-01,149.4,163.7,"{""numberLong"":""349830000""}"
1981-03-01,147.9,161.4,"{""numberLong"":""352249200""}"
1981-04-01,149.5,158.7,"{""numberLong"":""354924000""}"
1981-05-01,152.2,161.6,"{""numberLong"":""357516000""}"
1981-06-01,148.2,167.6,"{""numberLong"":""360194400""}"
1981-07-01,151.5,161.3,"{""numberLong"":""362786400""}"
1981-08-01,144.7,155.9,"{""numberLong"":""365464800""}"
1981-09-01,142.6,154.3,"{""numberLong"":""368143200""}"
1981-10-01,136.9,147.6,"{""numberLong"":""370738800""}"
1981-11-01,131.8,145.1,"{""numberLong"":""373417200""}"
1981-12-01,131.1,145.0,"{""numberLong"":""376009200""}"
1982-01-01,136.9,143.5,"{""numberLong"":""378687600""}"
1982-02-01,136.3,145.1,"{""numberLong"":""381366000""}"
1982-03-01,139.1,149.5,"{""numberLong"":""383785200""}"
1982-04-01,138.5,150.7,"{""numberLong"":""386460000""}"
1982-05-01,132.9,146.6,"{""numberLong"":""389052000""}"
1982-06-01,131.4,145.2,"{""numberLong"":""391730400""}"
1982-07-01,129.4,144.2,"{""numberLong"":""394322400""}"
1982-08-01,126.9,142.5,"{""numberLong"":""397000800""}"
1982-09-01,128.7,142.3,"{""numberLong"":""399679200""}"
1982-10-01,131.4,142.7,"{""numberLong"":""402274800""}"
1982-11-01,132.1,141.6,"{""numberLong"":""404953200""}"
1982-12-01,129.0,134.5,"{""numberLong"":""407545200""}"
1983-01-01,131.0,143.3,"{""numberLong"":""410223600""}"
1983-02-01,132.2,144.7,"{""numberLong"":""412902000""}"
1983-03-01,131.8,144.1,"{""numberLong"":""415321200""}"
1983-04-01,129.0,141.1,"{""numberLong"":""417996000""}"
1983-05-01,127.1,140.7,"{""numberLong"":""420588000""}"
1983-06-01,127.1,140.8,"{""numberLong"":""423266400""}"
1983-07-01,125.8,139.2,"{""numberLong"":""425858400""}"
1983-08-01,125.4,138.4,"{""numberLong"":""428536800""}"
1983-09-01,124.7,136.4,"{""numberLong"":""431215200""}"
1983-10-01,126.7,135.4,"{""numberLong"":""433810800""}"
1983-11-01,127.9,137.2,"{""numberLong"":""436489200""}"
1983-12-01,127.0,136.3,"{""numberLong"":""439081200""}"
1984-01-01,120.3,129.0,"{""numberLong"":""441759600""}"
1984-02-01,116.0,126.6,"{""numberLong"":""444438000""}"
1984-03-01,114.3,125.0,"{""numberLong"":""446943600""}"
1984-04-01,116.8,130.1,"{""numberLong"":""449618400""}"
1984-05-01,117.7,134.0,"{""numberLong"":""452210400""}"
1984-06-01,121.2,135.9,"{""numberLong"":""454888800""}"
1984-07-01,121.6,133.8,"{""numberLong"":""457480800""}"
1984-08-01,122.3,135.8,"{""numberLong"":""460159200""}"
1984-09-01,123.3,137.5,"{""numberLong"":""462837600""}"
1984-10-01,126.0,139.2,"{""numberLong"":""465433200""}"
1984-11-01,127.2,140.3,"{""numberLong"":""468111600""}"
1984-12-01,127.5,140.6,"{""numberLong"":""470703600""}"
1985-01-01,131.2,143.1,"{""numberLong"":""473382000""}"
1985-02-01,133.8,148.1,"{""numberLong"":""476060400""}"
1985-03-01,133.5,148.8,"{""numberLong"":""478479600""}"
1985-04-01,124.9,141.5,"{""numberLong"":""481154400""}"
1985-05-01,122.7,139.1,"{""numberLong"":""483746400""}"
1985-06-01,118.0,133.4,"{""numberLong"":""486424800""}"
1985-07-01,115.2,129.3,"{""numberLong"":""489016800""}"
1985-08-01,114.8,127.8,"{""numberLong"":""491695200""}"
1985-09-01,117.8,129.0,"{""numberLong"":""494373600""}"
1985-10-01,118.6,128.8,"{""numberLong"":""496969200""}"
1985-11-01,119.7,128.1,"{""numberLong"":""499647600""}"
1985-12-01,116.5,125.4,"{""numberLong"":""502239600""}"
1986-01-01,114.8,125.4,"{""numberLong"":""504918000""}"
1986-02-01,112.2,123.6,"{""numberLong"":""507596400""}"
1986-03-01,103.3,114.4,"{""numberLong"":""510015600""}"
1986-04-01,98.9,111.9,"{""numberLong"":""512690400""}"
1986-05-01,97.9,111.0,"{""numberLong"":""515282400""}"
1986-06-01,99.1,111.2,"{""numberLong"":""517960800""}"
1986-07-01,98.8,110.6,"{""numberLong"":""520552800""}"
1986-08-01,96.6,107.6,"{""numberLong"":""523231200""}"
1986-09-01,96.1,107.2,"{""numberLong"":""525909600""}"
1986-10-01,99.7,108.5,"{""numberLong"":""528505200""}"
1986-11-01,97.0,105.0,"{""numberLong"":""531183600""}"
1986-12-01,95.9,103.2,"{""numberLong"":""533775600""}"
1987-01-01,93.7,102.3,"{""numberLong"":""536454000""}"
1987-02-01,93.7,101.9,"{""numberLong"":""539132400""}"
1987-03-01,94.9,103.2,"{""numberLong"":""541551600""}"
1987-04-01,93.1,102.1,"{""numberLong"":""544226400""}"
1987-05-01,94.5,103.3,"{""numberLong"":""546818400""}"
1987-06-01,92.3,101.5,"{""numberLong"":""549496800""}"
1987-07-01,91.8,100.7,"{""numberLong"":""552088800""}"
1987-08-01,90.9,100.8,"{""numberLong"":""554767200""}"
1987-09-01,89.2,98.2,"{""numberLong"":""557445600""}"
1987-10-01,89.9,97.7,"{""numberLong"":""560041200""}"
1987-11-01,89.5,94.1,"{""numberLong"":""562719600""}"
1987-12-01,93.3,97.6,"{""numberLong"":""565311600""}"
1988-01-01,93.8,99.1,"{""numberLong"":""567990000""}"
1988-02-01,92.8,100.5,"{""numberLong"":""570668400""}"
1988-03-01,92.5,101.6,"{""numberLong"":""573174000""}"
1988-04-01,93.4,101.0,"{""numberLong"":""575848800""}"
1988-05-01,93.6,99.1,"{""numberLong"":""578440800""}"
1988-06-01,92.7,98.0,"{""numberLong"":""581119200""}"
1988-07-01,93.1,99.3,"{""numberLong"":""583711200""}"
1988-08-01,91.5,98.7,"{""numberLong"":""586389600""}"
1988-09-01,90.5,96.6,"{""numberLong"":""589068000""}"
1988-10-01,85.9,91.1,"{""numberLong"":""591663600""}"
1988-11-01,87.1,92.4,"{""numberLong"":""594342000""}"
1988-12-01,85.3,92.0,"{""numberLong"":""596934000""}"
1989-01-01,90.4,97.5,"{""numberLong"":""599612400""}"
1989-02-01,92.2,98.5,"{""numberLong"":""602290800""}"
1989-03-01,91.8,98.8,"{""numberLong"":""604710000""}"
1989-04-01,93.6,100.0,"{""numberLong"":""607384800""}"
1989-05-01,98.4,106.8,"{""numberLong"":""609976800""}"
1989-06-01,99.6,109.7,"{""numberLong"":""612655200""}"
1989-07-01,98.3,110.4,"{""numberLong"":""615247200""}"
1989-08-01,99.8,110.9,"{""numberLong"":""617925600""}"
1989-09-01,104.5,113.0,"{""numberLong"":""620604000""}"
1989-10-01,103.1,107.9,"{""numberLong"":""623199600""}"
1989-11-01,107.3,112.4,"{""numberLong"":""625878000""}"
1989-12-01,106.5,114.0,"{""numberLong"":""628470000""}"
1990-01-01,106.9,115.1,"{""numberLong"":""631148400""}"
1990-02-01,107.9,116.7,"{""numberLong"":""633826800""}"
1990-03-01,111.0,119.3,"{""numberLong"":""636246000""}"
1990-04-01,115.0,119.2,"{""numberLong"":""638920800""}"
1990-05-01,114.3,116.7,"{""numberLong"":""641512800""}"
1990-06-01,113.0,115.7,"{""numberLong"":""644191200""}"
1990-07-01,107.5,113.1,"{""numberLong"":""646783200""}"
1990-08-01,105.5,112.7,"{""numberLong"":""649461600""}"
1990-09-01,111.9,116.3,"{""numberLong"":""652140000""}"
1990-10-01,115.1,117.0,"{""numberLong"":""654735600""}"
1990-11-01,117.5,116.9,"{""numberLong"":""657414000""}"
1990-12-01,117.0,117.6,"{""numberLong"":""660006000""}"
1991-01-01,118.2,118.1,"{""numberLong"":""662684400""}"
1991-02-01,116.3,116.6,"{""numberLong"":""665362800""}"
1991-03-01,113.8,115.5,"{""numberLong"":""667782000""}"
1991-04-01,117.6,118.1,"{""numberLong"":""670456800""}"
1991-05-01,116.1,116.5,"{""numberLong"":""673048800""}"
1991-06-01,115.5,114.5,"{""numberLong"":""675727200""}"
1991-07-01,112.6,113.1,"{""numberLong"":""678319200""}"
1991-08-01,111.4,112.9,"{""numberLong"":""680997600""}"
1991-09-01,112.2,112.0,"{""numberLong"":""683676000""}"
1991-10-01,113.5,110.6,"{""numberLong"":""686271600""}"
1991-11-01,113.4,109.3,"{""numberLong"":""688950000""}"
1991-12-01,112.9,109.1,"{""numberLong"":""691542000""}"
1992-01-01,117.1,115.2,"{""numberLong"":""694220400""}"
1992-02-01,117.2,115.6,"{""numberLong"":""696898800""}"
1992-03-01,116.4,114.6,"{""numberLong"":""699404400""}"
1992-04-01,113.5,110.4,"{""numberLong"":""702079200""}"
1992-05-01,107.9,104.7,"{""numberLong"":""704671200""}"
1992-06-01,103.0,99.7,"{""numberLong"":""707349600""}"
1992-07-01,99.3,96.8,"{""numberLong"":""709941600""}"
1992-08-01,99.3,97.7,"{""numberLong"":""712620000""}"
1992-09-01,104.3,101.6,"{""numberLong"":""715298400""}"
1992-10-01,111.1,106.7,"{""numberLong"":""717894000""}"
