dt,YEARWEEK,AB_TOPLAM,AB_C1,AB_C2,UNIXTIME
1987-12-04,1987-49,,,,"{""numberLong"":""565570800""}"
1987-12-11,1987-50,,,,"{""numberLong"":""566175600""}"
1987-12-18,1987-51,,,,"{""numberLong"":""566780400""}"
1987-12-25,1987-52,2740.0,1234.0,1506.0,"{""numberLong"":""567385200""}"
1988-01-01,1988-1,,,,"{""numberLong"":""567990000""}"
1988-01-08,1988-2,2621.9,1232.0,1389.9,"{""numberLong"":""568594800""}"
1988-01-15,1988-3,2844.9,1231.2,1613.7,"{""numberLong"":""569199600""}"
1988-01-22,1988-4,2958.5,1230.1,1728.4,"{""numberLong"":""569804400""}"
1988-01-29,1988-5,2901.8,1228.5,1673.3,"{""numberLong"":""570409200""}"
1988-02-05,1988-6,2811.0,1227.3,1583.7,"{""numberLong"":""571014000""}"
1988-02-12,1988-7,2872.9,1217.5,1655.4,"{""numberLong"":""571618800""}"
1988-02-19,1988-8,2831.0,1216.5,1614.5,"{""numberLong"":""572223600""}"
1988-02-26,1988-9,2884.3,1215.8,1668.5,"{""numberLong"":""572828400""}"
1988-03-04,1988-10,2816.4,1227.7,1588.7,"{""numberLong"":""573433200""}"
1988-03-11,1988-11,2991.8,1226.4,1765.4,"{""numberLong"":""574038000""}"
1988-03-18,1988-12,3263.6,1535.7,1727.9,"{""numberLong"":""574642800""}"
1988-03-25,1988-13,3178.3,1535.0,1643.3,"{""numberLong"":""575247600""}"
1988-04-01,1988-14,3128.1,1534.7,1593.4,"{""numberLong"":""575848800""}"
1988-04-08,1988-15,3082.1,1533.9,1548.2,"{""numberLong"":""576453600""}"
1988-04-15,1988-16,3119.8,1533.5,1586.3,"{""numberLong"":""577058400""}"
1988-04-22,1988-17,3201.2,1532.7,1668.5,"{""numberLong"":""577663200""}"
1988-04-29,1988-18,3197.9,1532.1,1665.8,"{""numberLong"":""578268000""}"
1988-05-06,1988-19,3116.4,1532.0,1584.4,"{""numberLong"":""578872800""}"
1988-05-13,1988-20,3419.9,1531.9,1888.0,"{""numberLong"":""579477600""}"
1988-05-20,1988-21,3389.9,1534.3,1855.6,"{""numberLong"":""580082400""}"
1988-05-27,1988-22,3348.1,1531.6,1816.5,"{""numberLong"":""580687200""}"
1988-06-03,1988-23,3048.9,1531.6,1517.3,"{""numberLong"":""581292000""}"
1988-06-10,1988-24,3240.0,1531.4,1708.6,"{""numberLong"":""581896800""}"
1988-06-17,1988-25,3260.5,1531.3,1729.2,"{""numberLong"":""582501600""}"
1988-06-24,1988-26,3336.1,1531.1,1805.0,"{""numberLong"":""583106400""}"
1988-07-01,1988-27,3454.7,1530.8,1923.9,"{""numberLong"":""583711200""}"
1988-07-08,1988-28,3342.7,1530.5,1812.2,"{""numberLong"":""584316000""}"
1988-07-15,1988-29,3103.1,1530.4,1572.7,"{""numberLong"":""584920800""}"
1988-07-22,1988-30,3159.5,1530.0,1629.5,"{""numberLong"":""585525600""}"
1988-07-29,1988-31,3089.7,1529.9,1559.8,"{""numberLong"":""586130400""}"
1988-08-05,1988-32,3136.7,1529.4,1607.3,"{""numberLong"":""586735200""}"
1988-08-12,1988-33,3162.5,1536.5,1626.0,"{""numberLong"":""587340000""}"
1988-08-19,1988-34,3128.4,1535.9,1592.5,"{""numberLong"":""587944800""}"
1988-08-26,1988-35,3089.7,1535.7,1554.0,"{""numberLong"":""588549600""}"
1988-09-02,1988-36,2994.2,1535.6,1458.6,"{""numberLong"":""589154400""}"
1988-09-09,1988-37,3199.4,1535.1,1664.3,"{""numberLong"":""589759200""}"
1988-09-16,1988-38,3103.4,1534.8,1568.6,"{""numberLong"":""590364000""}"
1988-09-23,1988-39,3195.2,1534.4,1660.8,"{""numberLong"":""590968800""}"
1988-09-30,1988-40,3517.2,1534.0,1983.2,"{""numberLong"":""591577200""}"
1988-10-07,1988-41,3609.8,1533.7,2076.1,"{""numberLong"":""592182000""}"
1988-10-14,1988-42,3642.3,1533.7,2108.6,"{""numberLong"":""592786800""}"
1988-10-21,1988-43,3652.0,1533.4,2118.6,"{""numberLong"":""593391600""}"
1988-10-28,1988-44,3668.0,1533.2,2134.8,"{""numberLong"":""593996400""}"
1988-11-04,1988-45,3747.8,1532.2,2215.6,"{""numberLong"":""594601200""}"
1988-11-11,1988-46,4025.9,1532.1,2493.8,"{""numberLong"":""595206000""}"
1988-11-18,1988-47,4017.3,1533.0,2484.3,"{""numberLong"":""595810800""}"
1988-11-25,1988-48,4032.1,1532.9,2499.2,"{""numberLong"":""596415600""}"
1988-12-02,1988-49,3993.5,1532.7,2460.8,"{""numberLong"":""597020400""}"
1988-12-09,1988-50,3984.6,1532.4,2452.2,"{""numberLong"":""597625200""}"
1988-12-16,1988-51,3899.7,1532.1,2367.6,"{""numberLong"":""598230000""}"
1988-12-23,1988-52,4011.5,1532.0,2479.5,"{""numberLong"":""598834800""}"
1988-12-30,1988-53,3846.9,1531.9,2315.0,"{""numberLong"":""599439600""}"
1989-01-06,1989-1,4012.1,1531.9,2480.2,"{""numberLong"":""600044400""}"
1989-01-13,1989-2,3933.9,1531.7,2402.2,"{""numberLong"":""600649200""}"
1989-01-20,1989-3,3867.3,1531.1,2336.2,"{""numberLong"":""601254000""}"
1989-01-27,1989-4,3853.6,1531.1,2322.5,"{""numberLong"":""601858800""}"
1989-02-03,1989-5,3872.6,1530.7,2341.9,"{""numberLong"":""602463600""}"
1989-02-10,1989-6,4008.2,1530.5,2477.7,"{""numberLong"":""603068400""}"
1989-02-17,1989-7,4049.8,1521.8,2528.0,"{""numberLong"":""603673200""}"
1989-02-24,1989-8,4008.8,1521.0,2487.8,"{""numberLong"":""604278000""}"
1989-03-03,1989-9,3787.7,1519.4,2268.3,"{""numberLong"":""604882800""}"
1989-03-10,1989-10,3835.0,1366.2,2468.8,"{""numberLong"":""605487600""}"
1989-03-17,1989-11,3652.7,1366.3,2286.4,"{""numberLong"":""606092400""}"
