dt,AB_B6,AB_B4,AB_B2,AB_B1,UNIXTIME
1981-01-01,1665.0,1459.6,1305.0,154.6,"{""numberLong"":""347151600""}"
1981-02-01,1545.0,1320.7,1166.1,154.6,"{""numberLong"":""349830000""}"
1981-03-01,1522.0,1212.5,1057.9,154.6,"{""numberLong"":""352249200""}"
1981-04-01,1457.0,1230.6,1076.0,154.6,"{""numberLong"":""354924000""}"
1981-05-01,1312.0,1048.0,893.4,154.6,"{""numberLong"":""357516000""}"
1981-06-01,1240.0,1013.4,858.8,154.6,"{""numberLong"":""360194400""}"
1981-07-01,1481.0,1184.4,1029.8,154.6,"{""numberLong"":""362786400""}"
1981-08-01,1855.0,1489.6,1335.0,154.6,"{""numberLong"":""365464800""}"
1981-09-01,2058.0,1629.6,1475.0,154.6,"{""numberLong"":""368143200""}"
1981-10-01,1954.0,1588.7,1434.1,154.6,"{""numberLong"":""370738800""}"
1981-11-01,1933.0,1498.3,1343.7,154.6,"{""numberLong"":""373417200""}"
1981-12-01,1726.0,1082.9,928.3,154.6,"{""numberLong"":""376009200""}"
1982-01-01,2053.0,1429.5,1274.9,154.6,"{""numberLong"":""378687600""}"
1982-02-01,1948.0,1337.5,1182.9,154.6,"{""numberLong"":""381366000""}"
1982-03-01,2064.0,1452.2,1297.6,154.6,"{""numberLong"":""383785200""}"
1982-04-01,1997.0,1404.3,1249.7,154.6,"{""numberLong"":""386460000""}"
1982-05-01,1927.0,1428.8,1274.2,154.6,"{""numberLong"":""389052000""}"
1982-06-01,1480.0,1238.6,1084.0,154.6,"{""numberLong"":""391730400""}"
1982-07-01,1550.0,1318.3,1163.7,154.6,"{""numberLong"":""394322400""}"
1982-08-01,1820.0,1430.1,1275.5,154.6,"{""numberLong"":""397000800""}"
1982-09-01,1708.0,1375.4,1220.8,154.6,"{""numberLong"":""399679200""}"
1982-10-01,1676.0,1271.7,1117.1,154.6,"{""numberLong"":""402274800""}"
1982-11-01,1498.0,1075.3,920.7,154.6,"{""numberLong"":""404953200""}"
1982-12-01,2027.0,1234.1,1079.5,154.6,"{""numberLong"":""407545200""}"
1983-01-01,1869.0,1219.7,1065.1,154.6,"{""numberLong"":""410223600""}"
1983-02-01,1876.8,1167.8,1013.2,154.6,"{""numberLong"":""412902000""}"
1983-03-01,1971.3,1226.0,1071.4,154.6,"{""numberLong"":""415321200""}"
1983-04-01,1956.6,1255.6,1101.0,154.6,"{""numberLong"":""417996000""}"
1983-05-01,2007.0,1319.7,1165.1,154.6,"{""numberLong"":""420588000""}"
1983-06-01,1735.8,929.2,774.6,154.6,"{""numberLong"":""423266400""}"
1983-07-01,1679.8,978.0,823.4,154.6,"{""numberLong"":""425858400""}"
1983-08-01,2015.0,1279.9,1125.3,154.6,"{""numberLong"":""428536800""}"
1983-09-01,2065.4,1274.1,1119.5,154.6,"{""numberLong"":""431215200""}"
1983-10-01,2037.4,1274.7,1120.1,154.6,"{""numberLong"":""433810800""}"
1983-11-01,2138.2,1381.4,1226.8,154.6,"{""numberLong"":""436489200""}"
1983-12-01,2252.5,1408.0,1253.4,154.6,"{""numberLong"":""439081200""}"
1984-01-01,2067.2,1149.6,995.0,154.6,"{""numberLong"":""441759600""}"
1984-02-01,2166.8,1269.8,1115.2,154.6,"{""numberLong"":""444438000""}"
1984-03-01,2217.8,1326.8,1172.2,154.6,"{""numberLong"":""446943600""}"
1984-04-01,2268.5,1240.7,1086.1,154.6,"{""numberLong"":""449618400""}"
1984-05-01,2180.9,1117.8,963.2,154.6,"{""numberLong"":""452210400""}"
1984-06-01,2268.4,1277.1,1122.5,154.6,"{""numberLong"":""454888800""}"
1984-07-01,2241.0,1164.9,1010.3,154.6,"{""numberLong"":""457480800""}"
1984-08-01,2391.1,1199.1,1044.5,154.6,"{""numberLong"":""460159200""}"
1984-09-01,2353.8,1100.8,946.2,154.6,"{""numberLong"":""462837600""}"
1984-10-01,2484.0,1156.4,1001.8,154.6,"{""numberLong"":""465433200""}"
1984-11-01,2932.8,1250.8,1096.2,154.6,"{""numberLong"":""468111600""}"
1984-12-01,3899.0,2039.4,1239.0,800.4,"{""numberLong"":""470703600""}"
1985-01-01,3435.2,1739.2,938.8,800.4,"{""numberLong"":""473382000""}"
1985-02-01,3239.6,1669.9,869.5,800.4,"{""numberLong"":""476060400""}"
1985-03-01,3502.2,1796.2,988.3,807.9,"{""numberLong"":""478479600""}"
1985-04-01,3483.2,1811.2,1003.9,807.3,"{""numberLong"":""481154400""}"
1985-05-01,3405.9,1860.1,1057.2,802.9,"{""numberLong"":""483746400""}"
1985-06-01,3706.1,1952.0,1149.9,802.1,"{""numberLong"":""486424800""}"
1985-07-01,3671.3,1857.9,1054.3,803.6,"{""numberLong"":""489016800""}"
1985-08-01,3744.6,1978.5,1182.2,796.3,"{""numberLong"":""491695200""}"
1985-09-01,3995.9,1980.9,1167.3,813.6,"{""numberLong"":""494373600""}"
1985-10-01,3842.2,1905.5,1090.0,815.5,"{""numberLong"":""496969200""}"
1985-11-01,3308.7,1910.6,1091.8,818.8,"{""numberLong"":""499647600""}"
1985-12-01,3654.7,2060.1,1020.0,1040.1,"{""numberLong"":""502239600""}"
1986-01-01,3710.9,2290.0,1249.1,1040.9,"{""numberLong"":""504918000""}"
1986-02-01,3816.0,2365.4,1330.4,1035.0,"{""numberLong"":""507596400""}"
1986-03-01,3413.1,2191.2,1153.3,1037.9,"{""numberLong"":""510015600""}"
1986-04-01,3336.4,2151.8,1118.7,1033.1,"{""numberLong"":""512690400""}"
1986-05-01,3298.4,2155.4,1124.2,1031.2,"{""numberLong"":""515282400""}"
1986-06-01,3549.7,2398.8,1369.8,1029.0,"{""numberLong"":""517960800""}"
1986-07-01,3559.1,2272.5,1246.0,1026.5,"{""numberLong"":""520552800""}"
1986-08-01,3899.0,2434.4,1403.8,1030.6,"{""numberLong"":""523231200""}"
1986-09-01,3879.0,2348.4,1321.7,1026.7,"{""numberLong"":""525909600""}"
