dt,FG_F01,UNIXTIME
1982-01-01,373.3,"{""numberLong"":""378687600""}"
1982-02-01,381.8,"{""numberLong"":""381366000""}"
1982-03-01,390.5,"{""numberLong"":""383785200""}"
1982-04-01,394.2,"{""numberLong"":""386460000""}"
1982-05-01,395.4,"{""numberLong"":""389052000""}"
1982-06-01,402.1,"{""numberLong"":""391730400""}"
1982-07-01,406.2,"{""numberLong"":""394322400""}"
1982-08-01,411.7,"{""numberLong"":""397000800""}"
1982-09-01,424.5,"{""numberLong"":""399679200""}"
1982-10-01,436.0,"{""numberLong"":""402274800""}"
1982-11-01,446.1,"{""numberLong"":""404953200""}"
1982-12-01,461.7,"{""numberLong"":""407545200""}"
1983-01-01,481.1,"{""numberLong"":""410223600""}"
1983-02-01,492.2,"{""numberLong"":""412902000""}"
1983-03-01,503.2,"{""numberLong"":""415321200""}"
1983-04-01,510.6,"{""numberLong"":""417996000""}"
1983-05-01,514.0,"{""numberLong"":""420588000""}"
1983-06-01,520.8,"{""numberLong"":""423266400""}"
1983-07-01,526.2,"{""numberLong"":""425858400""}"
1983-08-01,538.5,"{""numberLong"":""428536800""}"
1983-09-01,555.9,"{""numberLong"":""431215200""}"
1983-10-01,585.4,"{""numberLong"":""433810800""}"
1983-11-01,607.3,"{""numberLong"":""436489200""}"
1983-12-01,632.8,"{""numberLong"":""439081200""}"
1984-01-01,654.6,"{""numberLong"":""441759600""}"
1984-02-01,664.6,"{""numberLong"":""444438000""}"
1984-03-01,685.2,"{""numberLong"":""446943600""}"
1984-04-01,727.9,"{""numberLong"":""449618400""}"
1984-05-01,763.2,"{""numberLong"":""452210400""}"
1984-06-01,812.7,"{""numberLong"":""454888800""}"
1984-07-01,820.2,"{""numberLong"":""457480800""}"
1984-08-01,840.6,"{""numberLong"":""460159200""}"
1984-09-01,858.0,"{""numberLong"":""462837600""}"
1984-10-01,895.4,"{""numberLong"":""465433200""}"
1984-11-01,929.9,"{""numberLong"":""468111600""}"
1984-12-01,947.2,"{""numberLong"":""470703600""}"
1985-01-01,1000.0,"{""numberLong"":""473382000""}"
1985-02-01,1033.0,"{""numberLong"":""476060400""}"
1985-03-01,1082.4,"{""numberLong"":""478479600""}"
1985-04-01,1091.4,"{""numberLong"":""481154400""}"
1985-05-01,1117.6,"{""numberLong"":""483746400""}"
1985-06-01,1109.1,"{""numberLong"":""486424800""}"
1985-07-01,1124.9,"{""numberLong"":""489016800""}"
1985-08-01,1154.0,"{""numberLong"":""491695200""}"
1985-09-01,1208.8,"{""numberLong"":""494373600""}"
1985-10-01,1284.5,"{""numberLong"":""496969200""}"
1985-11-01,1344.1,"{""numberLong"":""499647600""}"
1985-12-01,1365.8,"{""numberLong"":""502239600""}"
1986-01-01,1409.5,"{""numberLong"":""504918000""}"
1986-02-01,1434.0,"{""numberLong"":""507596400""}"
1986-03-01,1452.7,"{""numberLong"":""510015600""}"
1986-04-01,1458.2,"{""numberLong"":""512690400""}"
1986-05-01,1485.9,"{""numberLong"":""515282400""}"
1986-06-01,1521.4,"{""numberLong"":""517960800""}"
1986-07-01,1549.9,"{""numberLong"":""520552800""}"
1986-08-01,1563.4,"{""numberLong"":""523231200""}"
1986-09-01,1599.4,"{""numberLong"":""525909600""}"
1986-10-01,1716.8,"{""numberLong"":""528505200""}"
1986-11-01,1755.9,"{""numberLong"":""531183600""}"
1986-12-01,1784.7,"{""numberLong"":""533775600""}"
1987-01-01,1837.2,"{""numberLong"":""536454000""}"
1987-02-01,1886.8,"{""numberLong"":""539132400""}"
1987-03-01,1957.3,"{""numberLong"":""541551600""}"
1987-04-01,1998.3,"{""numberLong"":""544226400""}"
1987-05-01,2096.9,"{""numberLong"":""546818400""}"
1987-06-01,2094.7,"{""numberLong"":""549496800""}"
