dt,PYUK1,PYUK2,PYUK3,PYUK4
2005-01-07,15098.0,11339.0,-55.0,-609.0
2005-01-14,16151.0,12433.0,317.0,662.0
2005-01-21,16847.0,12416.0,368.0,-236.0
2005-01-28,17506.0,13460.0,343.0,953.0
2005-02-04,18069.0,14004.0,262.0,276.0
2005-02-11,18387.0,14144.0,257.0,216.0
2005-02-18,18188.0,15044.0,67.0,618.0
2005-02-25,18908.0,15826.0,-24.0,665.0
2005-03-04,18877.0,16335.0,110.0,216.0
2005-03-11,19935.0,16082.0,678.0,-304.0
2005-03-18,17728.0,15486.0,-181.0,-114.0
2005-03-25,17158.0,14650.0,-77.0,-530.0
2005-04-01,17139.0,14551.0,-68.0,-156.0
2005-04-08,17431.0,14733.0,134.0,27.0
2005-04-15,16249.0,14644.0,-21.0,-4.0
2005-04-22,16849.0,14637.0,205.0,159.0
2005-04-29,16227.0,14841.0,31.0,317.0
2005-05-06,17047.0,15702.0,-13.0,466.0
2005-05-13,17306.0,15621.0,70.0,30.0
2005-05-20,17234.0,15441.0,-25.0,20.0
2005-05-27,16580.0,15393.0,29.0,-41.0
2005-06-03,18024.0,16218.0,164.0,395.0
2005-06-10,18049.0,16327.0,242.0,183.0
2005-06-17,18635.0,16481.0,48.0,192.0
2005-06-24,19231.0,16485.0,133.0,-137.0
2005-07-01,19545.0,17032.0,51.0,319.0
2005-07-08,19991.0,16886.0,93.0,29.0
2005-07-15,21083.0,17113.0,265.0,-85.0
2005-07-22,21466.0,16979.0,104.0,-254.0
2005-07-29,22058.0,17372.0,90.0,453.0
2005-08-05,23013.0,17822.0,313.0,144.0
2005-08-12,21864.0,17332.0,109.0,-440.0
2005-08-19,20988.0,16340.0,-81.0,-486.0
2005-08-26,22270.0,16342.0,79.0,138.0
2005-09-02,24372.0,16986.0,144.0,279.0
2005-09-09,24959.0,17416.0,268.0,313.0
2005-09-16,26045.0,17234.0,62.0,-128.0
2005-09-23,26092.0,17383.0,223.0,70.0
2005-09-30,26106.0,17323.0,140.0,-1.0
2005-10-07,26043.0,17452.0,102.0,161.0
2005-10-14,24468.0,17557.0,-85.0,178.0
2005-10-21,24076.0,17433.0,-235.0,-138.0
2005-10-28,23380.0,17396.0,42.0,-249.0
2005-11-04,25202.0,17696.0,-46.0,436.0
2005-11-11,26797.0,17514.0,166.0,-75.0
2005-11-18,28555.0,17981.0,173.0,353.0
2005-11-25,30556.0,18117.0,517.0,70.0
2005-12-02,32343.0,18513.0,205.0,352.0
2005-12-09,31519.0,19325.0,2.0,780.0
2005-12-16,31531.0,19529.0,-11.0,26.0
2005-12-23,32424.0,19477.0,-34.0,-40.0
2005-12-30,33387.0,20139.0,180.0,565.0
2006-01-06,35850.0,20539.0,156.0,150.0
2006-01-13,,,,
2006-01-20,38127.0,20178.0,43.0,-473.0
2006-01-27,39809.0,20925.0,172.0,527.0
2006-02-03,38746.0,20937.0,117.0,37.0
