o,h,l,c,v,ts
60988.3203125,61056.33984375,60930.91015625,61000.0,52572160,2026-06-25 00:00:00
60998.26953125,61010.8984375,60821.98828125,60825.421875,60198912,2026-06-25 00:15:00
60823.58984375,60892.73828125,60742.87109375,60742.87109375,141975552,2026-06-25 00:30:00
60749.21875,60816.46875,60644.48046875,60666.69140625,137056256,2026-06-25 00:45:00
60718.01953125,60780.87890625,60639.8984375,60671.37109375,152530944,2026-06-25 01:00:00
60676.0390625,60839.44921875,60623.171875,60756.58984375,298123264,2026-06-25 01:15:00
60742.98046875,60808.0,60709.80078125,60728.3203125,201224192,2026-06-25 01:30:00
60730.5703125,60895.0,60704.0,60828.62109375,504872960,2026-06-25 01:45:00
60821.98046875,60868.62109375,60629.98046875,60686.26171875,0,2026-06-25 02:00:00
60686.25,60846.0,60656.3203125,60837.5390625,715927552,2026-06-25 02:15:00
60839.609375,60839.609375,60660.421875,60671.23828125,103088128,2026-06-25 02:30:00
60671.23046875,60730.6015625,60607.98828125,60697.6484375,99885056,2026-06-25 02:45:00
60705.80078125,60779.66015625,60625.0703125,60664.41015625,0,2026-06-25 03:00:00
60667.96875,60741.078125,60616.8984375,60691.76171875,785711104,2026-06-25 03:15:00
60687.01953125,60746.921875,60644.69140625,60652.23046875,0,2026-06-25 03:30:00
60657.921875,60803.94140625,60657.921875,60782.23828125,103321600,2026-06-25 03:45:00
60793.96875,60808.28125,60718.421875,60722.96875,836182016,2026-06-25 04:00:00
60722.98828125,60815.80078125,60687.8515625,60803.609375,0,2026-06-25 04:15:00
60801.6484375,60876.921875,60709.390625,60876.921875,528457728,2026-06-25 04:30:00
60872.98828125,61286.69921875,60869.23828125,61255.1796875,184541184,2026-06-25 04:45:00
61232.578125,61646.3984375,61181.69140625,61550.21875,636133376,2026-06-25 05:00:00
61550.21875,61692.83984375,61377.51953125,61511.19140625,785448960,2026-06-25 05:15:00
61516.26953125,61555.4296875,61428.69921875,61429.6484375,641916928,2026-06-25 05:30:00
61416.73046875,61578.01171875,61412.1796875,61498.16015625,284831744,2026-06-25 05:45:00
61498.828125,61664.9296875,61498.828125,61617.671875,132005888,2026-06-25 06:00:00
61616.6015625,61695.55078125,61541.6484375,61571.9296875,277086208,2026-06-25 06:15:00
61563.6484375,61659.98828125,61556.2109375,61659.78125,265035776,2026-06-25 06:30:00
61659.78125,61734.91015625,61613.71875,61624.91015625,41259008,2026-06-25 06:45:00
61636.3984375,61726.01171875,61565.4296875,61653.8984375,144805888,2026-06-25 07:00:00
61664.78125,61794.55078125,61664.78125,61709.98046875,1066430464,2026-06-25 07:15:00
61712.0,61868.37890625,61712.0,61823.6796875,69029888,2026-06-25 07:30:00
61812.87890625,61833.87109375,61710.171875,61816.7890625,373501952,2026-06-25 07:45:00
61815.890625,61826.26953125,61662.0,61702.08984375,212480000,2026-06-25 08:00:00
61698.37109375,61698.37109375,61613.1484375,61682.609375,67231744,2026-06-25 08:15:00
61672.3203125,61678.05078125,61618.0,61659.921875,426131456,2026-06-25 08:30:00
61661.98828125,61704.94140625,61582.87890625,61613.828125,848560128,2026-06-25 08:45:00
61631.03125,61687.0703125,61589.76171875,61638.83984375,254902272,2026-06-25 09:00:00
61634.96875,61668.859375,61510.328125,61595.0390625,15425536,2026-06-25 09:15:00
61590.96875,61672.30859375,61585.6484375,61649.9609375,335785984,2026-06-25 09:30:00
61649.96875,61674.98828125,61599.19140625,61634.48828125,205996032,2026-06-25 09:45:00
61631.71875,61654.94921875,61547.609375,61581.12109375,0,2026-06-25 10:00:00
61585.01953125,61648.23828125,61472.80078125,61479.69140625,32092160,2026-06-25 10:15:00
61489.3203125,61493.4296875,61301.69140625,61304.6484375,229810176,2026-06-25 10:30:00
61294.3515625,61305.0,61169.66015625,61180.3984375,471830528,2026-06-25 10:45:00
61183.44140625,61264.0,60965.3984375,61264.0,119939072,2026-06-25 11:00:00
61238.87890625,61317.98828125,61135.69921875,61135.69921875,159858688,2026-06-25 11:15:00
61149.421875,61290.44921875,61144.6484375,61221.6484375,344981504,2026-06-25 11:30:00
61220.05078125,61223.80859375,61053.4609375,61179.078125,282464256,2026-06-25 11:45:00
61232.78125,61251.83984375,61058.421875,61117.51953125,166019072,2026-06-25 12:00:00
61108.6484375,61149.44140625,60968.37109375,60987.96875,323645440,2026-06-25 12:15:00
61027.640625,61589.30859375,61027.640625,61277.12109375,986513408,2026-06-25 12:30:00
61256.48828125,61306.0,61053.05859375,61134.44921875,160460800,2026-06-25 12:45:00
61132.23828125,61250.83984375,61064.01171875,61206.640625,0,2026-06-25 13:00:00
61208.8515625,61242.7109375,61083.73828125,61127.609375,0,2026-06-25 13:15:00
61218.5,61218.5,59969.48828125,59969.48828125,27615232,2026-06-25 13:30:00
60014.609375,60123.671875,58026.0,58052.0,961716224,2026-06-25 13:45:00
58220.0,59600.0,58220.0,59160.01171875,3606450176,2026-06-25 14:00:00
59212.55078125,59454.26953125,58712.0,59241.671875,1049874432,2026-06-25 14:15:00
59227.98828125,60364.94140625,59085.98828125,59383.03125,1336938496,2026-06-25 14:30:00
59394.609375,59673.98046875,59245.98828125,59373.1796875,0,2026-06-25 14:45:00
59357.078125,59357.078125,58960.83984375,58965.87109375,605274112,2026-06-25 15:00:00
58950.8984375,59287.96875,58780.05859375,59146.05078125,471781376,2026-06-25 15:15:00
59163.98828125,59424.01171875,58978.76171875,59103.66015625,797499392,2026-06-25 15:30:00
59084.01953125,59534.46875,59079.41015625,59459.9296875,94597120,2026-06-25 15:45:00
59471.08984375,59946.96875,59369.890625,59661.30078125,0,2026-06-25 16:00:00
59664.53125,59736.4609375,59578.0,59649.6484375,847753216,2026-06-25 16:15:00
59586.26171875,59586.26171875,59131.62109375,59166.51171875,0,2026-06-25 16:30:00
59161.8515625,59271.66015625,59062.28125,59208.0390625,342401024,2026-06-25 16:45:00
59215.66015625,59341.078125,59035.87890625,59292.078125,0,2026-06-25 17:00:00
59319.98828125,59489.46875,59221.51171875,59449.421875,0,2026-06-25 17:15:00
59452.390625,59627.1015625,59394.58984375,59428.26171875,0,2026-06-25 17:30:00
59404.7109375,59579.53125,59333.41015625,59579.53125,0,2026-06-25 17:45:00
59584.98828125,59673.25,59294.7109375,59294.7109375,60862464,2026-06-25 18:00:00
59300.76953125,59624.078125,59296.6796875,59613.98828125,30220288,2026-06-25 18:15:00
59581.9296875,59590.921875,59309.05859375,59328.01953125,0,2026-06-25 18:30:00
59325.0,59502.0,59261.609375,59394.9609375,326537216,2026-06-25 18:45:00
59419.6015625,59421.078125,59125.01171875,59139.75,46149632,2026-06-25 19:00:00
59150.48828125,59257.640625,59083.390625,59251.75,0,2026-06-25 19:15:00
59242.4296875,59331.8984375,59183.5390625,59205.01953125,562356224,2026-06-25 19:30:00
59174.2890625,59258.01171875,59085.55078125,59188.08984375,237072384,2026-06-25 19:45:00
59229.9609375,59643.91015625,59220.1796875,59468.828125,421654528,2026-06-25 20:00:00
59473.73828125,59623.25,59451.7109375,59513.9609375,0,2026-06-25 20:15:00
59543.4296875,59556.37890625,59305.23046875,59412.0390625,22409216,2026-06-25 20:30:00
59403.76953125,59418.12109375,59244.87109375,59351.76953125,108748800,2026-06-25 20:45:00
59354.87890625,59519.109375,59351.5703125,59510.8984375,0,2026-06-25 21:00:00
59510.890625,59611.9609375,59454.7890625,59611.9609375,108273664,2026-06-25 21:15:00
59614.26171875,59875.05078125,59608.25,59867.08984375,287584256,2026-06-25 21:30:00
59869.890625,60134.0,59799.55859375,60113.96875,0,2026-06-25 21:45:00
60085.4296875,60107.109375,59786.28125,59799.5,654417920,2026-06-25 22:00:00
59803.98828125,59917.859375,59691.4609375,59691.890625,88838144,2026-06-25 22:15:00
59685.30078125,59781.94921875,59654.0,59702.4609375,321183744,2026-06-25 22:30:00
59702.46875,59832.1796875,59642.4609375,59748.73828125,31850496,2026-06-25 22:45:00
59737.328125,59862.69921875,59701.6015625,59853.4609375,475136,2026-06-25 23:00:00
59856.6484375,60079.80078125,59832.16015625,60003.48046875,345288704,2026-06-25 23:15:00
60004.5,60100.48828125,59863.53125,59887.87109375,28962816,2026-06-25 23:30:00
59875.01953125,59875.01953125,59646.7109375,59703.66015625,383627264,2026-06-25 23:45:00
59713.5,59810.75,59668.48046875,59791.96875,0,2026-06-26 00:00:00
59791.96875,59791.96875,59613.0390625,59679.1796875,866107392,2026-06-26 00:15:00
59683.26171875,59778.16015625,59612.73828125,59696.44140625,348536832,2026-06-26 00:30:00
59699.171875,59727.2890625,59542.01171875,59572.1015625,93843456,2026-06-26 00:45:00
59562.87890625,59688.359375,59348.7109375,59501.98828125,385167360,2026-06-26 01:00:00
59492.51953125,59569.01953125,59210.4296875,59210.4296875,288608256,2026-06-26 01:15:00
59205.8984375,59275.25,59140.5390625,59217.12890625,333107200,2026-06-26 01:30:00
59214.0703125,59340.05859375,59182.62109375,59340.05859375,605057024,2026-06-26 01:45:00
59360.9296875,59360.9296875,58585.0703125,58585.0703125,0,2026-06-26 02:00:00
58595.94140625,58798.21875,58271.01953125,58790.0,1067429888,2026-06-26 02:15:00
58770.37890625,58908.03125,58613.9609375,58729.390625,6844911616,2026-06-26 02:30:00
58705.0,58740.01171875,58348.08984375,58470.46875,411607040,2026-06-26 02:45:00
58481.01171875,58877.44921875,58254.26953125,58807.078125,985280512,2026-06-26 03:00:00
58782.6015625,59088.2109375,58710.53125,58999.4296875,757923840,2026-06-26 03:15:00
58998.1796875,59403.94140625,58917.890625,59400.71875,938336256,2026-06-26 03:30:00
59394.5390625,60023.96875,59394.5390625,59941.1015625,1043402752,2026-06-26 03:45:00
59939.94921875,59985.1796875,59751.98828125,59820.01171875,555630592,2026-06-26 04:00:00
59813.828125,60139.55078125,59798.53125,59896.01171875,386396160,2026-06-26 04:15:00
59878.078125,59926.80078125,59799.87890625,59881.671875,146407424,2026-06-26 04:30:00
59883.921875,59890.0,59743.44921875,59830.921875,1186676736,2026-06-26 04:45:00
59843.69140625,59884.19140625,59743.44140625,59884.19140625,267862016,2026-06-26 05:00:00
59887.26953125,59948.3203125,59647.58984375,59868.8984375,0,2026-06-26 05:15:00
59888.53125,59949.58984375,59780.1484375,59794.48046875,803438592,2026-06-26 05:30:00
59796.19921875,59887.41015625,59697.55078125,59860.01953125,334397440,2026-06-26 05:45:00
59838.30859375,59838.30859375,59623.62109375,59630.140625,468234240,2026-06-26 06:00:00
59624.609375,60000.0,59621.69140625,59960.6796875,732889088,2026-06-26 06:15:00
59952.0,60310.578125,59860.16015625,60298.328125,133005312,2026-06-26 06:30:00
60260.62890625,60357.80859375,60152.01171875,60230.421875,431636480,2026-06-26 06:45:00
60236.1015625,60428.98046875,60181.98828125,60419.69921875,42921984,2026-06-26 07:00:00
60406.80078125,60599.1796875,60377.8984375,60494.328125,500514816,2026-06-26 07:15:00
60511.48828125,60649.19140625,60462.3515625,60538.3203125,527499264,2026-06-26 07:30:00
60479.359375,60536.98828125,60397.05859375,60435.7109375,908185600,2026-06-26 07:45:00
60447.25,60461.98046875,60136.37890625,60173.94921875,746090496,2026-06-26 08:00:00
60192.0,60277.44140625,60094.71875,60219.421875,255852544,2026-06-26 08:15:00
60217.58984375,60250.0,60058.62109375,60109.19921875,969437184,2026-06-26 08:30:00
60118.05078125,60181.01953125,60050.80078125,60147.3515625,450125824,2026-06-26 08:45:00
60160.421875,60160.421875,59985.1796875,60079.8203125,445382656,2026-06-26 09:00:00
60075.078125,60081.66015625,59988.578125,60034.41015625,756895744,2026-06-26 09:15:00
60032.8984375,60040.25,59862.69921875,59911.73828125,84287488,2026-06-26 09:30:00
59908.6796875,59936.2109375,59507.8203125,59643.7890625,656961536,2026-06-26 09:45:00
59653.01171875,59718.96875,59562.0,59652.01953125,113020928,2026-06-26 10:00:00
59669.75,59760.01953125,59628.83984375,59637.640625,222490624,2026-06-26 10:15:00
59639.7890625,59716.98046875,59370.12890625,59457.62109375,432775168,2026-06-26 10:30:00
