o,h,l,c,v,ts
7401.75,7404.75,7400.5,7404.0,500,2026-06-12 04:00:00
7404.0,7408.75,7400.25,7408.5,1279,2026-06-12 04:15:00
7408.25,7410.75,7407.0,7409.5,1283,2026-06-12 04:30:00
7409.75,7411.5,7408.25,7410.75,883,2026-06-12 04:45:00
7410.75,7412.75,7404.25,7408.75,1605,2026-06-12 05:00:00
7408.5,7411.75,7407.0,7410.75,1580,2026-06-12 05:15:00
7410.25,7410.25,7398.25,7402.5,2342,2026-06-12 05:30:00
7402.75,7403.0,7387.5,7393.0,4908,2026-06-12 05:45:00
7393.25,7403.75,7391.5,7401.75,4661,2026-06-12 06:00:00
7401.75,7401.75,7395.5,7397.0,2138,2026-06-12 06:15:00
7396.5,7396.5,7388.0,7389.5,3132,2026-06-12 06:30:00
7389.25,7391.25,7384.5,7388.0,3714,2026-06-12 06:45:00
7388.0,7389.75,7377.5,7378.0,6192,2026-06-12 07:00:00
7378.0,7382.75,7374.75,7380.25,6150,2026-06-12 07:15:00
7380.0,7393.75,7378.5,7391.75,6146,2026-06-12 07:30:00
7392.25,7408.5,7389.5,7400.75,8766,2026-06-12 07:45:00
7401.0,7414.25,7399.25,7411.75,8720,2026-06-12 08:00:00
7411.5,7428.25,7407.75,7421.5,11844,2026-06-12 08:15:00
7421.5,7424.0,7408.0,7412.0,7049,2026-06-12 08:30:00
7412.0,7420.0,7408.25,7415.0,4424,2026-06-12 08:45:00
7415.0,7426.25,7415.0,7426.0,4038,2026-06-12 09:00:00
7426.25,7437.75,7424.75,7436.25,7559,2026-06-12 09:15:00
7436.0,7451.25,7434.5,7446.0,10827,2026-06-12 09:30:00
7446.25,7447.25,7438.25,7439.25,5939,2026-06-12 09:45:00
7439.25,7444.75,7432.75,7436.25,9159,2026-06-12 10:00:00
7436.5,7437.0,7419.25,7421.75,8988,2026-06-12 10:15:00
7421.75,7429.5,7420.5,7426.5,6757,2026-06-12 10:30:00
7426.75,7428.0,7420.75,7424.75,5641,2026-06-12 10:45:00
7425.0,7431.75,7422.5,7430.25,8064,2026-06-12 11:00:00
7430.25,7440.75,7429.5,7438.25,7565,2026-06-12 11:15:00
7438.25,7443.0,7432.5,7442.5,7447,2026-06-12 11:30:00
7442.5,7448.0,7438.75,7443.0,7876,2026-06-12 11:45:00
7443.0,7444.5,7432.0,7434.5,7350,2026-06-12 12:00:00
7434.5,7436.5,7425.25,7425.5,7291,2026-06-12 12:15:00
7425.25,7428.25,7412.25,7414.0,14674,2026-06-12 12:30:00
7414.25,7418.0,7402.0,7404.5,14959,2026-06-12 12:45:00
7404.5,7415.75,7397.0,7415.25,15708,2026-06-12 13:00:00
7415.0,7423.75,7412.75,7423.75,15559,2026-06-12 13:15:00
7423.75,7424.75,7374.0,7375.5,127181,2026-06-12 13:30:00
