o,h,l,c,v,ts
8942.400390625,9000.4697265625,8942.400390625,8987.98046875,0,2023-10-03 06:30:00
8987.509765625,8997.099609375,8963.5595703125,8990.0400390625,0,2023-10-03 07:30:00
8990.080078125,8998.23046875,8939.6201171875,8944.9501953125,0,2023-10-03 08:30:00
8945.0400390625,8954.9501953125,8928.7900390625,8942.5703125,0,2023-10-03 09:30:00
8942.8203125,8962.150390625,8901.400390625,8914.580078125,0,2023-10-03 10:30:00
8914.9404296875,8944.0595703125,8902.330078125,8938.4501953125,0,2023-10-03 11:30:00
8938.0,8980.4501953125,8906.3798828125,8970.7099609375,0,2023-10-03 12:30:00
8970.1904296875,8979.0498046875,8889.919921875,8890.8798828125,0,2023-10-03 13:30:00
8890.73046875,8938.490234375,8879.58984375,8934.83984375,0,2023-10-03 14:30:00
8932.490234375,8948.9501953125,8887.240234375,8888.5,0,2023-10-04 06:30:00
8889.2900390625,8889.2900390625,8820.599609375,8821.58984375,0,2023-10-04 07:30:00
8821.8603515625,8848.6796875,8791.759765625,8834.7998046875,0,2023-10-04 08:30:00
8835.509765625,8868.4404296875,8821.0498046875,8858.900390625,0,2023-10-04 09:30:00
8859.8798828125,8884.6201171875,8843.41015625,8860.8896484375,0,2023-10-04 10:30:00
8861.58984375,8862.6396484375,8813.3798828125,8852.509765625,0,2023-10-04 11:30:00
8851.76953125,8857.75,8811.4697265625,8826.2900390625,0,2023-10-04 12:30:00
8825.669921875,8830.919921875,8752.400390625,8778.150390625,0,2023-10-04 13:30:00
8778.6103515625,8811.2099609375,8715.259765625,8735.8896484375,0,2023-10-04 14:30:00
8723.8203125,8821.8095703125,8723.8203125,8772.9296875,0,2023-10-05 06:30:00
8771.8896484375,8847.150390625,8761.8896484375,8838.1904296875,0,2023-10-05 07:30:00
8837.3896484375,8843.8701171875,8802.41015625,8810.7001953125,0,2023-10-05 08:30:00
8809.08984375,8822.9697265625,8752.9296875,8757.23046875,0,2023-10-05 09:30:00
