o,h,l,c,v,ts
13662.75,13722.4697265625,13662.75,13722.4697265625,0,2026-06-01 06:45:00
13722.4697265625,13915.650390625,13722.4697265625,13915.650390625,0,2026-06-01 07:00:00
13913.8095703125,13922.4501953125,13828.740234375,13831.0302734375,0,2026-06-01 07:15:00
13831.0498046875,13836.3603515625,13750.1103515625,13752.25,0,2026-06-01 07:30:00
13751.6396484375,13823.0302734375,13749.1904296875,13821.25,0,2026-06-01 07:45:00
13820.2197265625,13842.3603515625,13805.8798828125,13821.8203125,0,2026-06-01 08:00:00
13822.83984375,13822.83984375,13793.7802734375,13801.6904296875,0,2026-06-01 08:15:00
13804.2900390625,13825.5400390625,13801.8603515625,13811.6396484375,0,2026-06-01 08:30:00
13811.6201171875,13817.3701171875,13800.9599609375,13802.98046875,0,2026-06-01 08:45:00
13803.6103515625,13826.080078125,13799.6396484375,13811.73046875,0,2026-06-01 09:00:00
13811.919921875,13814.5302734375,13794.2900390625,13799.9404296875,0,2026-06-01 09:15:00
13800.4501953125,13821.6103515625,13796.83984375,13821.01953125,0,2026-06-01 09:30:00
13822.490234375,13828.759765625,13812.4296875,13819.580078125,0,2026-06-01 09:45:00
13819.240234375,13839.900390625,13818.6103515625,13838.009765625,0,2026-06-01 10:00:00
13836.08984375,13843.0703125,13826.3798828125,13833.2802734375,0,2026-06-01 10:15:00
13837.0498046875,13846.08984375,13821.76953125,13831.759765625,0,2026-06-01 10:30:00
13831.900390625,13834.0595703125,13816.599609375,13824.6396484375,0,2026-06-01 10:45:00
13825.0,13839.5498046875,13815.66015625,13817.7900390625,0,2026-06-01 11:00:00
13818.830078125,13831.580078125,13814.2001953125,13828.33984375,0,2026-06-01 11:15:00
13828.3095703125,13850.0400390625,13823.48046875,13841.669921875,0,2026-06-01 11:30:00
13842.1201171875,13842.8798828125,13823.740234375,13828.599609375,0,2026-06-01 11:45:00
13828.830078125,13832.6904296875,13818.509765625,13820.3701171875,0,2026-06-01 12:00:00
13820.1103515625,13833.3798828125,13811.849609375,13831.8203125,0,2026-06-01 12:15:00
13831.169921875,13878.26953125,13828.6103515625,13878.26953125,0,2026-06-01 12:30:00
13878.6298828125,13883.8203125,13852.740234375,13858.6904296875,0,2026-06-01 12:45:00
13858.5498046875,13874.7802734375,13780.3896484375,13809.7900390625,0,2026-06-01 13:00:00
13808.75,13823.83984375,13710.3798828125,13710.3798828125,0,2026-06-01 13:15:00
13709.8798828125,13746.4501953125,13675.98046875,13729.990234375,0,2026-06-01 13:30:00
13730.8203125,13752.4697265625,13678.900390625,13679.3095703125,0,2026-06-01 13:45:00
13680.169921875,13740.0595703125,13678.330078125,13729.1298828125,0,2026-06-01 14:00:00
13729.3701171875,13755.150390625,13706.0498046875,13718.4296875,0,2026-06-01 14:15:00
13717.8095703125,13738.9697265625,13708.6396484375,13723.3203125,0,2026-06-01 14:30:00
13724.6103515625,13740.41015625,13689.8896484375,13713.419921875,0,2026-06-01 14:45:00
13703.9599609375,13798.5302734375,13703.9599609375,13798.5302734375,0,2026-06-02 06:45:00
13798.5302734375,13883.16015625,13798.5302734375,13882.650390625,0,2026-06-02 07:00:00
13884.23046875,13917.7802734375,13869.8798828125,13900.51953125,0,2026-06-02 07:15:00
13900.98046875,13922.7998046875,13893.8798828125,13912.41015625,0,2026-06-02 07:30:00
13910.0400390625,13990.33984375,13899.1103515625,13989.4599609375,0,2026-06-02 07:45:00
13989.6796875,14004.9501953125,13975.1298828125,13978.900390625,0,2026-06-02 08:00:00
13978.25,13986.2998046875,13929.01953125,13933.4599609375,0,2026-06-02 08:15:00
13933.1201171875,13955.75,13931.7802734375,13943.4501953125,0,2026-06-02 08:30:00
13943.4404296875,13947.3095703125,13934.6904296875,13936.6904296875,0,2026-06-02 08:45:00
13935.75,13953.5498046875,13928.9697265625,13950.26953125,0,2026-06-02 09:00:00
13951.080078125,13956.1796875,13931.66015625,13935.3701171875,0,2026-06-02 09:15:00
13934.7900390625,13936.4501953125,13913.76953125,13923.23046875,0,2026-06-02 09:30:00
13923.349609375,13938.9296875,13912.66015625,13929.0703125,0,2026-06-02 09:45:00
13928.1298828125,13940.5703125,13925.259765625,13931.7802734375,0,2026-06-02 10:00:00
13931.099609375,13937.7197265625,13923.3798828125,13932.33984375,0,2026-06-02 10:15:00
13932.1796875,13950.3603515625,13924.0595703125,13939.509765625,0,2026-06-02 10:30:00
13938.900390625,13952.3203125,13935.150390625,13945.73046875,0,2026-06-02 10:45:00
13945.7998046875,13993.169921875,13944.41015625,13993.169921875,0,2026-06-02 11:00:00
13992.9599609375,13994.6396484375,13968.6103515625,13973.6103515625,0,2026-06-02 11:15:00
13973.900390625,13984.73046875,13971.2998046875,13980.259765625,0,2026-06-02 11:30:00
13979.9697265625,13991.8798828125,13971.4296875,13983.51953125,0,2026-06-02 11:45:00
13984.6796875,14052.2197265625,13981.48046875,14045.2197265625,0,2026-06-02 12:00:00
14044.830078125,14095.4296875,14043.73046875,14094.2998046875,0,2026-06-02 12:15:00
14093.16015625,14101.5703125,14077.0400390625,14094.1904296875,0,2026-06-02 12:30:00
14093.76953125,14120.099609375,14082.33984375,14118.6298828125,0,2026-06-02 12:45:00
14119.16015625,14139.9599609375,14105.8095703125,14121.099609375,0,2026-06-02 13:00:00
14122.2197265625,14154.1904296875,14120.1904296875,14124.900390625,0,2026-06-02 13:15:00
14124.650390625,14145.76953125,14123.419921875,14138.91015625,0,2026-06-02 13:30:00
