Date,Open,High,Low,Close
2024-08-19,9867.0,10061.099609375,9796.599609375,10054.2001953125
2024-08-20,10038.2001953125,10110.0,9950.900390625,9982.2998046875
2024-08-21,9966.599609375,10080.7001953125,9897.599609375,9904.7998046875
2024-08-22,9979.5,10031.099609375,9869.599609375,9921.400390625
2024-08-23,9927.400390625,9935.2001953125,9651.2001953125,9668.099609375
2024-08-26,9739.7998046875,9749.2001953125,9553.2001953125,9565.7998046875
2024-08-27,9561.7001953125,9748.7998046875,9523.2998046875,9748.7998046875
2024-08-28,9757.7998046875,9836.599609375,9735.400390625,9757.2001953125
2024-08-29,9762.400390625,9888.400390625,9705.5,9833.2001953125
2024-09-02,9879.7998046875,10116.2998046875,9879.7998046875,10110.2001953125
2024-09-03,10130.5,10159.2001953125,9983.7998046875,10021.7998046875
2024-09-04,9929.7998046875,9988.400390625,9879.099609375,9984.900390625
2024-09-05,10030.5,10040.2998046875,9897.2001953125,9936.7998046875
2024-09-06,9936.2001953125,9981.0,9768.599609375,9771.2001953125
2024-09-09,9795.2001953125,9838.0,9699.599609375,9699.599609375
2024-09-10,9737.2001953125,9788.400390625,9588.0,9624.0
2024-09-11,9610.0,9643.5,9413.400390625,9419.7001953125
2024-09-12,9532.400390625,9560.0,9274.599609375,9521.0
2024-09-13,9537.2001953125,9685.5,9427.2998046875,9685.5
2024-09-16,9686.900390625,9720.2001953125,9567.099609375,9577.5
2024-09-17,9611.599609375,9786.099609375,9611.599609375,9758.099609375
2024-09-18,9753.2001953125,9827.2998046875,9736.099609375,9774.5
2024-09-19,9872.900390625,9980.7998046875,9852.0,9975.599609375
2024-09-20,9985.0,10008.7001953125,9887.400390625,9900.2998046875
2024-09-23,9959.2001953125,9980.900390625,9857.7001953125,9887.7998046875
2024-09-24,9911.400390625,10108.2001953125,9878.599609375,10029.7001953125
2024-09-25,10033.7001953125,10064.099609375,9886.5,9891.0
2024-09-26,9953.2998046875,10049.5,9806.7001953125,9829.2001953125
2024-09-27,9814.7001953125,9820.5,9696.0,9777.5
2024-09-30,9747.7001953125,9757.900390625,9643.2998046875,9665.7998046875
2024-10-01,9673.599609375,9680.7998046875,9238.7001953125,9351.2001953125
2024-10-02,9320.5,9339.2001953125,9012.900390625,9012.900390625
2024-10-03,9026.5,9159.2998046875,8869.7998046875,8898.2001953125
2024-10-04,8953.2001953125,9109.2998046875,8850.400390625,9109.2998046875
2024-10-07,9155.7998046875,9195.5,9005.400390625,9031.599609375
2024-10-08,9040.7998046875,9152.7001953125,8978.099609375,9044.900390625
2024-10-09,9043.900390625,9132.2998046875,8901.2001953125,9132.2998046875
2024-10-10,9137.2998046875,9176.400390625,8964.099609375,8964.099609375
2024-10-11,8987.0,9080.7001953125,8837.0,8876.2001953125
2024-10-14,8885.5,8887.2001953125,8680.7001953125,8699.2001953125
2024-10-15,8709.7998046875,8890.2998046875,8685.2001953125,8860.2998046875
2024-10-16,8849.099609375,8963.7998046875,8779.2998046875,8956.0
2024-10-17,8948.599609375,9060.099609375,8927.099609375,9002.2998046875
2024-10-18,9018.599609375,9070.0,8783.5,8793.599609375
2024-10-21,8798.2998046875,8807.900390625,8642.2001953125,8654.400390625
2024-10-22,8677.7998046875,8913.5,8676.7998046875,8838.599609375
2024-10-23,8853.7998046875,8867.099609375,8664.0,8714.7001953125
2024-10-24,8779.099609375,8920.2001953125,8779.099609375,8872.900390625
2024-10-25,8843.599609375,8921.599609375,8782.599609375,8908.5
2024-10-28,8936.0,8954.2001953125,8915.599609375,8945.7998046875
2024-10-30,8961.0,9050.7998046875,8917.599609375,9006.599609375
2024-10-31,9004.599609375,9051.599609375,8846.099609375,8863.900390625
2024-11-01,8888.5,8982.0,8849.2001953125,8885.0
2024-11-04,8862.5,8862.5,8610.900390625,8663.900390625
2024-11-05,8714.7001953125,8729.599609375,8566.599609375,8618.599609375
2024-11-06,8647.900390625,8915.900390625,8586.900390625,8862.2998046875
2024-11-07,8873.2998046875,8946.099609375,8801.2998046875,8946.099609375
2024-11-08,8939.400390625,9195.7998046875,8927.900390625,9184.7998046875
2024-11-11,9215.2001953125,9330.099609375,9197.2001953125,9276.7998046875
2024-11-12,9253.900390625,9288.7998046875,9190.2001953125,9226.900390625
2024-11-13,9196.0,9415.7998046875,9128.599609375,9300.2998046875
2024-11-14,9354.2998046875,9437.7001953125,9335.400390625,9420.400390625
2024-11-15,9447.7001953125,9501.099609375,9375.900390625,9389.599609375
2024-11-18,9419.400390625,9445.2998046875,9315.2998046875,9395.400390625
2024-11-19,9431.0,9443.099609375,9170.7001953125,9232.900390625
2024-11-20,9272.7998046875,9307.7001953125,9023.400390625,9031.7998046875
2024-11-21,9079.7998046875,9380.599609375,9069.900390625,9367.7998046875
2024-11-22,9377.5,9550.599609375,9337.2001953125,9549.900390625
2024-11-25,9618.400390625,9720.2998046875,9591.5,9660.0
2024-11-26,9654.099609375,9691.599609375,9576.599609375,9636.099609375
2024-11-27,9731.0,9744.599609375,9618.900390625,9639.7998046875
2024-11-28,9640.599609375,9672.400390625,9586.900390625,9640.099609375
2024-11-29,9650.7001953125,9734.2001953125,9575.900390625,9652.0
2024-12-02,9602.2998046875,9703.2001953125,9573.900390625,9681.099609375
2024-12-03,9713.2001953125,9885.7998046875,9661.099609375,9827.2001953125
2024-12-04,9858.7001953125,9940.2998046875,9853.099609375,9886.099609375
2024-12-05,9912.2001953125,9965.5,9849.5,9936.0
2024-12-06,10063.7001953125,10098.099609375,10010.599609375,10081.0
2024-12-09,10175.0,10262.2998046875,10149.900390625,10257.400390625
2024-12-10,10257.2001953125,10276.7001953125,10078.7998046875,10099.0
2024-12-11,10132.400390625,10171.5,10008.900390625,10058.5
2024-12-12,10109.2001953125,10155.2998046875,10026.099609375,10058.599609375
2024-12-13,10028.2001953125,10125.5,9962.599609375,10125.5
2024-12-16,10146.599609375,10157.7998046875,9997.7001953125,9997.7001953125
2024-12-17,10012.599609375,10055.900390625,9912.400390625,10011.2998046875
2024-12-18,10007.2998046875,10052.900390625,9912.599609375,9915.7998046875
2024-12-19,9851.2998046875,9897.5,9754.400390625,9765.099609375
2024-12-20,9791.0,9814.900390625,9699.900390625,9724.5
2024-12-23,9756.599609375,9778.599609375,9605.400390625,9626.599609375
2024-12-24,9635.900390625,9690.400390625,9562.400390625,9672.7998046875
2024-12-26,9962.5,10050.599609375,9890.900390625,9949.0
2024-12-27,9962.7001953125,10055.099609375,9954.0,10025.5
2024-12-30,10040.7001953125,10061.2998046875,9889.7001953125,9889.7001953125
2024-12-31,9857.400390625,9942.599609375,9780.7001953125,9830.599609375
2025-01-02,9858.099609375,9961.2998046875,9827.0,9961.2998046875
2025-01-03,9990.400390625,10097.099609375,9990.400390625,10075.2001953125
2025-01-06,10108.900390625,10159.099609375,10063.2001953125,10085.5
2025-01-07,10079.2998046875,10095.099609375,9972.0,9972.0
2025-01-08,9962.900390625,10011.400390625,9881.7998046875,9890.7998046875
2025-01-09,9932.599609375,10016.900390625,9899.2998046875,10000.7001953125
2025-01-10,10013.400390625,10038.7998046875,9865.7001953125,9910.599609375
2025-01-13,9901.7998046875,9916.7998046875,9707.400390625,9733.2001953125
2025-01-14,9780.599609375,9851.599609375,9679.7998046875,9715.900390625
2025-01-15,9731.2001953125,9784.400390625,9659.5,9739.7001953125
2025-01-16,9846.099609375,9878.7998046875,9734.900390625,9866.7001953125
2025-01-17,9882.599609375,9989.400390625,9851.400390625,9977.900390625
2025-01-20,10035.7998046875,10048.900390625,9923.599609375,10029.2998046875
2025-01-21,10008.7998046875,10076.5,9966.2998046875,9999.599609375
2025-01-22,10014.2001953125,10121.7998046875,9984.099609375,10105.400390625
2025-01-23,10141.599609375,10151.599609375,10069.599609375,10112.7998046875
2025-01-24,10125.5,10133.5,10064.099609375,10104.900390625
2025-01-27,10032.5,10069.7998046875,9962.599609375,9997.900390625
2025-01-28,10031.599609375,10139.7001953125,9977.099609375,10121.7998046875
2025-01-29,10140.2001953125,10180.400390625,10077.0,10077.0
2025-01-30,10095.400390625,10155.0,10071.900390625,10082.099609375
2025-01-31,10104.400390625,10119.0,9986.400390625,10004.400390625
2025-02-03,9918.400390625,9918.400390625,9749.900390625,9774.400390625
2025-02-04,9818.2001953125,9905.2001953125,9782.7998046875,9807.099609375
2025-02-05,9821.599609375,9841.7001953125,9619.7998046875,9719.7998046875
2025-02-06,9782.900390625,9866.5,9780.599609375,9842.2001953125
2025-02-07,9839.5,9962.7001953125,9801.0,9951.7001953125
2025-02-10,9962.099609375,9983.2001953125,9830.7001953125,9845.900390625
2025-02-11,9840.0,9888.400390625,9788.5,9882.7998046875
2025-02-12,9895.7001953125,9904.2001953125,9756.7001953125,9779.599609375
2025-02-13,9855.7998046875,9930.7001953125,9845.599609375,9914.7001953125
2025-02-14,9930.0,9954.2001953125,9855.099609375,9877.599609375
2025-02-17,9890.2001953125,9899.2998046875,9836.5,9836.5
2025-02-18,9829.900390625,9944.2001953125,9811.5,9916.900390625
2025-02-19,9923.400390625,9953.900390625,9759.0,9763.7001953125
2025-02-20,9764.599609375,9853.0,9754.2998046875,9807.5
2025-02-21,9815.900390625,9829.900390625,9474.0,9602.2001953125
2025-02-24,9694.400390625,9706.0,9546.7001953125,9574.7998046875
2025-02-25,9583.7001953125,9605.5,9437.7001953125,9451.599609375
2025-02-26,9468.0,9629.2998046875,9422.2001953125,9573.2001953125
2025-02-27,9565.599609375,9782.2001953125,9563.2998046875,9741.099609375
2025-02-28,9696.7001953125,9749.7001953125,9623.900390625,9658.7001953125
2025-03-03,9748.0,10029.7998046875,9748.0,9911.099609375
2025-03-04,9901.900390625,9958.7998046875,9859.599609375,9898.0
2025-03-05,9984.7001953125,10203.2001953125,9984.7001953125,10188.900390625
2025-03-06,10269.900390625,10459.099609375,10186.400390625,10459.099609375
2025-03-07,10453.7001953125,10556.7998046875,10407.400390625,10507.099609375
2025-03-10,10481.5,10544.0,10380.2001953125,10422.2001953125
2025-03-11,10421.599609375,10522.099609375,10357.099609375,10438.2998046875
2025-03-12,10492.400390625,10620.900390625,10470.599609375,10580.2998046875
2025-03-13,10625.400390625,10744.0,10625.400390625,10727.599609375
2025-03-14,10772.400390625,10863.0,10726.2998046875,10840.599609375
2025-03-17,10869.0,10902.599609375,10809.099609375,10862.099609375
2025-03-18,10832.7998046875,10872.2001953125,10752.0,10802.2001953125
2025-03-19,10060.5,10378.099609375,9806.5,9860.2998046875
2025-03-20,9839.7998046875,10156.7001953125,9660.599609375,9810.900390625
2025-03-21,9758.5,9758.5,8984.5,9044.599609375
2025-03-24,9167.0,9386.5,8872.7998046875,9299.400390625
2025-03-25,9462.7001953125,9811.599609375,9404.2001953125,9715.599609375
2025-03-26,9617.0,9749.400390625,9566.7998046875,9649.5
2025-03-27,9774.599609375,9830.7998046875,9593.7001953125,9612.7998046875
2025-03-28,9567.7998046875,9669.2001953125,9416.0,9659.5
2025-04-02,9606.400390625,9643.2001953125,9517.7001953125,9523.2998046875
2025-04-03,9530.7001953125,9627.7001953125,9484.2998046875,9484.2998046875
2025-04-04,9496.7998046875,9524.7998046875,9339.7001953125,9379.7998046875
2025-04-07,9117.400390625,9506.7001953125,9050.599609375,9407.2001953125
2025-04-08,9553.2001953125,9562.2001953125,9412.099609375,9477.099609375
2025-04-09,9398.7001953125,9473.0,9275.5,9275.5
2025-04-10,9579.099609375,9581.2001953125,9338.599609375,9338.599609375
2025-04-11,9352.5,9406.5,9260.0,9381.0
2025-04-14,9456.2001953125,9491.2998046875,9407.599609375,9423.599609375
2025-04-15,9443.7001953125,9492.2998046875,9383.7998046875,9393.7998046875
2025-04-16,9369.400390625,9398.7001953125,9245.2998046875,9266.099609375
2025-04-17,9276.2001953125,9438.2998046875,9256.900390625,9396.0
2025-04-18,9426.2998046875,9433.7998046875,9289.0,9317.2001953125
2025-04-21,9343.099609375,9477.7998046875,9268.099609375,9321.599609375
2025-04-22,9378.7001953125,9409.099609375,9286.400390625,9312.099609375
2025-04-24,9353.599609375,9493.7998046875,9301.400390625,9490.900390625
2025-04-25,9510.099609375,9531.400390625,9427.900390625,9432.599609375
2025-04-28,9457.2998046875,9464.5,9307.0,9307.0
2025-04-29,9272.5,9312.2001953125,9216.7998046875,9224.7998046875
2025-04-30,9225.2998046875,9250.099609375,9058.2001953125,9078.400390625
2025-05-02,9121.0,9194.7998046875,9103.7001953125,9167.599609375
2025-05-05,9217.7998046875,9240.7001953125,9087.7998046875,9112.2001953125
2025-05-06,9109.7001953125,9228.400390625,9105.400390625,9134.7001953125
2025-05-07,9136.5,9189.5,9032.5,9074.599609375
2025-05-08,9123.900390625,9302.599609375,9093.7001953125,9279.2001953125
2025-05-09,9280.7001953125,9421.400390625,9231.7998046875,9390.5
2025-05-12,9611.2001953125,9767.7998046875,9570.5,9747.099609375
2025-05-13,9719.0,9747.900390625,9652.099609375,9700.2001953125
2025-05-14,9700.2998046875,9771.7001953125,9658.599609375,9701.599609375
2025-05-15,9730.7001953125,9761.099609375,9518.5,9541.2998046875
2025-05-16,9542.7998046875,9677.599609375,9516.900390625,9668.400390625
2025-05-20,9666.2001953125,9683.2998046875,9514.0,9514.0
2025-05-21,9494.099609375,9530.099609375,9398.900390625,9398.900390625
2025-05-22,9451.2998046875,9521.0,9353.900390625,9475.2001953125
2025-05-23,9461.2001953125,9505.7001953125,9326.099609375,9356.0
2025-05-26,9419.900390625,9427.099609375,9296.2998046875,9345.2001953125
2025-05-27,9344.5,9391.0,9213.599609375,9213.599609375
2025-05-28,9210.7001953125,9248.0,9116.099609375,9177.7001953125
2025-05-29,9237.2001953125,9265.599609375,9162.400390625,9170.599609375
2025-05-30,9161.5,9176.2001953125,8985.5,9019.599609375
2025-06-02,9012.900390625,9083.7998046875,8965.0,9008.900390625
2025-06-03,9077.0,9299.2998046875,9077.0,9277.0
2025-06-04,9273.0,9475.0,9255.5,9475.0
2025-06-05,9446.7998046875,9495.7001953125,9421.7001953125,9486.599609375
2025-06-10,9554.900390625,9679.099609375,9546.599609375,9659.2998046875
2025-06-11,9658.900390625,9733.599609375,9630.5,9686.099609375
2025-06-12,9614.7998046875,9651.2998046875,9510.2998046875,9520.2001953125
2025-06-13,9166.7998046875,9311.900390625,9065.2001953125,9311.900390625
2025-06-16,9308.7998046875,9434.099609375,9218.7998046875,9350.0
2025-06-17,9355.7998046875,9419.5,9328.599609375,9339.599609375
2025-06-18,9310.7001953125,9330.599609375,9143.7998046875,9196.099609375
2025-06-19,9238.7998046875,9294.7001953125,9092.7001953125,9102.0
